"","key","Year","Player","Age","Team","Pos","Dist.","X0.3A","X0.3M","X3.10A","X3.10M","X10.16A","X10.16M","X16.3A","X16.3M","Playoffs"
"1","derozde01",2024,"DeMar DeRozan","34","CHI","SF",13.2,246.61,168.68124,233.06,115.13164,338.75,165.9875,311.65,125.2833,0
"2","sabondo01",2024,"Domantas Sabonis","27","SAC","C",6.2,485.94,350.84868,385.548,198.942768,74.76,34.91292,34.176,16.096896,0
"3","whiteco01",2024,"Coby White","23","CHI","PG",15.5,302.25,198.276,188.604,68.274648,102.765,49.841025,60.45,16.14015,0
"4","bridgmi01",2024,"Mikal Bridges","27","BRK","SF",15.9,213.51,142.62468,210.922,83.946956,204.452,95.683536,72.464,21.159488,0
"5","banchpa01",2024,"Paolo Banchero","21","ORL","PF",12.6,316.575,222.552225,330.645,133.249935,257.481,101.704995,151.956,63.973476,0
"6","duranke01",2024,"Kevin Durant","35","PHO","PF",15,179.5,148.4465,219.708,116.44524,400.644,196.716204,229.76,121.7728,0
"7","murrade01",2024,"Dejounte Murray","27","ATL","SG",14.9,248.71,144.50051,279.433,129.656912,264.803,137.962363,115.577,58.828693,0
"8","edwaran01",2024,"Anthony Edwards","22","MIN","SG",14.1,355.224,251.143368,299.136,131.021568,194.75,86.8585,177.612,59.144796,0
"9","jokicni01",2024,"Nikola Jokić","28","DEN","C",9.7,366.86,271.84326,570.044,350.007016,162.265,87.136305,80.427,29.75799,0
"10","brunsja01",2024,"Jalen Brunson","27","NYK","PG",14.3,209.296,133.112256,453.2,235.2108,311.472,147.637728,148.32,63.18432,0
"11","hartjo01",2024,"Josh Hart","28","NYK","SF",12.8,217.959,144.070899,114.751,38.900589,67.9,25.9378,19.691,5.9073,0
"12","davisan02",2024,"Anthony Davis","30","LAL","C",8,473.427,366.432498,396.447,193.069689,192.45,83.1384,115.47,42.14655,0
"13","vanvlfr01",2024,"Fred VanVleet","29","HOU","PG",19.9,94.674,47.81037,125.214,48.082176,74.314,34.110126,138.448,66.178144,0
"14","foxde01",2024,"De'Aaron Fox","26","SAC","PG",15,207.566,149.44752,384.152,205.137168,266.428,112.699044,111.528,39.146328,0
"15","siakapa01",2024,"Pascal Siakam","29","2TM","PF",9.9,386.384,285.537776,396.552,204.22428,163.959,72.961755,77.531,32.795613,0
"16","tatumja01",2024,"Jayson Tatum","25","BOS","PF",15.4,316.572,234.579852,238.142,105.020622,131.192,51.033688,131.192,52.083224,0
"17","reaveau01",2024,"Austin Reaves","25","LAL","SG",16.1,168.26,136.2906,181.42,94.15698,110.92,49.914,60.16,23.04128,0
"18","maxeyty01",2024,"Tyrese Maxey","23","PHI","PG",14.7,315.018,210.117006,324.951,131.930106,130.548,51.174816,79.464,32.818632,0
"19","doncilu01",2024,"Luka Dončić","24","DAL","PG",16.9,203.196,170.278248,317.184,180.477696,251.104,110.987968,135.464,57.165808,0
"20","vucevni01",2024,"Nikola Vučević","33","CHI","C",12.1,272.475,175.746375,365.722,201.878544,155.008,73.938816,104.146,42.074984,0
"21","greenja05",2024,"Jalen Green","21","HOU","SG",15.8,289.044,200.018448,221.112,76.062528,85.248,30.092544,131.868,55.912032,0
"22","goberru01",2024,"Rudy Gobert","31","MIN","C",2.7,464.798,350.92249,119.73,47.892,17.806,3.952932,7.982,2.99325,0
"23","murrake02",2024,"Keegan Murray","23","SAC","SF",17.3,135.525,98.6622,145.275,81.208725,109.2,52.0884,74.1,28.0098,0
"24","bridgmi02",2024,"Miles Bridges","25","CHO","SF",13.6,342.43,238.33128,250.47,106.19928,70.18,24.07174,98.01,34.00947,0
"25","lillada01",2024,"Damian Lillard","33","MIL","PG",17.2,247.738,167.718626,187.719,58.943766,99.606,40.240824,120.038,54.0171,0
"26","antetgi01",2024,"Giannis Antetokounmpo","29","MIL","PF",6.7,710.511,581.197998,343.619,155.315788,93.092,30.068716,98.568,36.864432,0
"27","portemi01",2024,"Michael Porter Jr.","25","DEN","SF",17.5,193.141,140.027225,99.268,41.096952,86.32,41.17464,146.744,79.828736,0
"28","gilgesh01",2024,"Shai Gilgeous-Alexander","25","OKC","PG",11.3,374.724,273.923244,333.088,163.879296,386.62,204.9086,123.421,58.254712,0
"29","allengr01",2024,"Grayson Allen","28","PHO","SG",18.2,130.944,89.958528,88.66,38.83308,15.686,5.88225,0.682,0,0
"30","jamesle01",2024,"LeBron James","39","LAL","PF",11.6,437.805,337.98546,275.373,132.729786,98.982,30.981366,92.637,33.905142,0
"31","georgpa01",2024,"Paul George","33","LAC","PF",17.7,158.208,111.220224,154.5,69.216,150.792,78.864216,185.4,80.0928,0
"32","schrode01",2024,"Dennis Schröder","30","2TM","PG",15.2,178.911,108.956799,160.371,60.139125,137.196,61.05222,83.43,35.20746,0
"33","russeda01",2024,"D'Angelo Russell","27","LAL","PG",17.4,117.72,92.76336,221.4,89.2242,124.2,57.132,72.36,27.135,0
"34","hardeja01",2024,"James Harden","34","LAC","PG",18.5,118.368,83.212704,112.614,38.85183,81.378,37.189746,22.194,7.057692,0
"35","bookede01",2024,"Devin Booker","27","PHO","PG",15.4,182.7,138.852,206.19,92.16693,301.455,166.101705,197.055,93.00996,0
"36","allenja01",2024,"Jarrett Allen","25","CLE","C",4.2,453.726,334.849788,276.822,146.992482,66.339,33.1695,16.38,4.095,0
"37","smithja05",2024,"Jabari Smith Jr.","20","HOU","PF",16.1,155.771,106.858906,116.62,55.86098,118.286,54.174988,61.642,22.869182,0
"38","curryst01",2024,"Stephen Curry","35","GSW","PG",19.8,106.93,73.99556,249.985,126.99238,93.925,40.01205,118.49,52.25409,0
"39","adebaba01",2024,"Bam Adebayo","26","MIA","C",8.5,249.165,181.142955,373.239,192.218085,282.726,114.786756,70.173,27.086778,0
"40","holmgch01",2024,"Chet Holmgren","21","OKC","C",12.8,282.088,217.20776,198.224,106.04984,88.629,40.857969,35.261,12.094523,0
"41","lopezbr01",2024,"Brook Lopez","35","MIL","C",16.6,187.24,147.17064,92.11,38.04143,58.135,25.056185,14.345,8.190995,0
"42","caldwke01",2024,"Kentavious Caldwell-Pope","30","DEN","SG",17.2,103.899,63.897885,49.895,21.9538,52.243,22.098789,72.788,36.903516,0
"43","bogdabo01",2024,"Bogdan Bogdanović","31","ATL","SG",18.4,135.3,76.1739,162.8,74.888,104.5,53.713,56.1,26.0304,0
"44","millebr02",2024,"Brandon Miller","21","CHO","SF",16.7,152.703,102.769119,181.944,74.960928,176.529,75.201354,79.059,39.055146,0
"45","barneha02",2024,"Harrison Barnes","31","SAC","PF",15.9,133.224,91.125216,163.236,84.06654,38.064,16.024944,13.176,7.088688,0
"46","whitede01",2024,"Derrick White","29","BOS","SG",18,95.646,73.743066,161.088,81.993792,67.12,25.03576,20.136,10.068,0
"47","harrito02",2024,"Tobias Harris","31","PHI","PF",11.9,254.868,174.839448,238.701,102.880131,133.14,68.03454,65.619,25.853886,0
"48","divindo01",2024,"Donte DiVincenzo","27","NYK","SG",19.2,178.712,107.763336,81.324,33.098868,27.108,15.072048,12.048,6.024,0
"49","poolejo01",2024,"Jordan Poole","24","WAS","SG",17.1,185.016,132.101424,213.48,84.11112,137.576,53.241912,86.578,36.79565,0
"50","brownja02",2024,"Jaylen Brown","27","BOS","SF",13,310.232,224.297736,297.672,144.966264,149.464,77.72128,87.92,34.99216,0
"51","beaslma01",2024,"Malik Beasley","27","MIL","SG",20.7,52.706,38.791616,72.2,34.0784,28.88,11.95632,25.992,10.994616,0
"52","wagnefr01",2024,"Franz Wagner","22","ORL","SF",11.3,345.24,247.19184,350.72,160.98048,42.744,18.892848,24.112,7.040704,0
"53","leonaka01",2024,"Kawhi Leonard","32","LAC","SF",13.9,195.216,154.22064,232.4,125.2636,285.852,142.926,112.714,47.90345,0
"54","joneshe01",2024,"Herbert Jones","25","NOP","SF",13.8,182.868,128.92194,95.256,37.054584,12.936,2.988216,24.108,10.053036,0
"55","gordoaa01",2024,"Aaron Gordon","28","DEN","PF",7.4,396.664,292.738032,131.028,50.052696,37.948,9.980324,12.172,5.075724,0
"56","thompkl01",2024,"Klay Thompson","33","GSW","SF",20.3,57.783,41.834892,122.364,59.224176,121.231,56.129953,140.492,65.188288,0
"57","kuzmaky01",2024,"Kyle Kuzma","28","WAS","PF",13.7,270.478,213.407142,357.136,161.068336,153.621,54.842697,81.406,27.759446,0
"58","holidjr01",2024,"Jrue Holiday","33","BOS","PG",15.7,112.307,77.267216,150.891,73.93659,68.211,27.079767,35.828,14.940276,0
"59","avdijde01",2024,"Deni Avdija","23","WAS","SF",10.9,269.808,198.848496,239.294,102.178538,35.332,6.041772,24.09,11.03322,0
"60","vassede01",2024,"Devin Vassell","23","SAS","SG",16.4,172.128,123.07152,133.056,67.991616,167.904,92.011392,137.28,49.14624,0
"61","dortlu01",2024,"Luguentz Dort","24","OKC","SF",17.4,139.284,85.241808,63.072,25.039584,32.85,13.9284,26.28,8.09424,0
"62","strusma01",2024,"Max Strus","27","CLE","SF",18.3,173.264,105.171248,56.784,19.931184,11.648,7.769216,7.28,3.12312,0
"63","brookdi01",2024,"Dillon Brooks","28","HOU","SF",15.7,132.864,93.934848,175.104,63.03744,63.744,26.899968,26.112,12.063744,0
"64","halibty01",2024,"Tyrese Haliburton","23","IND","PG",17.6,162.44,107.2104,179.208,106.091136,91.176,51.05856,80.696,40.832176,0
"65","willija06",2024,"Jalen Williams","22","OKC","PF",11.9,259.173,189.19629,239.313,113.195049,169.803,89.825787,84.405,41.18964,0
"66","washipj01",2024,"P.J. Washington","25","2TM","PF",15.5,162.2,117.1084,193.829,87.998366,31.629,13.853502,9.732,2.9196,0
"67","iveyja01",2024,"Jaden Ivey","21","DET","SG",13.8,216.006,141.915942,242.277,100.060401,114.814,38.921946,31.136,12.049632,0
"68","dosunay01",2024,"Ayo Dosunmu","24","CHI","SG",13,240.146,157.055484,117.916,54.948856,35.95,12.97795,30.198,16.095534,0
"69","willizi01",2024,"Zion Williamson","23","NOP","PF",4,598.418,429.065706,441.976,175.022496,32.82,12.93108,3.282,1.092906,0
"70","conlemi01",2024,"Mike Conley","36","MIN","PG",18.8,54.096,35.054208,103.684,50.80516,57.96,20.98152,23.184,8.068032,0
"71","sochaje01",2024,"Jeremy Sochan","20","SAS","PF",11,257.632,169.779488,198.656,71.913472,65.184,19.033728,27.16,9.04428,0
"72","hieldbu01",2024,"Buddy Hield","31","2TM","SF",19.1,136.85,89.91045,83.3,37.1518,26.35,9.1171,35.7,15.8508,0
"73","mccolcj01",2024,"CJ McCollum","32","NOP","PG",17.5,112.885,65.92484,196.23,91.05072,127.655,60.891435,61.19,27.10717,0
"74","dinwisp01",2024,"Spencer Dinwiddie","30","2TM","PG",17.9,81.28,52.18176,136.32,58.07232,40.32,13.104,14.72,3.93024,0
"75","jonestr01",2024,"Tre Jones","24","SAS","PG",11.5,196.8,142.8768,145.2,72.1644,60,22.02,7.2,2.0592,0
"76","willigr01",2024,"Grant Williams","25","2TM","PF",16.4,110.715,87.796995,99.825,39.93,47.795,17.923125,10.285,4.114,0
