"","key","Year","Player","Age","Team","Pos","Dist.","X0.3A","X0.3M","X3.10A","X3.10M","X10.16A","X10.16M","X16.3A","X16.3M","Playoffs"
"1","kiddja01",1999,"Jason Kidd","25","PHO","PG",13.5,210.098,131.101152,78.176,29.081472,115.868,39.97446,171.01,64.9838,0
"2","finlemi01",1999,"Michael Finley","25","DAL","SF",13.8,211.992,131.011056,122.64,52.85784,140.16,55.08288,265.428,105.109488,0
"3","abdursh01",1999,"Shareef Abdur-Rahim","22","VAN","SF",8.7,298.262,166.131934,295.583,109.956876,120.555,46.77534,141.987,51.967242,0
"4","pippesc01",1999,"Scottie Pippen","33","HOU","SF",15,167.912,115.85928,79.728,25.9116,50.132,16.04224,94.224,31.09392,0
"5","paytoga01",1999,"Gary Payton","30","SEA","PG",13,287.976,198.127488,184.6,68.8558,86.762,19.95526,82.147,31.051566,0
"6","iversal01",1999,"Allen Iverson","23","PHI","SG",13.6,270.336,174.096384,139.392,32.06016,174.24,55.05984,273.504,115.692192,0
"7","duncati01",1999,"Tim Duncan","22","SAS","PF",7.8,256.88,171.85272,314.34,140.19564,185.9,64.8791,81.12,40.07328,0
"8","hardaan01",1999,"Anfernee Hardaway","27","ORL","SG",13.2,215.817,137.907063,116.871,39.969882,83.889,26.00559,159.891,56.921196,0
"9","mcdyean01",1999,"Antonio McDyess","24","DEN","C",11.2,262.836,169.792056,142.002,60.066846,215.208,78.120504,253.134,106.063146,0
"10","richmmi01",1999,"Mitch Richmond","33","WAS","SG",15.2,157.388,94.275412,100.375,33.12375,85.118,36.090032,240.097,97.959576,0
"11","bryanko01",1999,"Kobe Bryant","20","LAL","SG",13.1,194.75,143.7255,105.944,46.933192,176.054,69.013168,200.982,74.966286,0
"12","marbust01",1999,"Stephon Marbury","21","2TM","PG",14.2,278.145,155.20491,95.364,26.129736,77.704,28.905888,234.878,101.937052,0
"13","jonesed02",1999,"Eddie Jones","27","2TM","SF",13,208.25,128.07375,67.83,20.95947,91.035,30.04155,86.275,33.1296,0
"14","hillgr01",1999,"Grant Hill","26","DET","SF",10.8,260.65,164.7308,117.092,45.08042,225.362,100.060728,185.262,74.1048,0
"15","wesleda01",1999,"David Wesley","28","CHH","PG",16.6,119.9,73.9783,28.885,10.947415,55.045,18.990525,171.13,78.03528,0
"16","malonka01",1999,"Karl Malone","35","UTA","PF",11.2,273.371,179.331376,89.264,35.080752,154.618,54.88939,278.95,123.8538,0
"17","mutomdi01",1999,"Dikembe Mutombo","32","ATL","C",6,142.974,95.935554,170.014,71.065852,22.984,5.998824,2.028,0,0
"18","houstal01",1999,"Allan Houston","27","NYK","SG",15.4,113.183,65.080225,78.736,19.920208,135.679,48.84444,234.802,102.843276,0
"19","willija02",1999,"Jason Williams","23","SAC","PG",19.2,90.699,60.76833,40.105,10.02625,54.296,22.098472,109.209,38.113941,0
"20","vanexni01",1999,"Nick Van Exel","27","DEN","PG",15.4,136.113,72.003777,139.189,58.041813,123.809,52.866443,136.113,51.042375,0
"21","millere01",1999,"Reggie Miller","33","IND","SG",18.1,65.758,44.846956,50.996,19.021508,99.308,37.141192,179.828,86.856924,0
"22","olajuha01",1999,"Hakeem Olajuwon","36","HOU","C",9.8,168.2,121.104,229.1,101.9495,192.125,84.15075,123.25,62.118,0
"23","garneke01",1999,"Kevin Garnett","22","MIN","PF",11.9,173.7,116.7264,201.6,75.8016,241.2,99.1332,269.1,118.1349,0
"24","hardati01",1999,"Tim Hardaway","32","MIA","PG",18,112.8,62.9424,73.696,25.867296,54.144,17.05536,200.784,82.923792,0
"25","russebr01",1999,"Bryon Russell","28","UTA","SF",14.7,159.12,102.15504,36.036,15.027012,26.208,9.067968,100.152,39.05928,0
"26","chrisdo01",1999,"Doug Christie","28","TOR","SG",14.8,157.3,78.1781,78,20.982,102.05,37.04415,152.1,67.0761,0
"27","schrede01",1999,"Detlef Schrempf","36","SEA","SF",12.5,119.133,84.107898,130.113,53.086104,85.095,29.017395,129.015,58.959855,0
"28","blaylmo01",1999,"Mookie Blaylock","31","ATL","PG",18.1,104.16,60.10032,31.248,8.061984,70.308,21.0924,195.3,81.0495,0
"29","divacvl01",1999,"Vlade Divac","30","SAC","C",10.2,193.836,126.96258,160.973,62.940443,46.788,18.902352,111.957,41.983875,0
"30","cartevi01",1999,"Vince Carter","22","TOR","SF",11.7,197.628,118.774428,172.35,82.21095,163.158,54.984246,166.988,69.967972,0
"31","bibbymi01",1999,"Mike Bibby","20","VAN","PG",14.7,93.775,59.82845,91.96,28.9674,84.095,32.040195,260.755,123.858625,0
"32","hunteli01",1999,"Lindsey Hunter","28","DET","PG",16.5,85.936,42.968,46.112,15.032512,91.176,36.105696,147.768,74.918376,0
"33","mournal01",1999,"Alonzo Mourning","28","MIA","C",8.6,209.22,147.08166,190.2,88.0626,143.284,57.170316,88.76,31.9536,0
"34","robincl02",1999,"Clifford Robinson","32","PHO","SF",12.7,157.879,106.884083,140.896,55.935712,96.866,33.999966,93.721,43.861428,0
"35","allenra02",1999,"Ray Allen","23","MIL","SG",15.2,150.079,98.001587,72.684,34.815636,119.794,47.9176,121.813,47.872509,0
"36","webbech01",1999,"Chris Webber","25","SAC","PF",9.6,218.618,160.68423,239.624,114.779896,140.818,49.99039,143.93,47.92869,0
"37","snower01",1999,"Eric Snow","25","PHI","PG",10.4,122.844,79.8486,67.86,11.94336,58.116,20.05002,77.952,31.96032,0
"38","onealsh01",1999,"Shaquille O'Neal","26","LAL","C",5.3,375.24,286.30812,464.625,210.0105,44.25,14.0715,0,NA,0
"39","starkjo01",1999,"John Starks","33","GSW","SG",18.8,74.984,39.966472,34.944,12.964224,59.696,19.878768,289.016,117.918528,0
"40","stoudda01",1999,"Damon Stoudamire","25","POR","PG",15.6,135.235,72.080255,81.141,27.019953,67.932,20.990988,203.167,85.126973,0
"41","johnsav01",1999,"Avery Johnson","33","SAS","PG",10.2,172.875,99.92175,94.044,40.062744,46.1,17.057,135.995,59.973795,0
"42","grantho01",1999,"Horace Grant","33","ORL","PF",14.4,72.96,48.00768,48.792,11.95404,57,11.001,274.968,127.035216,0
"43","kukocto01",1999,"Toni Kukoč","30","CHI","SF",13.9,171.75,109.92,110.25,47.07675,129,37.023,201.75,81.9105,0
"44","hawkihe01",1999,"Hersey Hawkins","32","SEA","SG",16.7,51,36.975,73.848,36.924,33.864,14.934024,68.952,26.960232,0
"45","johnsla02",1999,"Larry Johnson","29","NYK","PF",11,212.97,126.93012,74.196,24.039504,55.876,14.974768,22.9,10.9462,0
"46","oaklech01",1999,"Charles Oakley","35","TOR","PF",15.5,42.837,21.932544,23.871,4.965168,44.145,10.020915,210.915,101.871945,0
"47","piercpa01",1999,"Paul Pierce","21","BOS","SF",12.5,205.746,110.897094,113.225,38.0436,62.759,21.902891,60.818,28.88855,0
