"","key","Year","Player","Age","Team","Pos","Dist.","X0.3A","X0.3M","X3.10A","X3.10M","X10.16A","X10.16M","X16.3A","X16.3M","Playoffs"
"1","ellismo01",2011,"Monta Ellis","25","GSW","SG",14.2,386.64,271.80792,214.263,80.777151,146.601,47.205522,483.3,188.487,0
"2","aldrila01",2011,"LaMarcus Aldridge","25","POR","PF",9.3,452.8,318.7712,383.465,152.235605,219.325,88.16865,336.77,143.80079,0
"3","denglu01",2011,"Luol Deng","25","CHI","SF",13.7,309.54,206.46318,182.49,83.21544,79.695,23.9085,250.635,102.76035,0
"4","wrighdo01",2011,"Dorell Wright","25","GSW","SF",16.1,247.536,164.61144,128.352,47.105184,90.534,24.89685,162.732,53.864292,0
"5","griffbl01",2011,"Blake Griffin","21","LAC","PF",7.2,561.408,386.810112,437.568,189.029376,140.352,41.824896,211.904,70.98784,0
"6","jamesle01",2011,"LeBron James","26","MIA","SF",12.7,421.74,313.77456,255.42,117.23778,139.59,61.83837,389.07,173.13615,0
"7","duranke01",2011,"Kevin Durant","22","OKC","SF",15.5,249.156,198.07902,173.794,71.950716,246.08,108.02912,455.248,188.017424,0
"8","gasolpa01",2011,"Pau Gasol","30","LAL","C",7.9,350.56,243.6392,387.52,166.24608,218.4,98.28,161.28,84.18816,0
"9","rosede01",2011,"Derrick Rose","22","CHI","PG",13,469.518,286.875498,261.908,97.953592,167.685,73.278345,313.012,124.891788,0
"10","jeffeal01",2011,"Al Jefferson","26","UTA","C",8.1,415.485,272.142675,437.908,193.117428,250.61,98.74034,214.997,90.083743,0
"11","howardw01",2011,"Dwight Howard","25","ORL","C",4.9,516.78,388.61856,401.94,182.07882,100.224,38.08512,17.748,9.867888,0
"12","holidjr01",2011,"Jrue Holiday","20","PHI","PG",12.6,264.735,158.841,181.818,62.909028,143.856,55.959984,185.814,86.960952,0
"13","allenra02",2011,"Ray Allen","35","BOS","SG",16.3,169.194,110.145294,83.13,40.06866,118.338,54.198804,229.83,108.0201,0
"14","lopezbr01",2011,"Brook Lopez","22","NJN","C",8.4,316.778,197.98625,572.033,283.156335,196.35,78.1473,222.53,84.78393,0
"15","paulch01",2011,"Chris Paul","25","NOH","PG",14.2,134.56,82.7544,190.24,85.03728,169.824,73.87344,249.632,116.827776,0
"16","conlemi01",2011,"Mike Conley","23","MEM","PG",12.2,278.276,174.200776,187.741,64.958386,81.958,27.947678,187.741,75.847364,0
"17","stoudam01",2011,"Amar'e Stoudemire","28","NYK","C",8.9,465.348,298.288068,437.19,186.24294,204.516,86.305752,352.716,164.01294,0
"18","derozde01",2011,"DeMar DeRozan","21","TOR","SG",11.2,342.738,207.699228,196.18,92.98932,203.104,92.006112,360.048,141.138816,0
"19","westbru01",2011,"Russell Westbrook","22","OKC","PG",9.6,500.4,303.2424,258.54,79.11324,246.03,89.06286,283.56,109.1706,0
"20","wadedw01",2011,"Dwyane Wade","29","MIA","SG",10.4,506.544,347.489184,267.112,129.015096,156.392,56.144728,247.736,95.873832,0
"21","brandel01",2011,"Elton Brand","31","PHI","PF",9.7,194.238,128.19708,263.889,117.958383,401.229,204.225561,120.663,51.88509,0
"22","boshch01",2011,"Chris Bosh","26","MIA","PF",11.4,237.6,167.7456,224.928,96.943968,199.584,84.8232,367.488,167.942016,0
"23","bryanko01",2011,"Kobe Bryant","32","LAL","SG",14.5,249.128,159.192792,311.41,152.5909,314.688,163.323072,408.111,150.184848,0
"24","diawbo01",2011,"Boris Diaw","28","CHA","PF",12.7,233.748,155.909916,150.156,75.078,34.056,12.021768,130.032,60.074784,0
"25","piercpa01",2011,"Paul Pierce","33","BOS","SF",13.6,294.048,211.126464,92.911,34.005426,155.192,75.112928,181.738,75.966484,0
"26","grangda01",2011,"Danny Granger","27","IND","SF",14.9,264.6,162.4644,183.96,68.0652,114.66,43.91478,289.8,104.0382,0
"27","matthwe02",2011,"Wesley Matthews","24","POR","SG",14,272.162,174.18368,157.619,60.840934,71.467,20.153694,99.858,30.95598,0
"28","augusdj01",2011,"D.J. Augustin","23","CHA","PG",14.3,298.896,162.89832,104.422,29.133738,43.11,16.03692,179.146,80.078262,0
"29","anthoca01",2011,"Carmelo Anthony","26","2TM","SF",12.7,482.463,286.583022,151.803,46.907127,186.372,65.789316,429.858,189.13752,0
"30","feltora01",2011,"Raymond Felton","26","2TM","SG",15,219.09,127.0722,166.83,62.89491,58.29,22.09191,232.155,99.130185,0
"31","udrihbe01",2011,"Beno Udrih","28","SAC","PG",14.3,159.856,121.970128,98.88,45.9792,171.392,86.210176,211.768,92.966152,0
"32","randoza01",2011,"Zach Randolph","29","MEM","PF",7.3,468.072,306.119088,390.852,179.010216,137.808,47.957184,148.5,57.1725,0
"33","richaja01",2011,"Jason Richardson","30","2TM","SG",15.9,229.152,155.135904,121.44,46.1472,53.856,17.934048,173.184,64.07808,0
"34","horfoal01",2011,"Al Horford","24","ATL","C",10.8,212.751,161.903511,224.724,100.901076,138.15,67.1409,340.77,180.94887,0
"35","wallage01",2011,"Gerald Wallace","28","2TM","SF",11.4,347.208,211.102464,103.822,33.949794,17.02,6.00806,196.581,72.931551,0
"36","kiddja01",2011,"Jason Kidd","37","DAL","PG",20.9,48.276,29.158704,32.78,11.93192,26.82,6.94638,97.148,34.098948,0
"37","millean02",2011,"Andre Miller","34","POR","PG",10.6,232.944,154.90776,183.148,77.105308,184.836,75.967596,205.936,75.990384,0
"38","smithjo03",2011,"Josh Smith","25","ATL","PF",12,325.833,223.847271,181.134,76.98195,73.911,19.95597,306.054,124.870032,0
"39","odomla01",2011,"Lamar Odom","31","LAL","PF",10.6,342.019,241.123395,194.674,97.921022,47.329,14.104042,131.271,52.114587,0
"40","leeda02",2011,"David Lee","27","GSW","PF",8.9,346.212,238.193856,230.808,78.936336,117.36,52.10784,280.686,125.747328,0
"41","loveke01",2011,"Kevin Love","22","MIN","PF",10.4,361.152,222.10848,265.734,105.762132,80.028,25.048764,107.73,40.9374,0
"42","walljo01",2011,"John Wall","20","WAS","PG",11,353.808,214.05384,141.912,37.039032,116.64,35.92512,243.972,77.095152,0
"43","millspa01",2011,"Paul Millsap","25","UTA","PF",9.6,342.836,238.956692,185.744,72.811648,164.008,79.051856,271.7,124.982,0
"44","martike02",2011,"Kevin Martin","27","HOU","SG",15.7,235.662,165.670386,162.176,61.140352,133.035,56.007735,277.473,94.063347,0
"45","arizatr01",2011,"Trevor Ariza","25","NOH","SF",13.5,217.932,146.886168,125.73,30.92958,48.768,9.948672,98.298,33.126426,0
"46","gasolma01",2011,"Marc Gasol","26","MEM","C",7.1,228.721,166.737609,306.804,132.846132,84.993,33.9972,62.881,26.975949,0
"47","terryja01",2011,"Jason Terry","33","DAL","SG",16.4,121.101,89.130336,137.466,50.17509,171.287,73.139549,310.935,152.98002,0
"48","lowryky01",2011,"Kyle Lowry","24","HOU","PG",15.8,182.025,121.046625,115.687,46.853235,46.113,12.035493,122.159,36.036905,0
"49","princta01",2011,"Tayshaun Prince","30","DET","SF",12.2,204.204,162.137976,187.187,81.051971,202.202,75.016942,310.31,121.0209,0
