"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"115","kingji01",1969,"Jim King",27,"SFW","PG",46,1010,137,394,0.348,78,108,0.722,120,123,99,352,0,"",0
"116","cunnidi01",1969,"Dick Cunningham",22,"MIL","C",77,1236,141,332,0.425,69,106,0.651,438,58,166,351,0,"",0
"117","greenjo01",1969,"Johnny Green",35,"PHI","PF",74,795,146,282,0.518,57,125,0.456,330,47,110,349,0,"",0
"118","thornro01",1969,"Rod Thorn",27,"SEA","SG",29,567,131,283,0.463,71,97,0.732,83,80,58,333,0,"",0
"119","jacksph01",1969,"Phil Jackson",23,"NYK","PF",47,924,126,294,0.429,80,119,0.672,246,43,168,332,0,"",0
"120","lewisbo01",1969,"Bobby Lewis",23,"SFW","SG",62,756,113,290,0.39,83,113,0.735,114,76,117,309,0,"",0
"121","barneji01",1969,"Jim Barnes",27,"2TM","C",59,706,115,261,0.441,75,111,0.676,224,28,122,305,0,"",0
"122","dinwibi01",1969,"Bill Dinwiddie",25,"CIN","SF",69,1028,124,352,0.352,45,87,0.517,242,55,146,293,0,"",0
"123","mannied01",1969,"Ed Manning",25,"BAL","PF",63,727,129,288,0.448,35,54,0.648,246,21,120,293,0,"",0
"124","lovebo01",1969,"Bob Love",26,"2TM","PF",49,542,108,272,0.397,71,96,0.74,150,17,59,287,0,"",0
"125","guokama02",1969,"Matt Guokas",24,"PHI","SF",72,838,92,216,0.426,54,81,0.667,94,104,121,238,0,"",0
"126","willisa01",1969,"Sam Williams",24,"MIL","SG",55,628,78,228,0.342,72,134,0.537,109,61,106,228,0,"",0
"127","murredo01",1969,"Dorie Murrey",25,"SEA","PF",38,465,75,194,0.387,62,97,0.639,149,21,81,212,0,"",0
"128","maydo01",1969,"Don May",23,"NYK","SF",48,560,81,223,0.363,42,58,0.724,114,35,64,204,0,"",0
"129","bowmana01",1969,"Nate Bowman",25,"NYK","C",67,607,82,226,0.363,29,61,0.475,220,53,142,193,0,"",0
"130","barnhjo01",1969,"John Barnhill",30,"BAL","PG",30,504,76,175,0.434,39,65,0.6,53,71,63,191,0,"",0
"131","fostefr01",1969,"Fred Foster",22,"CIN","SF",56,497,74,193,0.383,43,66,0.652,61,36,49,191,0,"",0
