"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","youngtr01",2022,"Trae Young",23,"ATL","PG",76,76,2652,711,1544,0.46,233,610,0.382,478,934,0.512,0.536,500,553,0.904,50,234,284,737,72,7,303,128,2155,"AS,NBA3"
"2","derozde01",2022,"DeMar DeRozan",32,"CHI","PF",76,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,"MVP-10,AS,NBA2"
"3","embiijo01",2022,"Joel Embiid",27,"PHI","C",68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,"MVP-2,AS,NBA2"
"4","tatumja01",2022,"Jayson Tatum",23,"BOS","SF",76,76,2731,708,1564,0.453,230,651,0.353,478,913,0.524,0.526,400,469,0.853,85,524,609,334,75,49,217,174,2046,"MVP-6,AS,NBA1"
"5","jokicni01",2022,"Nikola Jokic",26,"DEN","C",74,74,2476,764,1311,0.583,97,288,0.337,667,1023,0.652,0.62,379,468,0.81,206,813,1019,584,109,63,281,191,2004,"MVP-1,AS,NBA1"
"6","antetgi01",2022,"Giannis Antetokounmpo",27,"MIL","PF",67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,"MVP-3,DPOY-6,AS,NBA1"
"7","doncilu01",2022,"Luka Doncic",22,"DAL","PG",65,65,2301,641,1403,0.457,201,569,0.353,440,834,0.528,0.529,364,489,0.744,56,537,593,568,75,36,292,145,1847,"MVP-5,AS,NBA1"
"8","bookede01",2022,"Devin Booker",25,"PHO","SG",68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,"MVP-4,AS,NBA1"
"9","townska01",2022,"Karl-Anthony Towns",26,"MIN","C",74,74,2476,642,1214,0.529,150,366,0.41,492,848,0.58,0.591,384,467,0.822,194,533,727,269,72,83,226,267,1818,"AS,NBA3"
"10","mitchdo01",2022,"Donovan Mitchell",25,"UTA","SG",67,67,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733,"AS"
"11","jamesle01",2022,"LeBron James",37,"LAL","C",56,56,2084,640,1221,0.524,161,448,0.359,479,773,0.62,0.59,254,336,0.756,63,396,459,349,73,59,196,121,1695,"MVP-10,AS,NBA3"
"12","duranke01",2022,"Kevin Durant",33,"BRK","PF",55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,"MVP-10,AS,NBA2"
"13","lavinza01",2022,"Zach LaVine",26,"CHI","SG",67,67,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,"AS"
"14","curryst01",2022,"Stephen Curry",33,"GSW","PG",64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,"MVP-8,AS,NBA2"
"15","bridgmi02",2022,"Miles Bridges",23,"CHO","PF",80,80,2837,596,1214,0.491,154,465,0.331,442,749,0.59,0.554,267,333,0.802,90,469,559,300,74,67,150,193,1613,""
"16","moranja01",2022,"Ja Morant",22,"MEM","PG",57,57,1889,580,1177,0.493,88,256,0.344,492,921,0.534,0.53,316,415,0.761,77,248,325,384,66,22,196,86,1564,"MVP-7,MIP-1,AS,NBA2"
"17","brownja02",2022,"Jaylen Brown",25,"BOS","SF",66,66,2220,576,1217,0.473,166,464,0.358,410,753,0.544,0.541,241,318,0.758,53,351,404,231,70,18,178,163,1559,""
"18","siakapa01",2022,"Pascal Siakam",27,"TOR","PF",68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551,"NBA3"
"19","edwaran01",2022,"Anthony Edwards",20,"MIN","SG",72,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,""
"20","ballla01",2022,"LaMelo Ball",20,"CHO","PG",75,75,2422,538,1254,0.429,220,565,0.389,318,689,0.462,0.517,212,243,0.872,108,393,501,571,119,30,245,237,1508,"AS"
"21","garlada01",2022,"Darius Garland",22,"CLE","PG",68,68,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,"AS"
"22","randlju01",2022,"Julius Randle",27,"NYK","PF",72,72,2544,512,1246,0.411,120,390,0.308,392,856,0.458,0.459,303,401,0.756,125,591,716,370,53,39,245,205,1447,""
"23","westbru01",2022,"Russell Westbrook",33,"LAL","PG",78,78,2678,548,1233,0.444,79,265,0.298,469,968,0.485,0.476,266,399,0.667,110,470,580,550,75,20,295,235,1441,""
