"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","abdulka01",1971,"Kareem Abdul-Jabbar",23,"MIL","C",82,3288,1063,1843,0.577,1063,1843,0.577,0.577,470,681,0.69,1311,272,264,2596,"MVP-1,AS,NBA1"
"2","hayesel01",1971,"Elvin Hayes",25,"SDR","C",82,3633,948,2215,0.428,948,2215,0.428,0.428,454,676,0.672,1362,186,225,2350,"AS"
"3","havlijo01",1971,"John Havlicek",30,"BOS","SF",81,3678,892,1982,0.45,892,1982,0.45,0.45,554,677,0.818,730,607,200,2338,"MVP-6,AS,NBA1"
"4","bingda01",1971,"Dave Bing",27,"DET","PG",82,3065,799,1710,0.467,799,1710,0.467,0.467,615,772,0.797,364,408,228,2213,"MVP-3,AS,NBA1"
"5","lovebo01",1971,"Bob Love",28,"CHI","PF",81,3482,765,1710,0.447,765,1710,0.447,0.447,513,619,0.829,690,185,259,2043,"MVP-7,AS,NBA2"
"6","hudsolo01",1971,"Lou Hudson",26,"ATL","SF",76,3113,829,1713,0.484,829,1713,0.484,0.484,381,502,0.759,386,257,186,2039,"AS"
"7","petrige01",1971,"Geoff Petrie",22,"POR","SG",82,3032,784,1770,0.443,784,1770,0.443,0.443,463,600,0.772,280,390,196,2031,"ROY-1,AS"
"8","maravpe01",1971,"Pete Maravich",23,"ATL","SG",81,2926,738,1613,0.458,738,1613,0.458,0.458,404,505,0.8,298,355,238,1880,"ROY-3"
"9","vanarto01",1971,"Tom Van Arsdale",27,"CIN","SF",82,3146,749,1642,0.456,749,1642,0.456,0.456,377,523,0.721,499,181,294,1875,"AS"
"10","cunnibi01",1971,"Billy Cunningham",27,"PHI","SF",81,3090,702,1519,0.462,702,1519,0.462,0.462,455,620,0.734,946,395,328,1859,"MVP-9,AS,NBA1"
"11","westje01",1971,"Jerry West",32,"LAL","PG",69,2845,667,1351,0.494,667,1351,0.494,0.494,525,631,0.832,320,655,180,1859,"MVP-2,AS,NBA1"
"12","walkech01",1971,"Chet Walker",30,"CHI","SF",81,2927,650,1398,0.465,650,1398,0.465,0.465,480,559,0.859,588,179,187,1780,"AS"
"13","vanardi01",1971,"Dick Van Arsdale",27,"PHO","SG",81,3157,609,1346,0.452,609,1346,0.452,0.452,553,682,0.811,316,329,246,1771,"AS"
"14","clarkar01",1971,"Archie Clark",29,"PHI","PG",82,3245,662,1334,0.496,662,1334,0.496,0.496,422,536,0.787,391,440,217,1746,""
"15","fraziwa01",1971,"Walt Frazier",25,"NYK","PG",80,3455,651,1317,0.494,651,1317,0.494,0.494,434,557,0.779,544,536,240,1736,"AS,NBA2"
"16","monroea01",1971,"Earl Monroe",26,"BAL","PG",81,2843,663,1501,0.442,663,1501,0.442,0.442,406,506,0.802,213,354,220,1732,"AS"
"17","chambwi01",1971,"Wilt Chamberlain",34,"LAL","C",82,3630,668,1226,0.545,668,1226,0.545,0.545,360,669,0.538,1493,352,174,1696,"AS"
"18","lantzst01",1971,"Stu Lantz",24,"SDR","SG",82,3102,585,1305,0.448,585,1305,0.448,0.448,519,644,0.806,406,344,230,1689,""
"19","thurmna01",1971,"Nate Thurmond",29,"SFW","C",82,3351,623,1401,0.445,623,1401,0.445,0.445,395,541,0.73,1128,257,192,1641,"MVP-8"
"20","whitejo01",1971,"Jo Jo White",24,"BOS","PG",75,2787,693,1494,0.464,693,1494,0.464,0.464,215,269,0.799,376,361,255,1601,"AS"
"21","snydedi01",1971,"Dick Snyder",26,"SEA","SG",82,2824,645,1215,0.531,645,1215,0.531,0.531,302,361,0.837,257,352,249,1592,""
"22","kauffbo01",1971,"Bob Kauffman",24,"BUF","C",78,2778,616,1309,0.471,616,1309,0.471,0.471,359,485,0.74,837,354,263,1591,"AS"
"23","roberos01",1971,"Oscar Robertson",32,"MIL","PG",81,3194,592,1193,0.496,592,1193,0.496,0.496,385,453,0.85,462,668,203,1569,"MVP-5,AS,NBA2"
"24","mullije01",1971,"Jeff Mullins",28,"SFW","SG",75,2909,630,1308,0.482,630,1308,0.482,0.482,302,358,0.844,341,332,246,1562,"AS"
"25","marinja01",1971,"Jack Marin",26,"BAL","SF",82,2920,626,1360,0.46,626,1360,0.46,0.46,290,342,0.848,513,217,261,1542,""
"26","lucasje01",1971,"Jerry Lucas",30,"SFW","PF",80,3251,623,1250,0.498,623,1250,0.498,0.498,289,367,0.787,1265,293,197,1535,"AS"
"27","maydo01",1971,"Don May",25,"BUF","SF",76,2666,629,1336,0.471,629,1336,0.471,0.471,277,350,0.791,567,150,219,1535,""
"28","reedwi01",1971,"Willis Reed",28,"NYK","C",73,2855,614,1330,0.462,614,1330,0.462,0.462,299,381,0.785,1003,148,228,1527,"MVP-4,AS,NBA2"
"29","greerha01",1971,"Hal Greer",34,"PHI","SG",81,3060,591,1371,0.431,591,1371,0.431,0.431,326,405,0.805,364,369,289,1508,""
"30","hairsha01",1971,"Happy Hairston",28,"LAL","PF",80,2921,574,1233,0.466,574,1233,0.466,0.466,337,431,0.782,797,168,256,1485,""
"31","hawkico01",1971,"Connie Hawkins",28,"PHO","SF",71,2662,512,1181,0.434,512,1181,0.434,0.434,457,560,0.816,643,322,197,1481,"AS"
"32","haskicl01",1971,"Clem Haskins",27,"PHO","PG",82,2764,562,1277,0.44,562,1277,0.44,0.44,338,431,0.784,324,383,207,1462,""
"33","sloanje01",1971,"Jerry Sloan",28,"CHI","SG",80,3140,592,1342,0.441,592,1342,0.441,0.441,278,389,0.715,701,281,289,1462,""
"34","weslewa01",1971,"Walt Wesley",26,"CLE","C",82,2425,565,1241,0.455,565,1241,0.455,0.455,325,473,0.687,713,83,295,1455,""
"35","dandrbo01",1971,"Bob Dandridge",23,"MIL","SF",79,2862,594,1167,0.509,594,1167,0.509,0.509,264,376,0.702,632,277,287,1452,""
"36","barneji02",1971,"Jim Barnett",26,"POR","SG",78,2371,559,1283,0.436,559,1283,0.436,0.436,326,402,0.811,376,323,190,1444,""
