"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","bingda01",1968,"Dave Bing",24,"DET","PG",79,3209,835,1893,0.441,472,668,0.707,373,509,254,2142,0,"MVP-4,AS,NBA1",0
"2","bayloel01",1968,"Elgin Baylor",33,"LAL","SF",77,3029,757,1709,0.443,488,621,0.786,941,355,232,2002,3,"MVP-3,AS,NBA1",0
"3","chambwi01",1968,"Wilt Chamberlain",31,"PHI","C",82,3836,819,1377,0.595,354,932,0.38,1952,702,160,1992,31,"MVP-1,AS,NBA1",0
"4","monroea01",1968,"Earl Monroe",23,"BAL","SG",82,3012,742,1637,0.453,507,649,0.781,465,349,282,1991,0,"ROY-1",0
"5","greerha01",1968,"Hal Greer",31,"PHI","SG",82,3263,777,1626,0.478,422,549,0.769,444,372,289,1976,0,"AS,NBA2",0
"6","roberos01",1968,"Oscar Robertson",29,"CIN","PG",65,2765,660,1321,0.5,576,660,0.873,391,633,199,1896,8,"MVP-5,AS,NBA1",0
"7","abdulma01",1968,"Walt Hazzard",25,"SEA","PG",79,2666,733,1662,0.441,428,553,0.774,332,493,246,1894,0,"AS",0
"8","lucasje01",1968,"Jerry Lucas",27,"CIN","PF",82,3619,707,1361,0.519,346,445,0.778,1560,251,243,1760,0,"AS,NBA1",0
"9","beatyze01",1968,"Zelmo Beaty",28,"STL","C",82,3068,639,1310,0.488,455,573,0.794,959,174,295,1733,0,"AS",0
"10","larusru01",1968,"Rudy LaRusso",30,"SFW","PF",79,2819,602,1389,0.433,522,661,0.79,741,182,337,1726,0,"AS",0
"11","havlijo01",1968,"John Havlicek",27,"BOS","SG",82,2921,666,1551,0.429,368,453,0.812,546,384,237,1700,2,"AS,NBA2",0
"12","reedwi01",1968,"Willis Reed",25,"NYK","PF",81,2879,659,1346,0.49,367,509,0.721,1073,159,343,1685,0,"AS,NBA2",0
"13","boozebo01",1968,"Bob Boozer",30,"CHI","PF",77,2988,622,1265,0.492,411,535,0.768,756,121,229,1655,0,"AS",0
"14","wilkele01",1968,"Lenny Wilkens",30,"STL","PG",82,3169,546,1246,0.438,546,711,0.768,438,679,255,1638,1,"MVP-2,AS",0
"15","howelba01",1968,"Bailey Howell",31,"BOS","PF",82,2801,643,1336,0.481,335,461,0.727,805,133,285,1621,0,"",0
