"","key","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","AST","PF","PTS","Awards"
"204","parslch01",1950,"Charlie Parsley",24,"PHW","",9,8,31,0.258,8,31,0.258,0.258,6,7,0.857,8,7,22,""
"205","pritcjo01",1950,"John Pritchard",23,"WAT","",7,9,29,0.31,9,29,0.31,0.31,4,11,0.364,8,14,22,""
"206","cloydpa01",1950,"Paul Cloyd",29,"2TM","",7,7,26,0.269,7,26,0.269,0.269,5,8,0.625,2,5,19,""
"207","doddea01",1950,"Earl Dodd",25,"DNN","",9,6,27,0.222,6,27,0.222,0.222,3,5,0.6,6,13,15,""
"208","menkeke01",1950,"Ken Menke",27,"WAT","",6,6,17,0.353,6,17,0.353,0.353,3,8,0.375,7,7,15,""
"209","nagelje01",1950,"Jerry Nagel",21,"FTW","",14,6,28,0.214,6,28,0.214,0.214,1,4,0.25,18,11,13,""
"210","bercege01",1950,"Gene Berce",23,"TRI","",3,5,16,0.313,5,16,0.313,0.313,0,5,0,2,6,10,""
"211","hahnro01",1950,"Robert Hahn",24,"CHS","",10,4,13,0.308,4,13,0.308,0.308,2,7,0.286,1,17,10,""
"212","mccarmi01",1950,"Mike McCarron",27,"2TM","",8,3,15,0.2,3,15,0.2,0.2,3,5,0.6,3,5,9,""
"213","nolanji01",1950,"Jim Nolan",22,"PHW","",5,4,21,0.19,4,21,0.19,0.19,0,0,NA,4,14,8,""
"214","rulloje01",1950,"Jerry Rullo",26,"PHW","",4,3,9,0.333,3,9,0.333,0.333,1,1,1,2,2,7,""
"215","woodbo01",1950,"Bob Wood",28,"SHE","",6,3,14,0.214,3,14,0.214,0.214,1,1,1,1,6,7,""
"216","spectar01",1950,"Art Spector",29,"BOS","",7,2,12,0.167,2,12,0.167,0.167,1,4,0.25,3,4,5,""
"217","gratedo01",1950,"Don Grate",26,"SHE","",2,1,6,0.167,1,6,0.167,0.167,2,2,1,3,3,4,""
"218","gordopa01",1950,"Paul Gordon",22,"BLB","",4,0,6,0,0,6,0,0,3,5,0.6,3,3,3,""
"219","parkija01",1950,"Jack Parkinson",25,"INO","",4,1,12,0.083,1,12,0.083,0.083,1,1,1,2,3,3,""
"220","glickno01",1950,"Normie Glick",22,"MNL","",1,1,1,1,1,1,1,1,0,0,NA,0,1,2,""
"221","mitchmu01",1950,"Murray Mitchell",26,"AND","",2,1,3,0.333,1,3,0.333,0.333,0,0,NA,2,1,2,""
"222","triptdi01",1950,"Dick Triptow",27,"BLB","",4,0,5,0,0,5,0,0,2,2,1,1,5,2,""
"223","knorele01",1950,"Lee Knorek",28,"BLB","",1,0,2,0,0,2,0,0,0,0,NA,0,4,0,""
