"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","hardeja01",2020,"James Harden",30,"HOU","SG",68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,"MVP-3,AS,NBA1"
"2","lillada01",2020,"Damian Lillard",29,"POR","PG",66,66,2474,624,1349,0.463,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,"MVP-8,AS,NBA2"
"3","bookede01",2020,"Devin Booker",23,"PHO","SG",70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,"AS"
"4","antetgi01",2020,"Giannis Antetokounmpo",25,"MIL","PF",63,63,1917,685,1238,0.553,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857,"MVP-1,DPOY-1,AS,NBA1"
"5","youngtr01",2020,"Trae Young",21,"ATL","PG",60,60,2120,546,1249,0.437,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778,"AS"
"6","doncilu01",2020,"Luka Doncic",20,"DAL","PG",61,61,2047,581,1255,0.463,171,541,0.316,410,714,0.574,0.531,426,562,0.758,78,495,573,538,62,14,260,153,1759,"MVP-4,AS,NBA1"
"7","bealbr01",2020,"Bradley Beal",26,"WAS","SG",57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,""
"8","jamesle01",2020,"LeBron James",35,"LAL","PG",67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,"MVP-2,AS,NBA1"
"9","mitchdo01",2020,"Donovan Mitchell",23,"UTA","SG",69,69,2364,602,1342,0.449,173,473,0.366,429,869,0.494,0.513,278,322,0.863,53,251,304,294,70,14,184,172,1655,"AS"
"10","davisan02",2020,"Anthony Davis",26,"LAL","PF",62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,"MVP-6,DPOY-2,AS,NBA1"
"11","mccolcj01",2020,"CJ McCollum",28,"POR","SG",70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,""
"12","westbru01",2020,"Russell Westbrook",31,"HOU","PG",57,57,2049,604,1281,0.472,55,213,0.258,549,1068,0.514,0.493,290,380,0.763,100,351,451,401,93,20,255,200,1553,"AS,NBA3"
"13","tatumja01",2020,"Jayson Tatum",21,"BOS","PF",66,66,2265,552,1226,0.45,189,469,0.403,363,757,0.48,0.527,254,313,0.812,64,396,460,200,93,57,155,136,1547,"MVP-12,AS,NBA3"
"14","leonaka01",2020,"Kawhi Leonard",28,"LAC","SF",57,57,1848,532,1133,0.47,123,325,0.378,409,808,0.506,0.524,356,402,0.886,54,348,402,280,103,33,149,113,1543,"MVP-5,DPOY-8,AS,NBA2"
"15","lavinza01",2020,"Zach LaVine",24,"CHI","SF",60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.497,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530,""
