"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","chambwi01",1960,"Wilt Chamberlain",23,"PHW","C",72,3338,1065,2311,0.461,577,991,0.582,1941,168,150,2707,0,"MVP-1,ROY-1,AS,NBA1",0
"2","twymaja01",1960,"Jack Twyman",25,"CIN","SF",75,3023,870,2063,0.422,598,762,0.785,664,260,275,2338,1,"MVP-6,AS,NBA2",0
"3","bayloel01",1960,"Elgin Baylor",25,"MNL","SF",70,2873,755,1781,0.424,564,770,0.732,1150,243,234,2074,0,"MVP-5,AS,NBA1",0
"4","pettibo01",1960,"Bob Pettit",27,"STL","PF",72,2896,669,1526,0.438,544,722,0.753,1221,257,204,1882,0,"MVP-3,AS,NBA1",0
"5","hagancl01",1960,"Cliff Hagan",28,"STL","SF",75,2798,719,1549,0.464,421,524,0.803,803,299,270,1859,0,"MVP-14,AS",0
"6","shuege01",1960,"Gene Shue",28,"DET","PG",75,3338,620,1501,0.413,472,541,0.872,409,295,146,1712,0,"MVP-7,AS,NBA1",0
"7","schaydo01",1960,"Dolph Schayes",31,"SYR","PF",75,2741,578,1440,0.401,533,597,0.893,959,256,263,1689,0,"MVP-8,AS,NBA2",0
"8","heinsto01",1960,"Tom Heinsohn",25,"BOS","PF",75,2420,673,1590,0.423,283,386,0.733,794,171,275,1629,0,"MVP-10",0
"9","gueriri01",1960,"Richie Guerin",27,"NYK","SG",74,2429,579,1379,0.42,457,591,0.773,505,468,242,1615,2,"MVP-12,AS,NBA2",0
"10","arizipa01",1960,"Paul Arizin",31,"PHW","SF",72,2618,593,1400,0.424,420,526,0.798,621,165,263,1606,0,"AS",0
"11","yardlge01",1960,"George Yardley",31,"SYR","SF",73,2402,546,1205,0.453,381,467,0.816,579,122,227,1473,0,"AS",0
"12","cousybo01",1960,"Bob Cousy",31,"BOS","PG",75,2588,568,1481,0.384,319,403,0.792,352,715,146,1455,4,"MVP-4,AS,NBA1",0
"13","lovelcl01",1960,"Clyde Lovellette",30,"STL","C",68,1953,550,1174,0.468,316,385,0.821,721,127,248,1416,0,"AS",0
"14","naullwi01",1960,"Willie Naulls",25,"NYK","SF",65,2250,551,1286,0.428,286,342,0.836,921,138,214,1388,0,"MVP-12,AS",0
"15","sharmbi01",1960,"Bill Sharman",33,"BOS","SG",71,1916,559,1225,0.456,252,291,0.866,262,144,154,1370,0,"AS,NBA2",0
"16","russebi01",1960,"Bill Russell",25,"BOS","C",74,3146,555,1189,0.467,240,392,0.612,1778,277,210,1350,0,"MVP-2,AS,NBA2",0
"17","howelba01",1960,"Bailey Howell",23,"DET","PF",75,2346,510,1119,0.456,312,422,0.739,790,63,282,1332,0,"",0
"18","searske01",1960,"Kenny Sears",26,"NYK","PF",64,2099,412,863,0.477,363,418,0.868,876,127,191,1187,0,"",0
"19","golato01",1960,"Tom Gola",27,"PHW","SG",75,2870,426,983,0.433,270,340,0.794,779,409,311,1122,9,"MVP-8,AS",0
"20","ramsefr01",1960,"Frank Ramsey",28,"BOS","SG",73,2009,422,1062,0.397,273,347,0.787,506,137,251,1117,0,"",0
"21","kerrre01",1960,"Red Kerr",27,"SYR","C",75,2372,436,1111,0.392,233,310,0.752,913,167,207,1105,0,"",0
"22","dukeswa01",1960,"Walter Dukes",29,"DET","C",66,2140,314,871,0.361,376,508,0.74,883,80,310,1004,0,"MVP-11,AS",0
"23","jordoph01",1960,"Phil Jordon",26,"CIN","C",75,2066,381,970,0.393,242,338,0.716,624,207,227,1004,0,"",0
"24","costela01",1960,"Larry Costello",28,"SYR","PG",71,2469,372,822,0.453,249,289,0.862,388,449,234,993,1,"AS",0
"25","larusru01",1960,"Rudy LaRusso",22,"MNL","PF",71,2092,355,913,0.389,265,357,0.742,679,83,222,975,0,"",0
"26","tyrach01",1960,"Charlie Tyra",24,"NYK","C",74,2033,406,952,0.426,133,189,0.704,598,80,258,945,0,"",0
"27","hundlho01",1960,"Hot Rod Hundley",25,"MNL","PG",73,2279,365,1019,0.358,203,273,0.744,390,338,194,933,1,"AS",0
"28","greerha01",1960,"Hal Greer",23,"SYR","SG",70,1979,388,815,0.476,148,189,0.783,303,188,208,924,0,"",0
"29","jonessa01",1960,"Sam Jones",26,"BOS","SG",74,1512,355,782,0.454,168,220,0.764,375,125,101,878,0,"",0
"30","foustla01",1960,"Larry Foust",31,"2TM","C",72,1964,312,766,0.407,253,320,0.791,621,96,241,877,0,"",0
"31","garmadi01",1960,"Dick Garmaker",27,"2TM","",70,1932,323,815,0.396,203,263,0.772,313,206,186,849,0,"AS",0
"32","bockhbu01",1960,"Bucky Bockhorn",26,"CIN","SG",75,2103,323,812,0.398,145,194,0.747,382,256,249,791,0,"",0
"33","rodgegu01",1960,"Guy Rodgers",24,"PHW","PG",68,2483,338,870,0.389,111,181,0.613,391,482,196,787,0,"",0
"34","conlied01",1960,"Ed Conlin",26,"DET","SG",70,1636,300,831,0.361,181,238,0.761,346,126,158,781,0,"",0
"35","embrywa01",1960,"Wayne Embry",22,"CIN","C",73,1594,303,690,0.439,167,325,0.514,692,83,226,773,0,"",0
"36","wilfowi01",1960,"Win Wilfong",26,"CIN","PG",72,1992,283,764,0.37,161,207,0.778,352,265,229,727,0,"",0
"37","piontda01",1960,"Dave Piontek",25,"2TM","SF",77,1833,292,728,0.401,129,202,0.639,461,118,211,713,0,"",0
"38","deesar01",1960,"Archie Dees",23,"DET","PF",73,1244,271,617,0.439,165,204,0.809,397,43,188,707,0,"",0
