"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","jordami01",1988,"Michael Jordan",24,"CHI","SG",82,82,3311,1069,1998,0.535,7,53,0.132,1062,1945,0.546,0.537,723,860,0.841,139,310,449,485,259,131,252,270,2868,2,"MVP-1,DPOY-1,AS,NBA1,DEF1",0
"2","wilkido01",1988,"Dominique Wilkins",28,"ATL","SF",78,76,2948,909,1957,0.464,38,129,0.295,871,1828,0.476,0.474,541,655,0.826,211,291,502,224,103,47,218,162,2397,0,"MVP-6,AS,NBA2",0
"3","birdla01",1988,"Larry Bird",31,"BOS","SF",76,75,2965,881,1672,0.527,98,237,0.414,783,1435,0.546,0.556,415,453,0.916,108,595,703,467,125,57,213,157,2275,2,"MVP-2,AS,NBA1",0
"4","malonka01",1988,"Karl Malone",24,"UTA","PF",82,82,3198,858,1650,0.52,0,5,0,858,1645,0.522,0.52,552,789,0.7,277,709,986,199,117,50,325,296,2268,0,"MVP-8,AS,NBA2,DEF2",0
"5","barklch01",1988,"Charles Barkley",24,"PHI","PF",80,80,3170,753,1283,0.587,44,157,0.28,709,1126,0.63,0.604,714,951,0.751,385,566,951,254,100,103,304,278,2264,0,"MVP-4,AS,NBA1",0
"6","drexlcl01",1988,"Clyde Drexler",25,"POR","SG",81,80,3060,849,1679,0.506,11,52,0.212,838,1627,0.515,0.509,476,587,0.811,261,272,533,467,203,52,236,250,2185,0,"MVP-5,DPOY-8,AS,NBA2",0
"7","englial01",1988,"Alex English",34,"DEN","SF",80,80,2818,843,1704,0.495,0,6,0,843,1698,0.496,0.495,314,379,0.828,166,207,373,377,70,23,181,193,2000,0,"MVP-11,AS",0
"8","ellisda01",1988,"Dale Ellis",27,"SEA","SG",75,73,2790,764,1519,0.503,107,259,0.413,657,1260,0.521,0.538,303,395,0.767,167,173,340,197,74,11,172,221,1938,0,"",0
"9","aguirma01",1988,"Mark Aguirre",28,"DAL","SF",77,77,2610,746,1571,0.475,52,172,0.302,694,1399,0.496,0.491,388,504,0.77,182,252,434,278,70,57,203,223,1932,0,"MVP-14,AS",0
"10","olajuha01",1988,"Hakeem Olajuwon",25,"HOU","C",79,79,2825,712,1385,0.514,0,4,0,712,1381,0.516,0.514,381,548,0.695,302,657,959,163,162,214,243,324,1805,1,"MVP-7,DPOY-3,AS,NBA1,DEF1",0
"11","scottby01",1988,"Byron Scott",26,"LAL","SG",81,81,3048,710,1348,0.527,62,179,0.346,648,1169,0.554,0.55,272,317,0.858,76,257,333,335,155,27,161,204,1754,0,"",0
"12","thorpot01",1988,"Otis Thorpe",25,"SAC","PF",82,82,3072,622,1226,0.507,0,6,0,622,1220,0.51,0.507,460,609,0.755,279,558,837,266,62,56,228,264,1704,0,"",0
"13","chambto01",1988,"Tom Chambers",28,"SEA","PF",82,82,2680,611,1364,0.448,33,109,0.303,578,1255,0.461,0.46,419,519,0.807,135,355,490,212,87,53,209,297,1674,0,"",0
"14","mcdanxa01",1988,"Xavier McDaniel",24,"SEA","SF",78,77,2703,687,1407,0.488,14,50,0.28,673,1357,0.496,0.493,281,393,0.715,206,312,518,263,96,52,223,230,1669,0,"AS",0
"15","ewingpa01",1988,"Patrick Ewing",25,"NYK","C",82,82,2546,656,1183,0.555,0,3,0,656,1180,0.556,0.555,341,476,0.716,245,431,676,125,104,245,287,332,1653,0,"DPOY-5,AS,NBA2,DEF2",0
"16","malonje01",1988,"Jeff Malone",26,"WSB","SG",80,80,2655,648,1360,0.476,10,24,0.417,638,1336,0.478,0.48,335,380,0.882,44,162,206,237,51,13,172,198,1641,0,"",0
"17","cummite01",1988,"Terry Cummings",26,"MIL","PF",76,76,2629,675,1392,0.485,1,3,0.333,674,1389,0.485,0.485,270,406,0.665,184,369,553,181,78,46,170,274,1621,0,"",0
"18","roberal01",1988,"Alvin Robertson",25,"SAS","SG",82,82,2978,655,1408,0.465,27,95,0.284,628,1313,0.478,0.475,273,365,0.748,165,333,498,557,243,69,251,300,1610,2,"DPOY-4,AS,DEF2",0
