"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards","Playoffs"
"108","cleamji01",1974,"Jim Cleamons",24,"CLE","PG",81,1642,236,545,0.433,93,133,0.699,63,167,230,227,61,17,152,565,0,"",0
"109","fryerbe01",1974,"Bernie Fryer",24,"POR","SG",80,1674,226,491,0.46,107,135,0.793,60,99,159,279,92,10,187,559,0,"",0
"110","kimbato01",1974,"Toby Kimball",31,"PHI","PF",75,1592,216,456,0.474,127,185,0.686,185,367,552,73,49,23,199,559,0,"",0
"111","bracest01",1974,"Steve Bracey",23,"ATL","PG",75,1463,241,520,0.463,69,96,0.719,26,120,146,231,60,5,157,551,0,"",0
"112","bridgbi01",1974,"Bill Bridges",34,"LAL","PF",65,1812,216,513,0.421,116,164,0.707,193,306,499,148,58,31,219,548,0,"",0
"113","mcintke01",1974,"Kenny McIntosh",25,"SEA","SF",69,2056,223,573,0.389,65,107,0.607,111,250,361,94,52,29,178,511,0,"",0
"114","gianejo01",1974,"John Gianelli",23,"NYK","C",70,1423,208,434,0.479,92,121,0.76,110,233,343,77,23,42,159,508,0,"",0
"115","breweji01",1974,"Jim Brewer",22,"CLE","PF",82,1862,210,548,0.383,80,123,0.65,207,317,524,149,46,35,192,500,0,"",0
"116","melchga01",1974,"Gary Melchionni",23,"PHO","PG",69,1251,202,439,0.46,92,107,0.86,46,96,142,142,41,9,85,496,0,"",0
"117","wattssl01",1974,"Slick Watts",22,"SEA","PG",62,1424,198,510,0.388,100,155,0.645,72,110,182,351,115,13,207,496,0,"ROY-3",0
"118","johnsol01",1974,"Ollie Johnson",24,"POR","SF",79,1718,209,434,0.482,77,94,0.819,116,208,324,167,60,30,179,495,0,"",0
"119","weathni01",1974,"Nick Weatherspoon",23,"CAP","SF",65,1216,199,483,0.412,96,139,0.691,133,264,397,38,48,16,179,494,0,"",0
"120","bibbyhe01",1974,"Henry Bibby",24,"NYK","PG",66,986,210,465,0.452,73,88,0.83,48,85,133,91,65,2,123,493,0,"",0
"121","lucasje01",1974,"Jerry Lucas",33,"NYK","C",73,1627,194,420,0.462,67,96,0.698,62,312,374,230,28,24,134,455,0,"",0
"122","kauffbo01",1974,"Bob Kauffman",27,"BUF","PF",74,1304,171,366,0.467,107,150,0.713,97,229,326,142,37,18,155,449,0,"",0
"123","lantzst01",1974,"Stu Lantz",27,"DET","SG",50,980,154,361,0.427,139,164,0.848,34,79,113,97,38,3,79,447,0,"",0
"124","williro01",1974,"Ron Williams",29,"MIL","PG",71,1130,192,393,0.489,60,68,0.882,19,50,69,153,49,2,114,444,0,"",0
"125","briskjo01",1974,"John Brisker",26,"SEA","SF",35,717,178,396,0.449,82,100,0.82,59,87,146,56,28,6,70,438,0,"",0
"126","warneco01",1974,"Cornell Warner",25,"2TM","C",72,1405,174,349,0.499,85,114,0.746,106,291,397,71,27,42,204,433,0,"",0
"127","davismi02",1974,"Mickey Davis",23,"MIL","SF",73,1012,169,335,0.504,93,112,0.83,78,146,224,87,27,5,94,431,0,"",0
"128","guokama02",1974,"Matt Guokas",29,"3TM","SG",75,1871,195,396,0.492,39,60,0.65,31,90,121,238,54,21,150,429,0,"",0
