"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"111","brokaga01",1975,"Gary Brokaw",21,"MIL","SG",73,NA,1639,234,514,0.455,126,184,0.685,36,111,147,221,31,18,176,594,0,""
"112","carrau01",1975,"Austin Carr",26,"CLE","SG",41,NA,1081,252,538,0.468,89,106,0.84,51,56,107,154,48,2,57,593,0,""
"113","guokama02",1975,"Matt Guokas",30,"CHI","SG",82,12,2089,255,500,0.51,78,103,0.757,24,115,139,178,45,17,154,588,0,""
"114","melchga01",1975,"Gary Melchionni",24,"PHO","SG",68,NA,1529,232,539,0.43,114,141,0.809,45,142,187,156,48,12,116,578,0,""
"115","martila01",1975,"LaRue Martin",24,"POR","C",81,NA,1372,236,522,0.452,99,142,0.697,136,272,408,69,33,49,239,571,0,""
"116","smithph01",1975,"Phil Smith",22,"GSW","SG",74,NA,1055,221,464,0.476,127,158,0.804,51,89,140,135,62,0,141,569,0,""
"117","wattssl01",1975,"Slick Watts",23,"SEA","PG",82,NA,2056,232,551,0.421,93,153,0.608,95,167,262,499,190,12,254,557,1,""
"118","mullije01",1975,"Jeff Mullins",32,"GSW","SG",66,NA,1141,234,514,0.455,71,87,0.816,46,77,123,153,57,14,123,539,0,""
"119","garrero01",1975,"Rowland Garrett",24,"CHI","SF",70,3,1183,228,474,0.481,77,97,0.794,80,167,247,43,24,13,124,533,0,""
"120","countme01",1975,"Mel Counts",33,"NOJ","C",75,NA,1421,217,495,0.438,86,113,0.761,102,339,441,182,49,43,196,520,0,""
"121","jonesji01",1975,"Jimmy Jones",30,"WSB","PG",73,NA,1424,207,400,0.518,103,142,0.725,36,101,137,162,76,10,190,517,0,""
"122","rileypa01",1975,"Pat Riley",29,"LAL","SF",46,NA,1016,219,523,0.419,69,93,0.742,25,60,85,121,36,4,128,507,0,""
"123","fostefr01",1975,"Fred Foster",28,"CLE","SF",73,NA,1136,217,521,0.417,69,97,0.711,56,54,110,103,22,2,130,503,0,""
"124","johnsol01",1975,"Ollie Johnson",25,"2TM","SF",73,NA,1667,203,429,0.473,95,114,0.833,87,156,243,110,59,33,172,501,0,""
"125","wohlda01",1975,"Dave Wohl",25,"HOU","PG",75,NA,1722,203,462,0.439,79,106,0.745,26,86,112,340,75,9,184,485,0,""
"126","walkne01",1975,"Neal Walk",26,"2TM","C",67,0,1125,198,473,0.419,86,105,0.819,91,248,339,123,37,23,177,482,0,""
"127","fordch01",1975,"Chris Ford",26,"DET","SG",80,NA,1962,206,435,0.474,63,95,0.663,93,176,269,230,113,26,187,475,0,""
"128","leecl01",1975,"Clyde Lee",30,"2TM","PF",80,35,2456,176,427,0.412,119,177,0.672,288,469,757,105,30,20,285,471,0,""
"129","porteho01",1975,"Howard Porter",26,"2TM","SF",58,0,1163,201,412,0.488,66,79,0.835,79,175,254,19,23,26,93,468,0,""
"130","boydfr01",1975,"Freddie Boyd",24,"PHI","PG",66,13,1362,205,495,0.414,55,115,0.478,16,73,89,161,43,4,134,465,0,""
"131","rileyro01",1975,"Ron Riley",24,"HOU","PF",77,NA,1578,196,470,0.417,71,97,0.732,137,243,380,130,56,22,197,463,0,""
"132","waltobi01",1975,"Bill Walton",22,"POR","C",35,NA,1153,177,345,0.513,94,137,0.686,92,349,441,167,29,94,115,448,1,""
"133","bristal01",1975,"Allan Bristow",23,"PHI","SF",72,3,1101,163,393,0.415,121,153,0.791,111,143,254,99,25,2,101,447,0,""
"134","washiji01",1975,"Jim Washington",31,"2TM","PF",80,NA,1579,191,421,0.454,62,93,0.667,110,280,390,111,34,26,167,444,0,""
"135","robintr01",1975,"Truck Robinson",23,"WSB","PF",76,NA,995,191,393,0.486,60,115,0.522,94,207,301,40,36,32,132,442,0,""
"136","blockjo01",1975,"John Block",30,"2TM","PF",54,13,939,159,346,0.46,114,144,0.792,69,163,232,51,42,32,121,432,0,""
"137","davismi02",1975,"Mickey Davis",24,"MIL","SF",75,NA,1077,174,363,0.479,78,88,0.886,68,169,237,79,30,5,103,426,0,""
"138","russeca02",1975,"Campy Russell",23,"CLE","SF",68,NA,754,150,365,0.411,124,165,0.752,43,109,152,45,21,3,100,424,0,""
"139","wilkele01",1975,"Lenny Wilkens",37,"POR","PG",65,NA,1161,134,305,0.439,152,198,0.768,38,82,120,235,77,9,96,420,0,""
"140","saundfr01",1975,"Fred Saunders",23,"PHO","SF",69,NA,1059,176,406,0.433,66,95,0.695,82,171,253,80,41,15,151,418,0,""
"141","restake01",1975,"Kevin Restani",23,"MIL","PF",76,NA,1755,188,427,0.44,35,49,0.714,131,272,403,119,36,19,172,411,0,""
"142","clemeba01",1975,"Barry Clemens",31,"POR","SF",77,NA,952,168,355,0.473,45,60,0.75,33,128,161,76,68,2,139,381,0,""
"143","beatyze01",1975,"Zelmo Beaty",35,"LAL","C",69,NA,1213,136,310,0.439,108,135,0.8,93,234,327,74,45,29,130,380,0,""
"144","meelycl01",1975,"Cliff Meely",27,"HOU","PF",48,NA,753,156,349,0.447,68,94,0.723,55,109,164,45,21,21,117,380,0,""
"145","winfile01",1975,"Lee Winfield",27,"BUF","PG",68,NA,1259,164,312,0.526,49,68,0.721,45,81,126,134,43,30,106,377,0,""
"146","williea01",1975,"Earl Williams",23,"PHO","C",79,NA,1040,163,394,0.414,45,103,0.437,156,300,456,95,28,32,146,371,0,""
"147","pattest01",1975,"Steve Patterson",26,"CLE","C",81,NA,1269,161,387,0.416,48,73,0.658,112,217,329,93,21,20,128,370,0,""
"148","johnsge02",1975,"George Johnson",26,"GSW","C",82,NA,1439,152,319,0.476,60,91,0.659,217,357,574,67,32,136,206,364,0,""
"149","davisme01",1975,"Mel Davis",24,"NYK","PF",62,15,903,154,395,0.39,48,70,0.686,70,251,321,54,16,8,105,356,0,""
"150","skinnta01",1975,"Tal Skinner",22,"SEA","SF",73,NA,1574,142,347,0.409,63,97,0.649,135,209,344,85,49,17,161,347,0,""
"151","hawkico01",1975,"Connie Hawkins",32,"LAL","PF",43,NA,1026,139,324,0.429,68,99,0.687,54,144,198,120,51,23,116,346,0,""
"152","boerwto01",1975,"Tom Boerwinkle",29,"CHI","C",80,5,1175,132,271,0.487,73,95,0.768,105,275,380,272,25,45,163,337,1,""
"153","derliro01",1975,"Rod Derline",22,"SEA","SG",58,NA,666,142,332,0.428,43,56,0.768,12,47,59,45,23,4,47,327,0,""
"154","hawesst01",1975,"Steve Hawes",24,"HOU","C",55,NA,897,140,279,0.502,45,55,0.818,80,195,275,88,36,36,99,325,0,""
"155","calhoco01",1975,"Corky Calhoun",24,"2TM","SF",70,NA,1378,132,318,0.415,58,77,0.753,109,160,269,79,55,25,180,322,0,""
"156","davisji01",1975,"Jim Davis",33,"DET","C",79,NA,1078,118,260,0.454,85,117,0.726,96,189,285,90,50,36,129,321,0,""
