"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"341","recasel01",2001,"Eldridge Recasner",33,"CHH","PG",43,0,403,38,114,0.333,13,39,0.333,25,75,0.333,0.39,14,18,0.778,13,37,50,39,6,1,27,30,103,""
"342","tarladr01",2001,"Dragan Tarlac",27,"CHI","C",43,12,598,39,99,0.394,0,0,NA,39,99,0.394,0.394,25,33,0.758,37,85,122,31,7,19,38,95,103,""
"343","brownch01",2001,"Chucky Brown",32,"2TM","SF",26,2,339,40,95,0.421,0,3,0,40,92,0.435,0.421,22,34,0.647,8,46,54,11,9,7,8,37,102,""
"344","ekeziob01",2001,"Obinna Ekezie",25,"2TM","PF",33,0,281,32,81,0.395,0,0,NA,32,81,0.395,0.395,37,53,0.698,31,47,78,9,5,5,14,48,101,""
"345","fortsda01",2001,"Danny Fortson",24,"GSW","PF",6,6,203,29,50,0.58,0,0,NA,29,50,0.58,0.58,42,54,0.778,29,69,98,5,2,0,10,22,100,""
"346","griffad01",2001,"Adrian Griffin",26,"BOS","SF",44,0,377,33,97,0.34,9,26,0.346,24,71,0.338,0.387,18,24,0.75,27,60,87,27,18,5,18,45,93,""
"347","langhda01",2001,"Dan Langhi",23,"HOU","SF",33,0,241,37,99,0.374,0,1,0,37,98,0.378,0.374,16,29,0.552,13,28,41,4,7,1,8,16,90,""
"348","stevede01",2001,"DeShawn Stevenson",19,"UTA","SG",40,2,293,31,91,0.341,1,12,0.083,30,79,0.38,0.346,26,38,0.684,9,19,28,18,10,2,28,29,89,""
"349","dialde01",2001,"Derrick Dial",25,"SAS","SG",33,0,207,36,83,0.434,2,10,0.2,34,73,0.466,0.446,12,21,0.571,12,26,38,21,4,6,12,22,86,""
"350","herrech01",2001,"Chris Herren",25,"BOS","PG",25,7,408,29,96,0.302,16,55,0.291,13,41,0.317,0.385,9,12,0.75,4,17,21,56,14,0,20,43,83,""
"351","goldwan01",2001,"Anthony Goldwire",29,"DEN","PG",20,0,201,30,80,0.375,9,34,0.265,21,46,0.457,0.431,13,17,0.765,1,11,12,34,9,0,15,13,82,""
"352","stepavl01",2001,"Vladimir Stepania",24,"NJN","C",29,0,280,28,88,0.318,1,4,0.25,27,84,0.321,0.324,25,34,0.735,35,74,109,16,10,11,19,47,82,""
"353","alstora01",2001,"Rafer Alston",24,"MIL","PG",37,2,288,30,84,0.357,8,30,0.267,22,54,0.407,0.405,9,13,0.692,4,27,31,68,13,0,20,27,77,""
"354","causwdu01",2001,"Duane Causwell",32,"MIA","C",31,14,384,32,85,0.376,0,0,NA,32,85,0.376,0.376,12,25,0.48,23,60,83,5,8,18,23,67,76,""
"355","wolkoru01",2001,"Rubén Wolkowyski",27,"SEA","PF",34,1,305,25,79,0.316,0,2,0,25,77,0.325,0.316,25,34,0.735,12,34,46,3,6,18,12,38,75,""
"356","dudlech02",2001,"Chris Dudley",35,"PHO","C",53,33,613,29,73,0.397,0,0,NA,29,73,0.397,0.397,14,36,0.389,64,119,183,18,14,29,26,111,72,""
"357","kerseje01",2001,"Jerome Kersey",38,"MIL","SF",22,2,243,32,69,0.464,0,1,0,32,68,0.471,0.464,8,16,0.5,8,37,45,15,14,8,6,36,72,""
"358","collija02",2001,"Jason Collier",23,"HOU","C",23,0,222,27,71,0.38,0,1,0,27,70,0.386,0.38,17,24,0.708,12,25,37,6,2,3,11,27,71,""
"359","boykiea01",2001,"Earl Boykins",24,"LAC","PG",10,0,149,25,63,0.397,1,8,0.125,24,55,0.436,0.405,14,17,0.824,4,7,11,32,5,0,9,9,65,""
"360","crottjo01",2001,"John Crotty",31,"UTA","PG",31,0,264,22,65,0.338,4,7,0.571,18,58,0.31,0.369,17,19,0.895,13,15,28,34,6,0,19,32,65,""
"361","curlebi01",2001,"Bill Curley",28,"2TM","PF",20,2,192,25,47,0.532,1,2,0.5,24,45,0.533,0.543,12,19,0.632,21,16,37,3,7,9,16,45,63,""
"362","davidko01",2001,"Kornél Dávid",29,"2TM","SF",27,0,209,25,51,0.49,0,0,NA,25,51,0.49,0.49,12,13,0.923,15,37,52,7,6,4,11,28,62,""
"363","postela01",2001,"Lavor Postell",22,"NYK","SG",26,0,169,17,54,0.315,3,11,0.273,14,43,0.326,0.343,22,27,0.815,8,17,25,5,4,2,17,12,59,""
"364","padgesc01",2001,"Scott Padgett",24,"UTA","PF",27,0,127,18,43,0.419,5,9,0.556,13,34,0.382,0.477,15,20,0.75,19,20,39,5,6,3,10,21,56,""
"365","hillgr01",2001,"Grant Hill",28,"ORL","SF",4,4,133,19,43,0.442,1,1,1,18,42,0.429,0.453,16,26,0.615,8,17,25,25,5,2,11,9,55,"AS"
"366","newblir01",2001,"Ira Newble",26,"SAS","SF",27,6,184,21,55,0.382,4,9,0.444,17,46,0.37,0.418,8,16,0.5,13,22,35,6,2,4,7,18,54,""
"367","alexaco01",2001,"Cory Alexander",27,"ORL","PG",26,0,227,18,56,0.321,4,16,0.25,14,40,0.35,0.357,12,18,0.667,0,25,25,36,16,0,25,29,52,""
"368","smithmi03",2001,"Mike Smith",24,"WAS","SF",17,0,180,19,59,0.322,3,18,0.167,16,41,0.39,0.347,10,16,0.625,10,12,22,10,5,3,7,8,51,""
"369","longllu01",2001,"Luc Longley",32,"NYK","C",25,2,301,18,54,0.333,0,0,NA,18,54,0.333,0.333,13,17,0.765,26,40,66,7,3,9,22,51,49,""
"370","brownde01",2001,"Dee Brown",32,"ORL","PG",7,0,155,16,44,0.364,12,32,0.375,4,12,0.333,0.5,4,5,0.8,0,11,11,12,4,0,7,10,48,""
"371","bagarda01",2001,"Dalibor Bagaric",20,"CHI","C",35,0,259,17,65,0.262,0,1,0,17,64,0.266,0.262,13,28,0.464,22,34,56,10,9,16,21,44,47,""
"372","samakso01",2001,"Soumaila Samake",22,"NJN","C",34,0,226,18,48,0.375,0,0,NA,18,48,0.375,0.375,10,24,0.417,22,31,53,1,2,14,4,23,46,""
