"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","onealsh01",1995,"Shaquille O'Neal",22,"ORL","C",79,79,2923,930,1594,0.583,0,5,0,930,1589,0.585,0.583,455,854,0.533,328,573,901,214,73,192,204,258,2315,0,"MVP-2,AS,NBA2",0
"2","robinda01",1995,"David Robinson",29,"SAS","C",81,81,3074,788,1487,0.53,6,20,0.3,782,1467,0.533,0.532,656,847,0.774,234,643,877,236,134,262,233,230,2238,0,"MVP-1,DPOY-4,AS,NBA1,DEF1",0
"3","malonka01",1995,"Karl Malone",31,"UTA","PF",82,82,3126,830,1548,0.536,11,41,0.268,819,1507,0.543,0.54,516,695,0.742,156,715,871,285,129,85,236,269,2187,0,"MVP-3,AS,NBA1",0
"4","olajuha01",1995,"Hakeem Olajuwon",32,"HOU","C",72,72,2853,798,1545,0.517,3,16,0.188,795,1529,0.52,0.517,406,537,0.756,172,603,775,255,133,242,237,250,2005,1,"MVP-5,DPOY-3,AS,NBA3",0
"5","mashbja01",1995,"Jamal Mashburn",22,"DAL","SF",80,80,2980,683,1566,0.436,113,344,0.328,570,1222,0.466,0.472,447,605,0.739,116,215,331,298,82,8,235,190,1926,0,"",0
"6","ewingpa01",1995,"Patrick Ewing",32,"NYK","C",79,79,2920,730,1452,0.503,6,21,0.286,724,1431,0.506,0.505,420,560,0.75,157,710,867,212,68,159,256,272,1886,0,"MVP-4,AS",0
"7","richmmi01",1995,"Mitch Richmond",29,"SAC","SG",82,82,3172,668,1497,0.446,156,424,0.368,512,1073,0.477,0.498,375,445,0.843,69,288,357,311,91,29,234,227,1867,0,"AS,NBA2",0
"8","ricegl01",1995,"Glen Rice",27,"MIA","SF",82,82,3014,667,1403,0.475,185,451,0.41,482,952,0.506,0.541,312,365,0.855,99,279,378,192,112,14,153,203,1831,0,"",0
"9","robingl01",1995,"Glenn Robinson",22,"MIL","SF",80,76,2958,636,1410,0.451,86,268,0.321,550,1142,0.482,0.482,397,499,0.796,169,344,513,197,115,22,313,234,1755,0,"ROY-3",0
"10","pippesc01",1995,"Scottie Pippen",29,"CHI","SF",79,79,3014,634,1320,0.48,109,316,0.345,525,1004,0.523,0.522,315,440,0.716,175,464,639,409,232,89,271,238,1692,1,"MVP-7,DPOY-2,AS,NBA1,DEF1",0
"11","paytoga01",1995,"Gary Payton",26,"SEA","PG",82,82,3015,685,1345,0.509,70,232,0.302,615,1113,0.553,0.535,249,348,0.716,108,173,281,583,204,13,201,206,1689,0,"MVP-9,DPOY-6,AS,NBA2,DEF1",0
"12","barroda01",1995,"Dana Barros",27,"PHI","PG",82,82,3318,571,1165,0.49,197,425,0.464,374,740,0.505,0.575,347,386,0.899,27,247,274,619,149,4,242,159,1686,1,"MIP-1,AS",0
"13","drexlcl01",1995,"Clyde Drexler",32,"2TM","SG",76,75,2728,571,1238,0.461,147,408,0.36,424,830,0.511,0.521,364,442,0.824,152,328,480,362,136,45,186,206,1653,1,"MVP-14,NBA3",0
"14","mournal01",1995,"Alonzo Mourning",24,"CHH","C",77,77,2941,571,1101,0.519,11,34,0.324,560,1067,0.525,0.524,490,644,0.761,200,561,761,111,49,225,241,275,1643,0,"DPOY-6,AS",0
