"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","gilgesh01",2026,"Shai Gilgeous-Alexander",27,"OKC","PG",35,35,1161,382,689,0.554,72,172,0.419,310,517,0.6,0.607,279,314,0.889,16,141,157,224,52,23,69,71,1115,0,NA,0
"2","mitchdo01",2026,"Donovan Mitchell",29,"CLE","SG",34,34,1150,355,715,0.497,133,343,0.388,222,372,0.597,0.59,170,203,0.837,30,130,160,185,52,10,107,87,1013,0,NA,0
"3","maxeyty01",2026,"Tyrese Maxey",25,"PHI","PG",31,31,1234,335,705,0.475,116,287,0.404,219,418,0.524,0.557,178,202,0.881,8,135,143,219,55,28,83,70,964,0,NA,0
"4","brownja02",2026,"Jaylen Brown",29,"BOS","SF",32,32,1084,354,694,0.51,68,184,0.37,286,510,0.561,0.559,187,240,0.779,38,163,201,159,35,14,116,100,963,1,NA,0
"5","jokicni01",2026,"Nikola Jokić",30,"DEN","C",32,32,1106,339,560,0.605,67,154,0.435,272,406,0.67,0.665,203,238,0.853,97,292,389,351,44,25,113,89,948,16,NA,0
"6","brunsja01",2026,"Jalen Brunson",29,"NYK","PG",32,32,1134,332,699,0.475,97,255,0.38,235,444,0.529,0.544,176,209,0.842,20,85,105,207,25,2,70,79,937,0,NA,0
"7","avdijde01",2026,"Deni Avdija",25,"POR","SF",36,36,1272,281,604,0.465,83,229,0.362,198,375,0.528,0.534,279,353,0.79,40,222,262,255,29,23,139,107,924,3,NA,0
"8","doncilu01",2026,"Luka Dončić",26,"LAL","PG",26,26,947,267,580,0.46,87,272,0.32,180,308,0.584,0.535,254,315,0.806,22,189,211,225,39,15,116,66,875,3,NA,0
"9","murraja01",2026,"Jamal Murray",28,"DEN","PG",34,34,1205,307,640,0.48,117,262,0.447,190,378,0.503,0.571,133,149,0.893,13,143,156,245,33,10,78,51,864,0,NA,0
"10","edwaran01",2026,"Anthony Edwards",24,"MIN","SG",29,29,1012,291,575,0.506,96,240,0.4,195,335,0.582,0.59,176,220,0.8,19,126,145,106,42,23,82,51,854,0,NA,0
"11","cunnica01",2026,"Cade Cunningham",24,"DET","PG",32,32,1147,295,641,0.46,65,196,0.332,230,445,0.517,0.511,198,236,0.839,35,166,201,308,50,25,126,109,853,3,NA,0
"12","siakapa01",2026,"Pascal Siakam",31,"IND","PF",35,35,1188,307,631,0.487,61,164,0.372,246,467,0.527,0.535,157,231,0.68,58,176,234,133,45,14,70,93,832,0,NA,0
"13","bookede01",2026,"Devin Booker",29,"PHO","SG",32,32,1093,270,583,0.463,52,176,0.295,218,407,0.536,0.508,230,269,0.855,28,106,134,204,30,12,108,91,822,0,NA,0
"14","hardeja01",2026,"James Harden",36,"LAC","PG",32,32,1132,237,547,0.433,105,293,0.358,132,254,0.52,0.529,243,274,0.887,17,137,154,256,39,10,114,64,822,2,NA,0
"15","georgke01",2026,"Keyonte George",22,"UTA","PG",33,33,1137,252,557,0.452,89,236,0.377,163,321,0.508,0.532,217,241,0.9,16,123,139,227,31,10,115,82,810,0,NA,0
"16","markkla01",2026,"Lauri Markkanen",28,"UTA","PF",29,29,1036,273,572,0.477,85,235,0.362,188,337,0.558,0.552,179,198,0.904,58,143,201,60,29,12,39,58,810,0,NA,0
"17","ingrabr01",2026,"Brandon Ingram",28,"TOR","SF",36,36,1234,300,633,0.474,63,182,0.346,237,451,0.525,0.524,140,171,0.819,29,187,216,133,28,24,103,71,803,0,NA,0
"18","randlju01",2026,"Julius Randle",31,"MIN","PF",36,36,1210,276,563,0.49,57,171,0.333,219,392,0.559,0.541,194,238,0.815,61,189,250,206,40,5,89,97,803,2,NA,0
"19","johnsja05",2026,"Jalen Johnson",24,"ATL","SF",33,33,1170,292,555,0.526,55,146,0.377,237,409,0.579,0.576,153,190,0.805,48,290,338,279,46,15,115,70,792,7,NA,0
