"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","jordami01",1997,"Michael Jordan",33,"CHI","SG",82,82,3106,920,1892,0.486,111,297,0.374,809,1595,0.507,0.516,480,576,0.833,113,369,482,352,140,44,166,156,2431,"MVP-2,DPOY-5,AS,NBA1"
"2","malonka01",1997,"Karl Malone",33,"UTA","PF",82,82,2998,864,1571,0.55,0,13,0,864,1558,0.555,0.55,521,690,0.755,193,616,809,368,113,48,233,217,2249,"MVP-1,AS,NBA1"
"3","ricegl01",1997,"Glen Rice",29,"CHH","SF",79,78,3362,722,1513,0.477,207,440,0.47,515,1073,0.48,0.546,464,535,0.867,67,251,318,160,72,26,177,190,2115,"MVP-5,AS,NBA2"
"4","richmmi01",1997,"Mitch Richmond",31,"SAC","SG",81,81,3125,717,1578,0.454,204,477,0.428,513,1101,0.466,0.519,457,531,0.861,59,260,319,338,118,24,237,211,2095,"MVP-13,AS,NBA2"
"5","sprewla01",1997,"Latrell Sprewell",26,"GSW","SG",80,79,3353,649,1444,0.449,147,415,0.354,502,1029,0.488,0.5,493,585,0.843,58,308,366,507,132,45,322,153,1938,"AS"
"6","olajuha01",1997,"Hakeem Olajuwon",34,"HOU","C",78,78,2852,727,1426,0.51,5,16,0.313,722,1410,0.512,0.512,351,446,0.787,173,543,716,236,117,173,281,249,1810,"MVP-7,AS,NBA1"
"7","gillke01",1997,"Kendall Gill",28,"NJN","SF",82,81,3199,644,1453,0.443,74,220,0.336,570,1233,0.462,0.469,427,536,0.797,183,316,499,326,154,46,218,225,1789,""
"8","iversal01",1997,"Allen Iverson",21,"PHI","PG",76,74,3045,625,1504,0.416,155,455,0.341,470,1049,0.448,0.467,382,544,0.702,115,197,312,567,157,24,337,233,1787,"MVP-17,ROY-1"
"9","paytoga01",1997,"Gary Payton",28,"SEA","PG",82,82,3213,706,1482,0.476,119,380,0.313,587,1102,0.533,0.517,254,355,0.715,106,272,378,583,197,13,215,208,1785,"MVP-6,DPOY-2,AS,NBA2"
"10","ewingpa01",1997,"Patrick Ewing",34,"NYK","C",78,78,2887,655,1342,0.488,2,9,0.222,653,1333,0.49,0.489,439,582,0.754,175,659,834,156,69,189,269,250,1751,"MVP-8,AS,NBA2"
"11","millere01",1997,"Reggie Miller",31,"IND","SG",81,81,2966,552,1244,0.444,229,536,0.427,323,708,0.456,0.536,418,475,0.88,53,233,286,273,75,25,166,172,1751,""
"12","hillgr01",1997,"Grant Hill",24,"DET","SF",80,80,3147,625,1259,0.496,10,33,0.303,615,1226,0.502,0.5,450,633,0.711,123,598,721,583,144,48,259,186,1710,"MVP-3,AS,NBA1"
