"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","jordami01",1990,"Michael Jordan",26,"CHI","SG",82,82,3197,1034,1964,0.526,92,245,0.376,942,1719,0.548,0.55,593,699,0.848,143,422,565,519,227,54,247,241,2753,"MVP-3,DPOY-5,AS,NBA1"
"2","malonka01",1990,"Karl Malone",26,"UTA","PF",82,82,3122,914,1627,0.562,16,43,0.372,898,1584,0.567,0.567,696,913,0.762,232,679,911,226,121,50,304,259,2540,"MVP-4,AS,NBA1"
"3","ewingpa01",1990,"Patrick Ewing",27,"NYK","C",82,82,3165,922,1673,0.551,1,4,0.25,921,1669,0.552,0.551,502,648,0.775,235,658,893,182,78,327,278,325,2347,"MVP-5,DPOY-5,AS,NBA1"
"4","chambto01",1990,"Tom Chambers",30,"PHO","PF",81,81,3046,810,1617,0.501,24,86,0.279,786,1531,0.513,0.508,557,647,0.861,121,450,571,190,88,47,218,260,2201,"MVP-8,AS,NBA2"
"5","wilkido01",1990,"Dominique Wilkins",30,"ATL","SF",80,79,2888,810,1672,0.484,59,183,0.322,751,1489,0.504,0.502,459,569,0.807,217,304,521,200,126,47,174,141,2138,"AS"
"6","millere01",1990,"Reggie Miller",24,"IND","SG",82,82,3192,661,1287,0.514,150,362,0.414,511,925,0.552,0.572,544,627,0.868,95,200,295,311,110,18,222,175,2016,"AS"
"7","olajuha01",1990,"Hakeem Olajuwon",27,"HOU","C",82,82,3124,806,1609,0.501,1,6,0.167,805,1603,0.502,0.501,382,536,0.713,299,850,1149,234,174,376,316,314,1995,"MVP-7,DPOY-2,AS,NBA2"
"8","robinda01",1990,"David Robinson",24,"SAS","C",82,81,3002,690,1300,0.531,0,2,0,690,1298,0.532,0.531,613,837,0.732,303,680,983,164,138,319,257,259,1993,"MVP-6,ROY-1,AS,NBA3"
"9","barklch01",1990,"Charles Barkley",26,"PHI","SF",79,79,3085,706,1177,0.6,20,92,0.217,686,1085,0.632,0.608,557,744,0.749,361,548,909,307,148,50,243,250,1989,"MVP-2,AS,NBA1"
"10","mullich01",1990,"Chris Mullin",26,"GSW","SF",78,78,2830,682,1272,0.536,87,234,0.372,595,1038,0.573,0.57,505,568,0.889,130,333,463,319,123,45,239,142,1956,"AS,NBA3"
"11","campbto01",1990,"Tony Campbell",27,"MIN","SG",82,81,3164,723,1581,0.457,9,54,0.167,714,1527,0.468,0.46,448,569,0.787,209,242,451,213,111,31,251,260,1903,""
"12","kingbe01",1990,"Bernard King",33,"WSB","SF",82,82,2687,711,1459,0.487,3,23,0.13,708,1436,0.493,0.488,412,513,0.803,129,275,404,376,51,7,248,230,1837,""
"13","birdla01",1990,"Larry Bird",33,"BOS","SF",75,75,2944,718,1517,0.473,65,195,0.333,653,1322,0.494,0.495,319,343,0.93,90,622,712,562,106,61,243,173,1820,"MVP-10,AS,NBA2"
"14","malonje01",1990,"Jeff Malone",28,"WSB","SG",75,74,2567,781,1592,0.491,1,6,0.167,780,1586,0.492,0.491,257,293,0.877,54,152,206,243,48,6,125,116,1820,""
"15","cummite01",1990,"Terry Cummings",28,"SAS","PF",81,78,2821,728,1532,0.475,19,59,0.322,709,1473,0.481,0.481,343,440,0.78,226,451,677,219,110,52,202,286,1818,""
"16","johnsma02",1990,"Magic Johnson",30,"LAL","PG",79,79,2937,546,1138,0.48,106,276,0.384,440,862,0.51,0.526,567,637,0.89,128,394,522,907,132,34,289,167,1765,"MVP-1,AS,NBA1"
"17","tisdawa01",1990,"Wayman Tisdale",25,"SAC","PF",79,79,2937,726,1383,0.525,0,6,0,726,1377,0.527,0.525,306,391,0.783,185,410,595,108,54,54,153,251,1758,""
"18","richmmi01",1990,"Mitch Richmond",24,"GSW","SG",78,78,2799,640,1287,0.497,34,95,0.358,606,1192,0.508,0.51,406,469,0.866,98,262,360,223,98,24,201,210,1720,""
"19","mchalke01",1990,"Kevin McHale",32,"BOS","PF",82,25,2722,648,1181,0.549,23,69,0.333,625,1112,0.562,0.558,393,440,0.893,201,476,677,172,30,157,183,250,1712,"AS"
"20","drexlcl01",1990,"Clyde Drexler",27,"POR","SG",73,73,2683,670,1357,0.494,30,106,0.283,640,1251,0.512,0.505,333,430,0.774,208,299,507,432,145,51,191,222,1703,"MVP-12,AS,NBA3"
"21","worthja01",1990,"James Worthy",28,"LAL","SF",80,80,2960,711,1298,0.548,15,49,0.306,696,1249,0.557,0.554,248,317,0.782,160,318,478,288,99,49,160,190,1685,"AS,NBA3"
"22","johnske02",1990,"Kevin Johnson",23,"PHO","PG",74,74,2782,578,1159,0.499,8,41,0.195,570,1118,0.51,0.502,501,598,0.838,42,228,270,846,95,14,263,143,1665,"AS,NBA2"
"23","smithch01",1990,"Charles Smith",24,"LAC","PF",78,76,2732,595,1145,0.52,1,12,0.083,594,1133,0.524,0.52,454,572,0.794,177,347,524,114,86,119,162,294,1645,""
"24","blackro01",1990,"Rolando Blackman",30,"DAL","SG",80,80,2934,626,1256,0.498,13,43,0.302,613,1213,0.505,0.504,287,340,0.844,88,192,280,289,77,21,174,128,1552,"AS"
"25","malonmo01",1990,"Moses Malone",34,"ATL","C",81,81,2735,517,1077,0.48,1,9,0.111,516,1068,0.483,0.481,493,631,0.781,364,448,812,130,47,84,232,158,1528,""
"26","hawkihe01",1990,"Hersey Hawkins",23,"PHI","SG",82,82,2856,522,1136,0.46,84,200,0.42,438,936,0.468,0.496,387,436,0.888,85,219,304,261,130,28,185,217,1515,""
"27","persoch01",1990,"Chuck Person",25,"IND","SF",77,73,2714,605,1242,0.487,94,253,0.372,511,989,0.517,0.525,211,270,0.781,126,319,445,230,53,20,170,217,1515,""
