"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","bryanko01",2006,"Kobe Bryant",27,"LAL","SG",80,80,3277,978,2173,0.45,180,518,0.347,798,1655,0.482,0.491,696,819,0.85,71,354,425,360,147,30,250,233,2832,"MVP-4,AS,NBA1"
"2","jamesle01",2006,"LeBron James",21,"CLE","SF",79,79,3361,875,1823,0.48,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478,"MVP-2,AS,NBA1"
"3","iversal01",2006,"Allen Iverson",30,"PHI","PG",72,72,3103,815,1822,0.447,72,223,0.323,743,1599,0.465,0.467,675,829,0.814,44,188,232,532,140,10,248,121,2377,"MVP-10,AS,NBA3"
"4","arenagi01",2006,"Gilbert Arenas",24,"WAS","PG",80,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.82,59,221,280,484,161,25,297,286,2346,"AS,NBA3"
"5","nowitdi01",2006,"Dirk Nowitzki",27,"DAL","PF",81,81,3089,751,1564,0.48,110,271,0.406,641,1293,0.496,0.515,539,598,0.901,115,613,728,226,58,83,156,164,2151,"MVP-3,AS,NBA1"
"6","anthoca01",2006,"Carmelo Anthony",21,"DEN","SF",80,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,"NBA3"
"7","piercpa01",2006,"Paul Pierce",28,"BOS","SF",79,79,3084,689,1462,0.471,111,314,0.354,578,1148,0.503,0.509,627,812,0.772,77,453,530,375,107,34,273,223,2116,"AS"
"8","wadedw01",2006,"Dwyane Wade",24,"MIA","SG",75,75,2892,699,1413,0.495,13,76,0.171,686,1337,0.513,0.499,629,803,0.783,107,323,430,503,146,58,268,217,2040,"MVP-6,AS,NBA2"
"9","reddmi01",2006,"Michael Redd",26,"MIL","SG",80,80,3130,682,1516,0.45,163,413,0.395,519,1103,0.471,0.504,501,571,0.877,78,264,342,229,95,5,170,157,2028,""
"10","allenra02",2006,"Ray Allen",30,"SEA","SG",78,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,"AS"
"11","brandel01",2006,"Elton Brand",26,"LAC","PF",79,79,3099,756,1435,0.527,1,3,0.333,755,1432,0.527,0.527,440,568,0.775,236,554,790,208,81,201,173,227,1953,"MVP-7,DPOY-10,AS,NBA2"
"12","cartevi01",2006,"Vince Carter",29,"NJN","SG",79,79,2906,653,1518,0.43,125,367,0.341,528,1151,0.459,0.471,480,601,0.799,135,327,462,338,94,53,213,235,1911,"AS"
"13","mariosh01",2006,"Shawn Marion",27,"PHO","PF",81,81,3263,716,1365,0.525,96,290,0.331,620,1075,0.577,0.56,241,298,0.809,249,710,959,143,160,137,125,223,1769,"MVP-10,DPOY-7,AS,NBA3"
"14","richaja01",2006,"Jason Richardson",25,"GSW","SG",75,75,2877,641,1438,0.446,183,477,0.384,458,961,0.477,0.509,276,410,0.673,105,333,438,232,97,37,167,206,1741,""
"15","bibbymi01",2006,"Mike Bibby",27,"SAC","PG",82,82,3167,597,1382,0.432,192,497,0.386,405,885,0.458,0.501,342,403,0.849,29,211,240,444,82,10,199,169,1728,""
"16","jamisan01",2006,"Antawn Jamison",29,"WAS","SF",82,80,3288,660,1494,0.442,147,373,0.394,513,1121,0.458,0.491,217,297,0.731,167,598,765,158,90,12,137,189,1684,""
"17","garneke01",2006,"Kevin Garnett",29,"MIN","PF",76,76,2957,626,1191,0.526,8,30,0.267,618,1161,0.532,0.529,396,489,0.81,214,752,966,308,104,107,180,206,1656,"DPOY-13,AS"
"18","johnsjo02",2006,"Joe Johnson",24,"ATL","SG",82,82,3340,632,1395,0.453,128,360,0.356,504,1035,0.487,0.499,261,330,0.791,98,237,335,536,103,31,267,187,1653,""
"19","gasolpa01",2006,"Pau Gasol",25,"MEM","PF",80,80,3135,600,1194,0.503,3,12,0.25,597,1182,0.505,0.504,425,617,0.689,191,522,713,371,46,153,235,184,1628,"AS"
"20","hamilri01",2006,"Richard Hamilton",27,"DET","SG",80,80,2825,649,1322,0.491,55,120,0.458,594,1202,0.494,0.512,256,303,0.845,84,172,256,275,52,16,173,207,1609,"AS"
"21","jamesmi01",2006,"Mike James",30,"TOR","PG",79,79,2925,576,1228,0.469,169,382,0.442,407,846,0.481,0.538,283,338,0.837,45,217,262,460,72,3,206,214,1604,""
"22","boshch01",2006,"Chris Bosh",21,"TOR","C",70,70,2751,549,1087,0.505,0,13,0,549,1074,0.511,0.505,474,581,0.816,204,443,647,181,50,79,157,209,1572,"AS"
"23","lewisra02",2006,"Rashard Lewis",26,"SEA","SF",78,77,2876,538,1151,0.467,142,370,0.384,396,781,0.507,0.529,350,428,0.818,111,279,390,182,102,50,141,191,1568,""
"24","jefferi01",2006,"Richard Jefferson",25,"NJN","SF",78,78,3059,495,1005,0.493,60,188,0.319,435,817,0.532,0.522,471,580,0.812,95,439,534,297,59,17,174,193,1521,""
"25","webbech01",2006,"Chris Webber",32,"PHI","PF",75,75,2893,617,1422,0.434,21,77,0.273,596,1345,0.443,0.441,263,348,0.756,184,557,741,256,103,62,182,219,1518,""
"26","davisri01",2006,"Ricky Davis",26,"2TM","SG",78,78,3207,584,1304,0.448,73,242,0.302,511,1062,0.481,0.476,275,345,0.797,65,286,351,394,91,17,213,190,1516,""
"27","parketo01",2006,"Tony Parker",23,"SAS","PG",80,80,2715,623,1136,0.548,11,36,0.306,612,1100,0.556,0.553,253,358,0.707,38,223,261,460,83,4,249,161,1510,"MVP-9,AS"
"28","billuch01",2006,"Chauncey Billups",29,"DET","PG",81,81,2925,423,1012,0.418,184,425,0.433,239,587,0.407,0.509,465,520,0.894,41,211,252,699,71,8,170,160,1495,"MVP-5,AS,NBA2"
"29","nashst01",2006,"Steve Nash",31,"PHO","PG",79,79,2796,541,1056,0.512,150,342,0.439,391,714,0.548,0.583,257,279,0.921,47,286,333,826,61,12,276,120,1489,"MVP-1,AS,NBA1"
"30","duncati01",2006,"Tim Duncan",29,"SAS","PF",80,80,2784,574,1185,0.484,2,5,0.4,572,1180,0.485,0.485,335,533,0.629,231,650,881,253,70,162,198,219,1485,"MVP-8,DPOY-6,AS,NBA2"
"31","okurme01",2006,"Mehmet Okur",26,"UTA","PF",82,82,2945,519,1128,0.46,80,234,0.342,439,894,0.491,0.496,354,454,0.78,211,535,746,194,40,73,163,285,1472,""
"32","harrial01",2006,"Al Harrington",25,"ATL","PF",76,76,2782,551,1220,0.452,66,191,0.346,485,1029,0.471,0.479,243,350,0.694,132,391,523,238,85,14,195,301,1411,""
"33","petermo01",2006,"Morris Peterson",28,"TOR","SG",82,77,3140,478,1096,0.436,177,448,0.395,301,648,0.465,0.517,241,294,0.82,65,316,381,190,104,15,126,223,1374,""
"34","terryja01",2006,"Jason Terry",28,"DAL","PG",80,80,2798,516,1099,0.47,171,416,0.411,345,683,0.505,0.547,168,210,0.8,31,127,158,306,100,27,135,196,1371,""
"35","szczewa02",2006,"Wally Szczerbiak",28,"2TM","SF",72,71,2729,493,1012,0.487,102,255,0.4,391,757,0.517,0.538,278,310,0.897,77,236,313,213,40,19,136,150,1366,""
"36","gordobe01",2006,"Ben Gordon",22,"CHI","SG",80,47,2482,486,1152,0.422,166,382,0.435,320,770,0.416,0.494,211,268,0.787,43,176,219,240,75,5,180,238,1349,""
"37","cassesa01",2006,"Sam Cassell",36,"LAC","PG",78,75,2653,493,1112,0.443,70,190,0.368,423,922,0.459,0.475,289,335,0.863,40,247,287,491,74,11,175,225,1345,""
"38","randoza01",2006,"Zach Randolph",24,"POR","PF",74,71,2545,536,1229,0.436,16,55,0.291,520,1174,0.443,0.443,245,343,0.714,193,399,592,144,57,14,165,185,1333,""
"39","jacksst02",2006,"Stephen Jackson",27,"IND","SG",81,81,2910,472,1148,0.411,117,339,0.345,355,809,0.439,0.462,268,341,0.786,48,264,312,225,104,43,203,195,1329,""
"40","butleca01",2006,"Caron Butler",25,"WAS","SF",75,54,2708,494,1086,0.455,41,120,0.342,453,966,0.469,0.474,289,332,0.87,114,352,466,186,127,18,175,238,1318,""
