"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","onealsh01",2000,"Shaquille O'Neal",27,"LAL","C",79,79,3163,956,1665,0.574,0,1,0,956,1664,0.575,0.574,432,824,0.524,336,742,1078,299,36,239,223,255,2344,0,"MVP-1,DPOY-2,AS,NBA1,DEF2",0
"2","cartevi01",2000,"Vince Carter",23,"TOR","SF",82,82,3126,788,1696,0.465,95,236,0.403,693,1460,0.475,0.493,436,551,0.791,150,326,476,322,110,92,178,263,2107,1,"MVP-10,AS,NBA3",0
"3","malonka01",2000,"Karl Malone",36,"UTA","PF",82,82,2947,752,1476,0.509,2,8,0.25,750,1468,0.511,0.51,589,739,0.797,169,610,779,304,79,71,231,229,2095,0,"MVP-4,AS,NBA2",0
"4","iversal01",2000,"Allen Iverson",24,"PHI","SG",70,70,2853,729,1733,0.421,89,261,0.341,640,1472,0.435,0.446,442,620,0.713,71,196,267,328,144,5,230,162,1989,0,"MVP-7,AS,NBA2",0
"5","paytoga01",2000,"Gary Payton",31,"SEA","PG",82,82,3425,747,1666,0.448,177,520,0.34,570,1146,0.497,0.502,311,423,0.735,100,429,529,732,153,18,224,178,1982,2,"MVP-6,DPOY-5,AS,NBA1,DEF1",0
"6","stackje01",2000,"Jerry Stackhouse",25,"DET","SG",82,82,3148,619,1447,0.428,83,288,0.288,536,1159,0.462,0.456,618,758,0.815,118,197,315,365,103,36,311,188,1939,0,"AS",0
"7","hillgr01",2000,"Grant Hill",27,"DET","SF",74,74,2776,696,1422,0.489,34,98,0.347,662,1324,0.5,0.501,480,604,0.795,97,393,490,385,103,43,240,190,1906,0,"MVP-8,AS,NBA2",0
"8","garneke01",2000,"Kevin Garnett",23,"MIN","PF",81,81,3243,759,1526,0.497,30,81,0.37,729,1445,0.504,0.507,309,404,0.765,223,733,956,401,120,126,268,205,1857,1,"MVP-2,DPOY-7,AS,NBA1,DEF1",0
"9","finlemi01",2000,"Michael Finley",26,"DAL","SF",82,82,3464,748,1636,0.457,99,247,0.401,649,1389,0.467,0.487,260,317,0.82,122,396,518,438,109,32,196,171,1855,4,"MVP-13,AS",0
"10","webbech01",2000,"Chris Webber",26,"SAC","PF",75,75,2880,748,1548,0.483,27,95,0.284,721,1453,0.496,0.492,311,414,0.751,189,598,787,345,120,128,218,264,1834,5,"MVP-9,AS,NBA3",0
"11","allenra02",2000,"Ray Allen",24,"MIL","SG",82,82,3070,642,1411,0.455,172,407,0.423,470,1004,0.468,0.516,353,398,0.887,83,276,359,308,110,19,183,187,1809,0,"AS",0
"12","mournal01",2000,"Alonzo Mourning",29,"MIA","C",79,78,2748,652,1184,0.551,0,4,0,652,1180,0.553,0.551,414,582,0.711,215,538,753,123,40,294,217,308,1718,0,"MVP-3,DPOY-1,AS,NBA2,DEF1",0
"13","duncati01",2000,"Tim Duncan",23,"SAS","PF",74,74,2875,628,1281,0.49,1,11,0.091,627,1270,0.494,0.491,459,603,0.761,262,656,918,234,66,165,242,210,1716,1,"MVP-5,AS,NBA1,DEF1",0
"14","robingl01",2000,"Glenn Robinson",27,"MIL","SF",81,81,2909,690,1461,0.472,86,237,0.363,604,1224,0.493,0.502,227,283,0.802,107,378,485,193,78,41,223,212,1693,0,"AS",0
"15","walkean02",2000,"Antoine Walker",23,"BOS","PF",82,82,3003,648,1506,0.43,73,285,0.256,575,1221,0.471,0.455,311,445,0.699,199,453,652,305,117,32,259,263,1680,1,"",0
"16","abdursh01",2000,"Shareef Abdur-Rahim",23,"VAN","SF",82,82,3223,594,1277,0.465,29,96,0.302,565,1181,0.478,0.477,446,551,0.809,218,607,825,271,89,87,249,244,1663,0,"",0
"17","marbust01",2000,"Stephon Marbury",22,"NJN","PG",74,74,2881,569,1317,0.432,66,233,0.283,503,1084,0.464,0.457,436,536,0.813,61,179,240,622,112,15,270,195,1640,0,"NBA3",0
"18","brandel01",2000,"Elton Brand",20,"CHI","PF",81,80,2999,630,1306,0.482,0,2,0,630,1304,0.483,0.482,367,536,0.685,348,462,810,155,66,132,228,259,1627,0,"ROY-1",0
"19","houstal01",2000,"Allan Houston",28,"NYK","SG",82,82,3169,614,1271,0.483,106,243,0.436,508,1028,0.494,0.525,280,334,0.838,38,233,271,224,65,14,186,219,1614,0,"AS",0
"20","mcdyean01",2000,"Antonio McDyess",25,"DEN","PF",81,81,2698,614,1211,0.507,0,2,0,614,1209,0.508,0.507,323,516,0.626,234,451,685,159,69,139,230,316,1551,0,"",0
"21","vanhoke01",2000,"Keith Van Horn",24,"NJN","PF",80,80,2782,559,1257,0.445,84,228,0.368,475,1029,0.462,0.478,333,393,0.847,200,476,676,158,64,60,245,258,1535,0,"",0
"22","sprewla01",2000,"Latrell Sprewell",29,"NYK","SF",82,82,3276,568,1305,0.435,44,127,0.346,524,1178,0.445,0.452,344,397,0.866,49,300,349,332,109,22,226,184,1524,0,"",0
"23","cassesa01",2000,"Sam Cassell",30,"MIL","PG",81,81,2899,545,1170,0.466,26,90,0.289,519,1080,0.481,0.477,390,445,0.876,69,232,301,729,102,8,267,255,1506,0,"",0
"24","dickemi01",2000,"Michael Dickerson",24,"VAN","SG",82,82,3103,554,1270,0.436,119,291,0.409,435,979,0.444,0.483,269,324,0.83,78,201,279,208,116,45,165,226,1496,0,"",0
"25","bryanko01",2000,"Kobe Bryant",21,"LAL","SG",66,62,2524,554,1183,0.468,46,144,0.319,508,1039,0.489,0.488,331,403,0.821,108,308,416,323,106,62,182,220,1485,0,"MVP-12,DPOY-5,AS,NBA2,DEF1",0
"26","robincl02",2000,"Clifford Robinson",33,"PHO","SF",80,67,2839,530,1142,0.464,120,324,0.37,410,818,0.501,0.517,298,381,0.782,105,254,359,224,90,61,166,239,1478,0,"DPOY-8,DEF2",0
"27","millere01",2000,"Reggie Miller",34,"IND","SG",81,81,2987,466,1041,0.448,165,404,0.408,301,637,0.473,0.527,373,406,0.919,50,189,239,187,85,25,129,126,1470,0,"MVP-13,AS",0
"28","kempsh01",2000,"Shawn Kemp",30,"CLE","C",82,82,2492,484,1160,0.417,2,6,0.333,482,1154,0.418,0.418,493,635,0.776,231,494,725,138,100,96,291,371,1463,0,"",0
