"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","arizipa01",1952,"Paul Arizin",23,"PHW","SF",66,2939,548,1222,0.448,548,1222,0.448,0.448,578,707,0.818,745,170,250,1674,"AS,NBA1"
"2","mikange01",1952,"George Mikan",27,"MNL","C",64,2572,545,1414,0.385,545,1414,0.385,0.385,433,555,0.78,866,194,286,1523,"AS,NBA1"
"3","cousybo01",1952,"Bob Cousy",23,"BOS","PG",66,2681,512,1388,0.369,512,1388,0.369,0.369,409,506,0.808,421,441,190,1433,"AS,NBA1"
"4","macaued01",1952,"Ed Macauley",23,"BOS","C",66,2631,384,888,0.432,384,888,0.432,0.432,496,621,0.799,529,232,174,1264,"AS,NBA1"
"5","daviebo01",1952,"Bob Davies",32,"ROC","PG",65,2394,379,990,0.383,379,990,0.383,0.383,294,379,0.776,189,390,269,1052,"AS,NBA1"
"6","brianfr01",1952,"Frankie Brian",28,"FTW","SG",66,2672,342,972,0.352,342,972,0.352,0.352,367,433,0.848,232,233,220,1051,"AS"
"7","foustla01",1952,"Larry Foust",23,"FTW","C",66,2615,390,989,0.394,390,989,0.394,0.394,267,394,0.678,880,200,245,1047,"AS,NBA2"
"8","wanzebo01",1952,"Bobby Wanzer",30,"ROC","SG",66,2498,328,772,0.425,328,772,0.425,0.425,377,417,0.904,333,262,201,1033,"AS,NBA2"
"9","risenar01",1952,"Arnie Risen",27,"ROC","C",66,2396,365,926,0.394,365,926,0.394,0.394,302,431,0.701,841,150,258,1032,"AS"
"10","mikkeve01",1952,"Vern Mikkelsen",23,"MNL","PF",66,2345,363,866,0.419,363,866,0.419,0.419,283,372,0.761,681,180,282,1009,"AS,NBA2"
"11","pollaji01",1952,"Jim Pollard",29,"MNL","SF",65,2545,411,1155,0.356,411,1155,0.356,0.356,183,260,0.704,593,234,199,1005,"AS,NBA2"
"12","scolafr01",1952,"Fred Scolari",29,"BLB","PG",64,2242,290,867,0.334,290,867,0.334,0.334,353,423,0.835,214,303,213,933,"AS"
"13","zasloma01",1952,"Max Zaslofsky",26,"NYK","SG",66,2113,322,958,0.336,322,958,0.336,0.336,287,380,0.755,194,156,183,931,"AS"
"14","fulksjo01",1952,"Joe Fulks",30,"PHW","PF",61,1904,336,1078,0.312,336,1078,0.312,0.312,250,303,0.825,368,123,255,922,"AS"
"15","grabojo01",1952,"Joe Graboski",22,"INO","C",66,2439,320,827,0.387,320,827,0.387,0.387,264,396,0.667,655,130,254,904,""
"16","schaufr01",1952,"Fred Schaus",26,"FTW","SF",62,2581,281,778,0.361,281,778,0.361,0.361,310,372,0.833,434,247,221,872,""
"17","schaydo01",1952,"Dolph Schayes",23,"SYR","PF",63,2004,263,740,0.355,263,740,0.355,0.355,342,424,0.807,773,182,213,868,"AS,NBA1"
"18","rochare01",1952,"Red Rocha",28,"SYR","C",66,2543,300,749,0.401,300,749,0.401,0.401,254,330,0.77,549,128,249,854,"AS"
"19","barnhle01",1952,"Leo Barnhorst",27,"INO","SF",66,2344,349,897,0.389,349,897,0.389,0.389,122,187,0.652,430,255,196,820,"AS"
"20","phillan01",1952,"Andy Phillip",29,"PHW","SG",66,2933,279,762,0.366,279,762,0.366,0.366,232,308,0.753,434,539,218,790,"AS,NBA2"
"21","barksdo01",1952,"Don Barksdale",28,"BLB","PF",62,2014,272,804,0.338,272,804,0.338,0.338,237,343,0.691,601,137,230,781,""
"22","miasest01",1952,"Stan Miasek",28,"BLB","PF",66,2174,258,707,0.365,258,707,0.365,0.365,263,372,0.707,639,140,257,779,""
"23","ottendo01",1952,"Don Otten",30,"2TM","C",64,1789,222,636,0.349,222,636,0.349,0.349,323,418,0.773,435,123,218,767,""
"24","eddledi01",1952,"Dike Eddleman",29,"2TM","SF",66,1904,270,813,0.332,270,813,0.332,0.332,203,332,0.611,269,135,252,743,"AS"
"25","gallaha01",1952,"Harry Gallatin",24,"NYK","PF",66,1931,233,527,0.442,233,527,0.442,0.442,275,341,0.806,661,115,223,741,"AS"
