"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","jordami01",1993,"Michael Jordan",29,"CHI","SG",78,78,3067,992,2003,0.495,81,230,0.352,911,1773,0.514,0.515,476,569,0.837,135,387,522,428,221,61,207,188,2541,"MVP-3,DPOY-2,AS,NBA1"
"2","malonka01",1993,"Karl Malone",29,"UTA","PF",82,82,3099,797,1443,0.552,4,20,0.2,793,1423,0.557,0.554,619,836,0.74,227,692,919,308,124,85,240,261,2217,"MVP-8,AS,NBA1"
"3","olajuha01",1993,"Hakeem Olajuwon",30,"HOU","C",82,82,3242,848,1603,0.529,0,8,0,848,1595,0.532,0.529,444,570,0.779,283,785,1068,291,150,342,262,305,2140,"MVP-2,DPOY-1,AS,NBA1"
"4","wilkido01",1993,"Dominique Wilkins",33,"ATL","SF",71,70,2647,741,1584,0.468,120,316,0.38,621,1268,0.49,0.506,519,627,0.828,187,295,482,227,70,27,184,116,2121,"MVP-5,AS,NBA2"
"5","ewingpa01",1993,"Patrick Ewing",30,"NYK","C",81,81,3003,779,1550,0.503,1,7,0.143,778,1543,0.504,0.503,400,556,0.719,191,789,980,151,74,161,265,286,1959,"MVP-4,DPOY-5,AS,NBA2"
"6","barklch01",1993,"Charles Barkley",29,"PHO","PF",76,76,2859,716,1376,0.52,67,220,0.305,649,1156,0.561,0.545,445,582,0.765,237,691,928,385,119,74,233,196,1944,"MVP-1,AS,NBA1"
"7","robinda01",1993,"David Robinson",27,"SAS","C",82,82,3211,676,1348,0.501,3,17,0.176,673,1331,0.506,0.503,561,766,0.732,229,727,956,301,127,264,241,239,1916,"MVP-6,DPOY-2,AS,NBA3"
"8","onealsh01",1993,"Shaquille O'Neal",20,"ORL","C",81,81,3071,733,1304,0.562,0,2,0,733,1302,0.563,0.562,427,721,0.592,342,780,1122,152,60,286,307,321,1893,"MVP-7,ROY-1,AS"
"9","johnsla02",1993,"Larry Johnson",23,"CHH","PF",82,82,3323,728,1385,0.526,18,71,0.254,710,1314,0.54,0.532,336,438,0.767,281,583,864,353,53,27,227,187,1810,"AS,NBA2"
"10","dumarjo01",1993,"Joe Dumars",29,"DET","SG",77,77,3094,677,1454,0.466,112,299,0.375,565,1155,0.489,0.504,343,397,0.864,63,85,148,308,78,7,138,141,1809,"MVP-10,AS,NBA2"
"11","mannida01",1993,"Danny Manning",26,"LAC","PF",79,77,2761,702,1379,0.509,8,30,0.267,694,1349,0.514,0.512,388,484,0.802,198,322,520,207,108,101,230,323,1800,"AS"
"12","millere01",1993,"Reggie Miller",27,"IND","SG",82,82,2954,571,1193,0.479,167,419,0.399,404,774,0.522,0.549,427,485,0.88,67,191,258,262,120,26,145,182,1736,""
"13","lewisre01",1993,"Reggie Lewis",27,"BOS","SG",80,80,3144,663,1410,0.47,14,60,0.233,649,1350,0.481,0.475,326,376,0.867,88,259,347,298,118,77,133,248,1666,""
"14","hawkihe01",1993,"Hersey Hawkins",26,"PHI","SG",81,81,2977,551,1172,0.47,122,307,0.397,429,865,0.496,0.522,419,487,0.86,91,255,346,317,137,30,180,189,1643,""
"15","mournal01",1993,"Alonzo Mourning",22,"CHH","C",78,78,2644,572,1119,0.511,0,3,0,572,1116,0.513,0.511,495,634,0.781,263,542,805,76,27,271,236,286,1639,"ROY-2"
"16","anderni01",1993,"Nick Anderson",25,"ORL","SG",79,76,2920,594,1324,0.449,88,249,0.353,506,1075,0.471,0.482,298,402,0.741,122,355,477,265,128,56,164,200,1574,""
"17","colemde01",1993,"Derrick Coleman",25,"NJN","PF",76,73,2759,564,1226,0.46,23,99,0.232,541,1127,0.48,0.469,421,521,0.808,247,605,852,276,92,126,243,210,1572,"NBA3"
"18","robincl02",1993,"Clifford Robinson",26,"POR","PF",82,12,2575,632,1336,0.473,19,77,0.247,613,1259,0.487,0.48,287,416,0.69,165,377,542,182,98,163,173,287,1570,"6MOY-1"
"19","schrede01",1993,"Detlef Schrempf",30,"IND","PF",82,60,3098,517,1085,0.476,8,52,0.154,509,1033,0.493,0.48,525,653,0.804,210,570,780,493,79,27,243,305,1567,"AS"
"20","petrodr01",1993,"Dražen Petrovic",28,"NJN","SG",70,67,2660,587,1134,0.518,75,167,0.449,512,967,0.529,0.551,315,362,0.87,42,148,190,247,94,13,204,237,1564,"NBA3"
"21","ricegl01",1993,"Glen Rice",25,"MIA","SF",82,82,3082,582,1324,0.44,148,386,0.383,434,938,0.463,0.495,242,295,0.82,92,332,424,180,92,25,157,201,1554,""
"22","abdulma02",1993,"Mahmoud Abdul-Rauf",23,"DEN","PG",81,81,2710,633,1407,0.45,70,197,0.355,563,1210,0.465,0.475,217,232,0.935,51,174,225,344,84,8,187,179,1553,"MIP-1"
"23","westdo01",1993,"Doug West",25,"MIN","SG",80,80,3104,646,1249,0.517,2,23,0.087,644,1226,0.525,0.518,249,296,0.841,89,158,247,235,85,21,165,279,1543,""
"24","hornaje01",1993,"Jeff Hornacek",29,"PHI","PG",79,78,2860,582,1239,0.47,97,249,0.39,485,990,0.49,0.509,250,289,0.865,84,258,342,548,131,21,222,203,1511,""
"25","pippesc01",1993,"Scottie Pippen",27,"CHI","SF",81,81,3123,628,1327,0.473,22,93,0.237,606,1234,0.491,0.482,232,350,0.663,203,418,621,507,173,73,246,219,1510,"AS,NBA3"
"26","portete01",1993,"Terry Porter",29,"POR","PG",81,81,2883,503,1108,0.454,143,345,0.414,360,763,0.472,0.519,327,388,0.843,58,258,316,419,101,10,199,122,1476,"AS"
"27","laettch01",1993,"Christian Laettner",23,"MIN","PF",81,81,2823,503,1061,0.474,4,40,0.1,499,1021,0.489,0.476,462,553,0.835,171,537,708,223,105,83,275,290,1472,""
"28","harpero01",1993,"Ron Harper",29,"LAC","SG",80,77,2970,542,1203,0.451,52,186,0.28,490,1017,0.482,0.472,307,399,0.769,117,308,425,360,177,73,222,212,1443,""
