"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","gervige01",1980,"George Gervin",27,"SAS","SG",78,2934,1024,1940,0.528,32,102,0.314,992,1838,0.54,0.536,505,593,0.852,154,249,403,202,110,79,254,208,2585,0,"MVP-3,AS,NBA1",0
"2","malonmo01",1980,"Moses Malone",24,"HOU","C",82,3140,778,1549,0.502,0,6,0,778,1543,0.504,0.502,563,783,0.719,573,617,1190,147,80,107,300,210,2119,0,"MVP-9,AS,NBA2",0
"3","ervinju01",1980,"Julius Erving",29,"PHI","SF",78,2812,838,1614,0.519,4,20,0.2,834,1594,0.523,0.52,420,534,0.787,215,361,576,355,170,140,284,208,2100,1,"MVP-2,AS,NBA1",0
"4","freewo01",1980,"World B. Free",26,"SDC","SG",68,2585,737,1556,0.474,9,25,0.36,728,1531,0.476,0.477,572,760,0.753,129,109,238,283,81,32,228,195,2055,0,"AS",0
"5","abdulka01",1980,"Kareem Abdul-Jabbar",32,"LAL","C",82,3143,835,1383,0.604,0,1,0,835,1382,0.604,0.604,364,476,0.765,190,696,886,371,81,280,297,216,2034,2,"MVP-1,AS,NBA1,DEF1",0
"6","isselda01",1980,"Dan Issel",31,"DEN","C",82,2938,715,1416,0.505,4,12,0.333,711,1404,0.506,0.506,517,667,0.775,236,483,719,198,88,54,163,190,1951,0,"",0
"7","dantlad01",1980,"Adrian Dantley",24,"UTA","SF",68,2674,730,1267,0.576,0,2,0,730,1265,0.577,0.576,443,526,0.842,183,333,516,191,96,14,233,211,1903,0,"AS",0
"8","hayesel01",1980,"Elvin Hayes",34,"WSB","PF",81,3183,761,1677,0.454,3,13,0.231,758,1664,0.456,0.455,334,478,0.699,269,627,896,129,62,189,215,309,1859,0,"AS",0
"9","birdsot01",1980,"Otis Birdsong",24,"KCK","SG",82,2885,781,1546,0.505,10,36,0.278,771,1510,0.511,0.508,286,412,0.694,170,161,331,202,136,22,179,226,1858,0,"AS",0
"10","mitchmi01",1980,"Mike Mitchell",24,"CLE","SF",82,2802,775,1482,0.523,0,6,0,775,1476,0.525,0.523,270,343,0.787,206,385,591,93,70,77,172,259,1820,0,"",0
"11","willigu01",1980,"Gus Williams",26,"SEA","PG",82,2969,739,1533,0.482,7,36,0.194,732,1497,0.489,0.484,331,420,0.788,127,148,275,397,200,37,181,160,1816,0,"MVP-8,NBA2",0
"12","westppa01",1980,"Paul Westphal",29,"PHO","SG",82,2665,692,1317,0.525,26,93,0.28,666,1224,0.544,0.535,382,443,0.862,46,141,187,416,119,35,207,162,1792,0,"AS,NBA1",0
"13","cartwbi01",1980,"Bill Cartwright",22,"NYK","C",82,3150,665,1215,0.547,0,0,NA,665,1215,0.547,0.547,451,566,0.797,194,532,726,165,48,101,222,279,1781,0,"AS",0
"14","birdla01",1980,"Larry Bird",23,"BOS","PF",82,2955,693,1463,0.474,58,143,0.406,635,1320,0.481,0.494,301,360,0.836,216,636,852,370,143,53,263,279,1745,1,"MVP-4,ROY-1,AS,NBA1",0
"15","willira01",1980,"Ray Williams",25,"NYK","PG",82,2582,687,1384,0.496,7,37,0.189,680,1347,0.505,0.499,333,423,0.787,149,263,412,512,167,24,256,295,1714,1,"",0
"16","johnsma01",1980,"Marques Johnson",23,"MIL","SF",77,2686,689,1267,0.544,2,9,0.222,687,1258,0.546,0.545,291,368,0.791,217,349,566,273,100,70,185,173,1671,1,"AS,NBA2",0
"17","theusre01",1980,"Reggie Theus",22,"CHI","SG",82,3029,566,1172,0.483,28,105,0.267,538,1067,0.504,0.495,500,597,0.838,143,186,329,515,114,20,348,262,1660,1,"",0
"18","wilkeja01",1980,"Jamaal Wilkes",26,"LAL","SF",82,3111,726,1358,0.535,3,17,0.176,723,1341,0.539,0.536,189,234,0.808,176,349,525,250,129,28,157,220,1644,0,"",0
"19","newlimi01",1980,"Mike Newlin",31,"NJN","SG",78,2510,611,1329,0.46,45,152,0.296,566,1177,0.481,0.477,367,415,0.884,101,163,264,314,115,4,231,195,1634,0,"",0
