"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"214","forreba01",1978,"Bayard Forrest",23,"PHO","C",64,NA,887,111,238,0.466,111,238,0.466,0.466,49,103,0.476,84,166,250,129,23,34,84,105,271,""
"215","perrycu01",1978,"Curtis Perry",29,"PHO","PF",45,NA,818,110,243,0.453,110,243,0.453,0.453,51,65,0.785,87,163,250,48,34,22,63,120,271,""
"216","marshri01",1978,"Ricky Marsh",23,"GSW","SG",60,NA,851,123,289,0.426,123,289,0.426,0.426,23,33,0.697,16,59,75,90,29,19,50,111,269,""
"217","chanedo01",1978,"Don Chaney",31,"2TM","SG",51,NA,835,104,269,0.387,104,269,0.387,0.387,38,45,0.844,40,76,116,66,44,13,61,107,246,""
"218","dunntr01",1978,"T.R. Dunn",22,"POR","SG",63,NA,768,100,240,0.417,100,240,0.417,0.417,37,56,0.661,63,84,147,45,46,8,35,74,237,""
"219","mcdanji01",1978,"Jim McDaniels",29,"BUF","C",42,NA,694,100,234,0.427,100,234,0.427,0.427,36,42,0.857,46,135,181,44,4,37,50,112,236,""
"220","poquebe01",1978,"Ben Poquette",22,"DET","PF",52,NA,626,95,225,0.422,95,225,0.422,0.422,42,60,0.7,50,95,145,20,10,22,40,69,232,""
"221","washiwi01",1978,"Wilson Washington",22,"2TM","PF",38,NA,561,100,206,0.485,100,206,0.485,0.485,29,53,0.547,50,106,156,10,18,37,63,75,229,""
"222","nelsolo01",1978,"Louie Nelson",26,"2TM","SG",33,NA,406,85,211,0.403,85,211,0.403,0.403,57,84,0.679,13,39,52,34,22,7,48,33,227,""
"223","saundfr01",1978,"Fred Saunders",26,"2TM","SF",56,NA,643,99,234,0.423,99,234,0.423,0.423,26,36,0.722,38,73,111,46,21,14,42,106,224,""
"224","weathni01",1978,"Nick Weatherspoon",27,"CHI","SF",41,NA,611,86,194,0.443,86,194,0.443,0.443,37,42,0.881,57,68,125,32,19,10,49,74,209,""
"225","lloydsc01",1978,"Scott Lloyd",25,"2TM","C",70,NA,678,80,193,0.415,80,193,0.415,0.415,49,68,0.721,52,93,145,44,14,14,43,105,209,""
