"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","johnsne01",1954,"Neil Johnston",24,"PHW","C",72,3296,591,1317,0.449,591,1317,0.449,0.449,577,772,0.747,797,203,259,1759,"AS,NBA1"
"2","cousybo01",1954,"Bob Cousy",25,"BOS","PG",72,2857,486,1262,0.385,486,1262,0.385,0.385,411,522,0.787,394,518,201,1383,"AS,NBA1"
"3","macaued01",1954,"Ed Macauley",25,"BOS","C",71,2792,462,950,0.486,462,950,0.486,0.486,420,554,0.758,571,271,168,1344,"AS,NBA2"
"4","mikange01",1954,"George Mikan",29,"MNL","C",72,2362,441,1160,0.38,441,1160,0.38,0.38,424,546,0.777,1028,174,268,1306,"AS,NBA1"
"5","felixra01",1954,"Ray Felix",23,"BLB","C",72,2672,410,983,0.417,410,983,0.417,0.417,449,704,0.638,958,82,253,1269,"ROY-1,AS"
"6","schaydo01",1954,"Dolph Schayes",25,"SYR","C",72,2655,370,973,0.38,370,973,0.38,0.38,488,590,0.827,870,214,232,1228,"AS,NBA1"
"7","sharmbi01",1954,"Bill Sharman",27,"BOS","SG",72,2467,412,915,0.45,412,915,0.45,0.45,331,392,0.844,255,229,211,1155,"AS"
"8","foustla01",1954,"Larry Foust",25,"FTW","C",72,2693,376,919,0.409,376,919,0.409,0.409,338,475,0.712,967,161,258,1090,"AS"
"9","braunca01",1954,"Carl Braun",26,"NYK","SG",72,2373,354,884,0.4,354,884,0.4,0.4,354,429,0.825,246,209,259,1062,"AS,NBA2"
"10","wanzebo01",1954,"Bobby Wanzer",32,"ROC","SG",72,2538,322,835,0.386,322,835,0.386,0.386,314,428,0.734,392,254,171,958,"AS,NBA2"
"11","gallaha01",1954,"Harry Gallatin",26,"NYK","PF",72,2690,258,639,0.404,258,639,0.404,0.404,433,552,0.784,1098,153,208,949,"AS,NBA1"
"12","risenar01",1954,"Arnie Risen",29,"ROC","C",72,2385,321,872,0.368,321,872,0.368,0.368,307,430,0.714,728,120,284,949,"AS"
"13","grabojo01",1954,"Joe Graboski",24,"PHW","PF",71,2759,354,1000,0.354,354,1000,0.354,0.354,236,350,0.674,670,163,223,944,""
"14","seymopa01",1954,"Paul Seymour",26,"SYR","SG",71,2727,316,838,0.377,316,838,0.377,0.377,299,368,0.813,291,364,187,931,"AS,NBA2"
"15","daviebo01",1954,"Bob Davies",34,"ROC","PG",72,2137,288,777,0.371,288,777,0.371,0.371,311,433,0.718,194,323,224,887,"AS"
"16","pollaji01",1954,"Jim Pollard",31,"MNL","SF",71,2483,326,882,0.37,326,882,0.37,0.37,179,230,0.778,500,214,161,831,"AS,NBA2"
"17","kingge01",1954,"George King",25,"SYR","PG",72,2370,280,744,0.376,280,744,0.376,0.376,257,410,0.627,268,272,179,817,""
"18","zasloma01",1954,"Max Zaslofsky",28,"3TM","SG",65,1881,278,756,0.368,278,756,0.368,0.368,255,357,0.714,160,154,142,811,""
"19","mikkeve01",1954,"Vern Mikkelsen",25,"MNL","PF",72,2247,288,771,0.374,288,771,0.374,0.374,221,298,0.742,615,119,264,797,""
