"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Awards"
"197","washike01",1976,"Kermit Washington",24,"LAL","PF",36,492,39,90,0.433,39,90,0.433,0.433,45,66,0.682,51,114,165,20,11,26,76,123,""
"198","kozelto01",1976,"Tom Kozelko",24,"WSB","PF",67,584,48,99,0.485,48,99,0.485,0.485,19,30,0.633,19,63,82,33,19,4,74,115,""
"199","whiteru01",1976,"Rudy White",22,"HOU","SG",32,284,42,102,0.412,42,102,0.412,0.412,18,25,0.72,13,25,38,30,19,5,32,102,""
"200","bosweto01",1976,"Tom Boswell",22,"BOS","PF",35,275,41,93,0.441,41,93,0.441,0.441,14,24,0.583,26,45,71,16,2,1,70,96,""
"201","fernser01",1976,"Eric Fernsten",22,"2TM","C",37,268,33,86,0.384,33,86,0.384,0.384,26,37,0.703,25,45,70,19,7,14,21,92,""
"202","mcdanji01",1976,"Jim McDaniels",27,"LAL","C",35,242,41,102,0.402,41,102,0.402,0.402,9,9,1,26,48,74,15,4,10,40,91,""
"203","countme01",1976,"Mel Counts",34,"NOJ","C",30,319,37,91,0.407,37,91,0.407,0.407,16,21,0.762,27,73,100,38,16,8,74,90,""
"204","dawkida01",1976,"Darryl Dawkins",19,"PHI","C",37,165,41,82,0.5,41,82,0.5,0.5,8,24,0.333,15,34,49,3,2,9,40,90,""
"205","abdulza01",1976,"Zaid Abdul-Aziz",29,"SEA","C",27,223,35,75,0.467,35,75,0.467,0.467,16,29,0.552,30,46,76,16,8,15,29,86,""
"206","shortge01",1976,"Gene Short",22,"2TM","SF",34,222,32,91,0.352,32,91,0.352,0.352,20,32,0.625,19,29,48,10,8,3,36,84,""
"207","hummejo01",1976,"John Hummer",27,"SEA","PF",29,364,32,67,0.478,32,67,0.478,0.478,17,41,0.415,21,56,77,25,6,9,71,81,""
"208","thomate01",1976,"Terry Thomas",22,"DET","PF",28,136,28,65,0.431,28,65,0.431,0.431,21,29,0.724,15,21,36,3,4,2,21,77,""
"209","winfile01",1976,"Lee Winfield",28,"KCK","PG",22,214,32,66,0.485,32,66,0.485,0.485,9,14,0.643,8,16,24,19,10,6,14,73,""
"210","brownro02",1976,"Roger Brown",25,"DET","C",29,454,29,72,0.403,29,72,0.403,0.403,14,18,0.778,47,83,130,12,6,25,76,72,"AS"
"211","carlsal01",1976,"Al Carlson",24,"SEA","C",28,279,27,79,0.342,27,79,0.342,0.342,18,29,0.621,30,43,73,13,7,11,39,72,""
"212","bailegu01",1976,"Gus Bailey",24,"HOU","SG",30,262,28,77,0.364,28,77,0.364,0.364,14,28,0.5,20,30,50,41,14,8,33,70,""
"213","lumpkph01",1976,"Phil Lumpkin",24,"PHO","PG",34,370,22,65,0.338,22,65,0.338,0.338,26,30,0.867,7,16,23,48,15,0,26,70,""
"214","wetzejo01",1976,"John Wetzel",31,"PHO","SG",37,249,22,46,0.478,22,46,0.478,0.478,20,24,0.833,8,30,38,19,9,3,30,64,""
"215","saundfr01",1976,"Fred Saunders",24,"PHO","SF",17,146,28,64,0.438,28,64,0.438,0.438,6,11,0.545,11,26,37,13,5,1,23,62,""
"216","anderje01",1976,"Jerome Anderson",22,"BOS","SG",22,126,25,45,0.556,25,45,0.556,0.556,11,16,0.688,4,9,13,6,3,3,25,61,""
"217","bigelbo01",1976,"Bob Bigelow",22,"KCK","SF",31,163,16,47,0.34,16,47,0.34,0.34,24,33,0.727,9,20,29,9,4,1,18,56,""
"218","joneswa02",1976,"Wali Jones",33,"2TM","PG",17,176,23,49,0.469,23,49,0.469,0.469,9,13,0.692,0,9,9,33,6,0,27,55,""
"219","williro01",1976,"Ron Williams",31,"LAL","PG",9,158,17,43,0.395,17,43,0.395,0.395,10,13,0.769,2,17,19,21,3,0,15,44,""
"220","mayfike01",1976,"Ken Mayfield",27,"NYK","SG",13,64,17,46,0.37,17,46,0.37,0.37,3,3,1,1,7,8,4,0,0,18,37,""
"221","duvalde01",1976,"Dennis DuVal",23,"ATL","PG",13,130,15,43,0.349,15,43,0.349,0.349,6,9,0.667,1,7,8,20,6,2,15,36,""
"222","creigji01",1976,"Jim Creighton",25,"ATL","SF",32,172,12,43,0.279,12,43,0.279,0.279,7,16,0.438,13,32,45,4,2,9,23,31,""
"223","wittelu01",1976,"Luke Witte",25,"CLE","C",22,99,11,32,0.344,11,32,0.344,0.344,9,15,0.6,9,29,38,4,1,1,14,31,""
"224","dickehe01",1976,"Henry Dickerson",24,"DET","SG",17,112,9,29,0.31,9,29,0.31,0.31,10,16,0.625,3,0,3,8,2,1,17,28,""
"225","kupeccj01",1976,"C.J. Kupec",23,"LAL","SF",16,55,10,40,0.25,10,40,0.25,0.25,7,11,0.636,4,19,23,5,3,0,7,27,""
"226","baskeje01",1976,"Jerry Baskerville",24,"PHI","SF",21,105,8,26,0.308,8,26,0.308,0.308,10,16,0.625,13,15,28,3,6,5,32,26,""
"227","kosmale01",1976,"Len Kosmalski",24,"KCK","C",9,93,8,20,0.4,8,20,0.4,0.4,4,7,0.571,9,16,25,12,3,4,11,20,""
"228","bellde01",1976,"Dennis Bell",24,"NYK","SF",10,76,8,21,0.381,8,21,0.381,0.381,3,7,0.429,4,10,14,3,6,1,11,19,""
"229","kroppto01",1976,"Tom Kropp",22,"WSB","SG",25,72,7,30,0.233,7,30,0.233,0.233,5,6,0.833,5,10,15,8,2,0,20,19,""
"230","dantomi01",1976,"Mike D'Antoni",24,"KCK","SG",9,101,7,27,0.259,7,27,0.259,0.259,2,2,1,4,10,14,16,10,0,18,16,""
"231","rochejo01",1976,"John Roche",26,"LAL","SG",15,52,3,14,0.214,3,14,0.214,0.214,2,4,0.5,0,3,3,6,0,0,7,8,""
"232","leegr01",1976,"Greg Lee",24,"POR","PG",5,35,2,4,0.5,2,4,0.5,0.5,2,2,1,0,2,2,11,2,0,6,6,""
"233","searced01",1976,"Ed Searcy",23,"BOS","SF",4,12,2,6,0.333,2,6,0.333,0.333,2,2,1,0,0,0,1,0,0,4,6,""
"234","blockjo01",1976,"John Block",31,"CHI","PF",2,7,2,4,0.5,2,4,0.5,0.5,0,2,0,0,2,2,0,1,0,2,4,""
"235","weslewa01",1976,"Walt Wesley",31,"LAL","C",1,7,1,2,0.5,1,2,0.5,0.5,2,4,0.5,0,1,1,1,0,0,2,4,""
"236","foglela01",1976,"Larry Fogle",22,"NYK","SG",2,14,1,5,0.2,1,5,0.2,0.2,0,0,NA,1,2,3,0,1,0,4,2,""
"237","smithgr01",1976,"Greg Smith",29,"POR","SF",1,3,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,2,0,""
"238","washiji01",1976,"Jim Washington",32,"BUF","PF",1,7,0,1,0,0,1,0,0,0,0,NA,1,0,1,1,0,0,0,0,""
