"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Awards"
"163","martila01",1976,"LaRue Martin",25,"POR","C",63,889,109,302,0.361,109,302,0.361,0.361,57,77,0.74,68,243,311,72,6,23,126,275,""
"164","cunnibi01",1976,"Billy Cunningham",32,"PHI","SF",20,640,103,251,0.41,103,251,0.41,0.41,68,88,0.773,29,118,147,107,24,10,57,274,""
"165","hairsli01",1976,"Lindsay Hairston",24,"DET","SF",47,651,104,228,0.456,104,228,0.456,0.456,65,112,0.58,65,114,179,21,21,32,84,273,""
"166","foxji01",1976,"Jim Fox",32,"MIL","C",70,918,105,203,0.517,105,203,0.517,0.517,62,79,0.785,82,153,235,42,27,16,129,272,""
"167","garrero01",1976,"Rowland Garrett",25,"2TM","SF",55,540,108,258,0.419,108,258,0.419,0.419,53,65,0.815,45,72,117,17,25,7,68,269,""
"168","rileyro01",1976,"Ron Riley",25,"HOU","PF",65,1049,115,280,0.411,115,280,0.411,0.411,38,56,0.679,91,213,304,75,32,21,137,268,""
"169","catchha01",1976,"Harvey Catchings",24,"PHI","C",75,1731,103,242,0.426,103,242,0.426,0.426,58,96,0.604,191,329,520,63,21,164,262,264,""
"170","lantzst01",1976,"Stu Lantz",29,"LAL","PG",53,853,85,204,0.417,85,204,0.417,0.417,80,89,0.899,28,71,99,76,27,3,105,250,""
"171","porteke01",1976,"Kevin Porter",25,"DET","PG",19,687,99,235,0.421,99,235,0.421,0.421,42,56,0.75,14,30,44,193,35,3,83,240,""
"172","mcmilto01",1976,"Tom McMillen",23,"BUF","C",50,708,96,222,0.432,96,222,0.432,0.432,41,54,0.759,64,122,186,69,7,6,87,233,""
"173","anderda02",1976,"Dan Anderson",25,"POR","PG",52,614,88,181,0.486,88,181,0.486,0.486,51,61,0.836,15,47,62,85,20,2,58,227,""
"174","sloanje01",1976,"Jerry Sloan",33,"CHI","SG",22,617,84,210,0.4,84,210,0.4,0.4,55,78,0.705,40,76,116,22,27,5,77,223,""
"175","weissbo01",1976,"Bob Weiss",33,"BUF","PG",66,995,89,183,0.486,89,183,0.486,0.486,35,48,0.729,13,53,66,150,48,14,94,213,""
"176","greveke01",1976,"Kevin Grevey",22,"WSB","SF",56,504,79,213,0.371,79,213,0.371,0.371,52,58,0.897,24,36,60,27,13,3,65,210,""
"177","pattest01",1976,"Steve Patterson",27,"2TM","C",66,918,84,220,0.382,84,220,0.382,0.382,34,54,0.63,80,148,228,80,16,16,93,202,""
"178","hollawi01",1976,"Wilbur Holland",24,"ATL","SG",33,351,85,213,0.399,85,213,0.399,0.399,22,34,0.647,15,26,41,26,20,2,48,192,""
"179","derliro01",1976,"Rod Derline",23,"SEA","SG",49,339,73,181,0.403,73,181,0.403,0.403,45,56,0.804,8,19,27,26,11,1,22,191,""
"180","roberri01",1976,"Rick Roberson",28,"KCK","C",74,709,73,180,0.406,73,180,0.406,0.406,42,103,0.408,74,159,233,53,18,17,126,188,""
"181","wingoha01",1976,"Harthorne Wingo",28,"NYK","PF",57,533,72,163,0.442,72,163,0.442,0.442,40,60,0.667,46,61,107,18,19,8,59,184,""
"182","boydfr01",1976,"Freddie Boyd",25,"2TM","PG",36,617,74,171,0.433,74,171,0.433,0.433,29,51,0.569,4,28,32,80,28,7,59,177,""
"183","schluda01",1976,"Dale Schlueter",30,"BUF","C",71,773,61,122,0.5,61,122,0.5,0.5,54,81,0.667,58,166,224,80,13,17,141,176,""
"184","adamsdo01",1976,"Don Adams",28,"BUF","SF",56,704,67,170,0.394,67,170,0.394,0.394,40,57,0.702,38,107,145,73,30,7,128,174,""
"185","davisme01",1976,"Mel Davis",25,"NYK","PF",42,408,76,193,0.394,76,193,0.394,0.394,22,29,0.759,43,105,148,31,16,5,56,174,""
"186","clemeba01",1976,"Barry Clemens",32,"POR","SF",49,443,70,143,0.49,70,143,0.49,0.49,31,35,0.886,27,43,70,33,27,7,57,171,""
"187","wohlda01",1976,"Dave Wohl",26,"HOU","PG",50,700,66,163,0.405,66,163,0.405,0.405,38,49,0.776,9,47,56,112,26,1,112,170,""
"188","williea01",1976,"Earl Williams",24,"DET","C",46,562,73,152,0.48,73,152,0.48,0.48,22,44,0.5,103,148,251,18,22,20,81,168,""
"189","guokama02",1976,"Matt Guokas",31,"2TM","SG",56,793,73,173,0.422,73,173,0.422,0.422,18,27,0.667,22,41,63,70,18,3,76,164,""
"190","davismi02",1976,"Mickey Davis",25,"MIL","SF",45,411,55,152,0.362,55,152,0.362,0.362,50,63,0.794,25,59,84,37,13,2,36,160,""
"191","ellisle01",1976,"Leroy Ellis",35,"PHI","C",29,489,61,132,0.462,61,132,0.462,0.462,17,28,0.607,47,75,122,21,16,9,62,139,""
"192","mullije01",1976,"Jeff Mullins",33,"GSW","SG",29,311,58,120,0.483,58,120,0.483,0.483,23,29,0.793,12,20,32,39,14,1,36,139,""
"193","meelycl01",1976,"Cliff Meely",28,"2TM","PF",34,313,52,132,0.394,52,132,0.394,0.394,33,48,0.688,22,75,97,19,14,8,61,137,""
"194","mcglojo01",1976,"Jon McGlocklin",32,"MIL","SG",33,336,63,148,0.426,63,148,0.426,0.426,9,10,0.9,3,14,17,38,8,0,18,135,""
"195","hawkiro01",1976,"Bubbles Hawkins",21,"GSW","SG",32,153,53,104,0.51,53,104,0.51,0.51,20,31,0.645,16,14,30,16,10,8,31,126,""
"196","lambejo01",1976,"John Lambert",23,"CLE","PF",54,333,49,110,0.445,49,110,0.445,0.445,25,37,0.676,37,65,102,16,8,12,54,123,""
