"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","westbru01",2017,"Russell Westbrook",28,"OKC","PG",81,81,2802,824,1941,0.425,200,583,0.343,624,1358,0.459,0.476,710,840,0.845,137,727,864,840,132,31,438,190,2558,"MVP-1,AS,NBA1"
"2","hardeja01",2017,"James Harden",27,"HOU","PG",81,81,2947,674,1533,0.44,262,756,0.347,412,777,0.53,0.525,746,881,0.847,95,564,659,907,121,38,464,215,2356,"MVP-2,AS,NBA1"
"3","thomais02",2017,"Isaiah Thomas",27,"BOS","PG",76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199,"MVP-5,AS,NBA2"
"4","davisan02",2017,"Anthony Davis",23,"NOP","C",75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,"MVP-9,AS,NBA1"
"5","townska01",2017,"Karl-Anthony Towns",21,"MIN","C",82,82,3030,802,1480,0.542,101,275,0.367,701,1205,0.582,0.576,356,428,0.832,296,711,1007,220,56,103,212,241,2061,""
"6","lillada01",2017,"Damian Lillard",26,"POR","PG",75,75,2694,661,1488,0.444,214,579,0.37,447,909,0.492,0.516,488,545,0.895,46,322,368,440,68,20,197,152,2024,""
"7","derozde01",2017,"DeMar DeRozan",27,"TOR","SG",74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,"MVP-11,AS,NBA3"
"8","curryst01",2017,"Stephen Curry",28,"GSW","PG",79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999,"MVP-6,AS,NBA2"
"9","jamesle01",2017,"LeBron James",32,"CLE","SF",74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954,"MVP-4,DPOY-5,AS,NBA1"
"10","couside01",2017,"DeMarcus Cousins",26,"2TM","C",72,72,2465,647,1432,0.452,131,363,0.361,516,1069,0.483,0.498,517,670,0.772,152,642,794,332,100,93,269,278,1942,"AS"
"11","wiggian01",2017,"Andrew Wiggins",21,"MIN","SF",82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,102,226,328,189,82,30,187,183,1933,""
"12","leonaka01",2017,"Kawhi Leonard",25,"SAS","SF",74,74,2474,636,1312,0.485,147,387,0.38,489,925,0.529,0.541,469,533,0.88,80,350,430,260,133,55,154,122,1888,"MVP-3,DPOY-3,AS,NBA1"
"13","mccolcj01",2017,"CJ McCollum",25,"POR","SG",80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837,""
"14","antetgi01",2017,"Giannis Antetokounmpo",22,"MIL","SF",80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,"MVP-7,MIP-1,AS,NBA2"
"15","walkeke02",2017,"Kemba Walker",26,"CHO","PG",79,79,2739,643,1449,0.444,240,602,0.399,403,847,0.476,0.527,304,359,0.847,45,263,308,434,85,22,168,119,1830,"AS"
"16","butleji01",2017,"Jimmy Butler",27,"CHI","SF",76,75,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,0.492,585,676,0.865,129,341,470,417,143,32,159,112,1816,"AS,NBA3"
"17","irvinky01",2017,"Kyrie Irving",24,"CLE","PG",72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816,"AS"
"18","walljo01",2017,"John Wall",26,"WAS","PG",78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,59,267,326,831,157,49,322,151,1805,"MVP-7,AS,NBA3"
"19","bealbr01",2017,"Bradley Beal",23,"WAS","SG",77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,""
"20","georgpa01",2017,"Paul George",26,"IND","SF",75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775,"AS"
"21","thompkl01",2017,"Klay Thompson",26,"GSW","SG",78,78,2649,644,1376,0.468,268,647,0.414,376,729,0.516,0.565,186,218,0.853,49,236,285,160,66,40,128,139,1742,"AS"
