"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","johnsne01",1955,"Neil Johnston",25,"PHW","C",72,2917,521,1184,0.44,589,769,0.766,1085,215,255,1631,0,"AS,NBA1",0
"2","arizipa01",1955,"Paul Arizin",26,"PHW","SF",72,2953,529,1325,0.399,454,585,0.776,675,210,270,1512,0,"AS",0
"3","cousybo01",1955,"Bob Cousy",26,"BOS","PG",71,2747,522,1316,0.397,460,570,0.807,424,557,165,1504,3,"AS,NBA1",0
"4","pettibo01",1955,"Bob Pettit",22,"MLH","PF",72,2659,520,1279,0.407,426,567,0.751,994,229,258,1466,1,"ROY-1,AS,NBA1",0
"5","selvyfr01",1955,"Frank Selvy",22,"2TM","SF",71,2668,452,1195,0.378,444,610,0.728,394,245,230,1348,0,"AS",0
"6","schaydo01",1955,"Dolph Schayes",26,"SYR","PF",72,2526,422,1103,0.383,489,587,0.833,887,213,247,1333,0,"AS,NBA1",0
"7","mikkeve01",1955,"Vern Mikkelsen",26,"MNL","PF",71,2559,440,1043,0.422,447,598,0.747,722,145,319,1327,0,"AS,NBA2",0
"8","lovelcl01",1955,"Clyde Lovellette",25,"MNL","C",70,2361,519,1192,0.435,273,398,0.686,802,100,262,1311,0,"",0
"9","sharmbi01",1955,"Bill Sharman",28,"BOS","SG",68,2453,453,1062,0.427,347,387,0.897,302,280,212,1253,0,"AS,NBA2",0
"10","macaued01",1955,"Ed Macauley",26,"BOS","C",71,2706,403,951,0.424,442,558,0.792,600,275,171,1248,1,"AS",0
"11","foustla01",1955,"Larry Foust",26,"FTW","C",70,2264,398,818,0.487,393,513,0.766,700,118,264,1189,0,"AS,NBA1",0
"12","braunca01",1955,"Carl Braun",27,"NYK","SG",71,2479,400,1032,0.388,274,342,0.801,295,274,208,1074,0,"AS",0
"13","gallaha01",1955,"Harry Gallatin",27,"NYK","PF",72,2548,330,859,0.384,393,483,0.814,995,176,206,1053,0,"AS,NBA2",0
"14","seymopa01",1955,"Paul Seymour",27,"SYR","SG",72,2950,375,1036,0.362,300,370,0.811,309,483,137,1050,1,"AS,NBA2",0
"15","felixra01",1955,"Ray Felix",24,"NYK","C",72,2024,364,832,0.438,310,498,0.622,818,67,286,1038,0,"",0
"16","yardlge01",1955,"George Yardley",26,"FTW","SF",60,2150,363,869,0.418,310,416,0.745,594,126,205,1036,0,"AS",0
"17","baechji01",1955,"Jim Baechtold",27,"NYK","SF",72,2536,362,898,0.403,279,339,0.823,307,218,202,1003,0,"",0
"18","martisl01",1955,"Slater Martin",29,"MNL","PG",72,2784,350,919,0.381,276,359,0.769,260,427,221,976,1,"AS,NBA2",0
"19","grabojo01",1955,"Joe Graboski",25,"PHW","PF",70,2515,373,1096,0.34,208,303,0.686,636,182,259,954,0,"",0
"20","cliftna01",1955,"Nat Clifton",32,"NYK","PF",72,2390,360,932,0.386,224,328,0.683,612,198,221,944,0,"",0
"21","wanzebo01",1955,"Bobby Wanzer",33,"ROC","SG",72,2376,324,820,0.395,294,374,0.786,374,247,163,942,0,"AS",0
"22","colemja01",1955,"Jack Coleman",30,"ROC","PF",72,2482,400,866,0.462,124,183,0.678,729,232,201,924,0,"AS",0
"23","daviebo01",1955,"Bob Davies",35,"ROC","PG",72,1870,326,785,0.415,220,293,0.751,205,355,220,872,0,"",0
"24","hutchme01",1955,"Mel Hutchins",26,"FTW","PF",72,2860,341,903,0.378,182,257,0.708,665,247,232,864,0,"",0
"25","sharech01",1955,"Chuck Share",27,"MLH","C",69,1685,235,577,0.407,351,492,0.713,684,84,273,821,0,"",0
"26","rochare01",1955,"Red Rocha",31,"SYR","C",72,2473,295,801,0.368,222,284,0.782,489,178,242,812,0,"",0
"27","risenar01",1955,"Arnie Risen",30,"ROC","C",69,1970,259,699,0.371,279,375,0.744,703,112,253,797,0,"AS",0
"28","skoogwh01",1955,"Whitey Skoog",28,"MNL","SG",72,2365,330,836,0.395,125,155,0.806,303,251,265,785,0,"",0
"29","zasloma01",1955,"Max Zaslofsky",29,"FTW","SG",70,1862,269,821,0.328,247,352,0.702,191,203,130,785,0,"",0
"30","georgja01",1955,"Jack George",26,"PHW","PG",68,2480,291,756,0.385,192,291,0.66,302,359,191,774,0,"",0
"31","barksdo01",1955,"Don Barksdale",31,"BOS","SF",72,1790,267,699,0.382,220,338,0.651,545,129,225,754,0,"",0
"32","kerrre01",1955,"Red Kerr",22,"SYR","C",72,1529,301,718,0.419,152,223,0.682,474,80,165,754,0,"",0
"33","schnidi01",1955,"Dick Schnittker",26,"MNL","SF",72,1798,226,583,0.388,298,362,0.823,349,114,231,750,0,"",0
"34","lloydea01",1955,"Earl Lloyd",26,"SYR","SF",72,2212,286,784,0.365,159,212,0.75,553,151,283,731,0,"",0
"35","harribo02",1955,"Bob Harrison",27,"MLH","PG",72,2300,299,875,0.342,126,185,0.681,226,252,291,724,1,"",0
"36","ramsefr01",1955,"Frank Ramsey",23,"BOS","SF",64,1754,236,592,0.399,243,322,0.755,402,185,250,715,0,"",0
"37","brianfr01",1955,"Frankie Brian",31,"FTW","SG",71,1381,237,623,0.38,217,255,0.851,127,142,133,691,0,"",0
"38","pollaji01",1955,"Jim Pollard",32,"MNL","SF",63,1960,265,749,0.354,151,186,0.812,458,160,147,681,0,"AS",0
"39","spearod01",1955,"Odie Spears",30,"ROC","SF",71,1888,226,585,0.386,220,271,0.812,299,148,252,672,0,"",0
"40","mcguidi01",1955,"Dick McGuire",29,"NYK","PG",71,2310,226,581,0.389,195,303,0.644,322,542,143,647,0,"AS",0
"41","mcmahja01",1955,"Jack McMahon",26,"ROC","PG",72,1807,251,721,0.348,143,225,0.636,211,246,179,645,0,"",0
"42","nichoja01",1955,"Jack Nichols",28,"BOS","PF",64,1910,249,656,0.38,138,177,0.78,533,144,238,636,0,"",0
"43","phillan01",1955,"Andy Phillip",32,"FTW","PG",64,2332,202,545,0.371,213,308,0.692,290,491,166,617,0,"AS",0
"44","kingge01",1955,"George King",26,"SYR","PG",67,2015,228,605,0.377,140,229,0.611,227,331,148,596,0,"",0
