"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","gervige01",1982,"George Gervin",29,"SAS","SG",79,2817,993,1987,0.5,10,36,0.278,983,1951,0.504,0.502,555,642,0.864,138,254,392,187,77,45,210,215,2551,0,"MVP-6,AS,NBA1",0
"2","malonmo01",1982,"Moses Malone",26,"HOU","C",81,3398,945,1822,0.519,0,6,0,945,1816,0.52,0.519,630,827,0.762,558,630,1188,142,76,125,294,208,2520,0,"MVP-1,AS,NBA1",0
"3","dantlad01",1982,"Adrian Dantley",26,"UTA","SF",81,3222,904,1586,0.57,1,3,0.333,903,1583,0.57,0.57,648,818,0.792,231,283,514,324,95,14,299,252,2457,1,"MVP-15,AS",0
"4","englial01",1982,"Alex English",28,"DEN","SF",82,3015,855,1553,0.551,0,8,0,855,1545,0.553,0.551,372,443,0.84,210,348,558,433,87,120,261,261,2082,3,"MVP-13,AS,NBA2",0
"5","ervinju01",1982,"Julius Erving",31,"PHI","SF",81,2789,780,1428,0.546,3,11,0.273,777,1417,0.548,0.547,411,539,0.763,220,337,557,319,161,141,214,229,1974,0,"MVP-3,AS,NBA1",0
"6","willigu01",1982,"Gus Williams",28,"SEA","PG",80,2876,773,1592,0.486,9,40,0.225,764,1552,0.492,0.488,320,436,0.734,92,152,244,549,172,36,197,163,1875,1,"MVP-5,AS,NBA1",0
"7","isselda01",1982,"Dan Issel",33,"DEN","C",81,2472,651,1236,0.527,4,6,0.667,647,1230,0.526,0.528,546,655,0.834,174,434,608,179,67,55,169,245,1852,0,"MVP-17",0
"8","kingbe01",1982,"Bernard King",25,"GSW","SF",79,2861,740,1307,0.566,1,5,0.2,739,1302,0.568,0.567,352,499,0.705,140,329,469,282,78,23,267,285,1833,0,"MVP-14,AS,NBA2",0
"9","abdulka01",1982,"Kareem Abdul-Jabbar",34,"LAL","C",76,2677,753,1301,0.579,0,3,0,753,1298,0.58,0.579,312,442,0.706,172,487,659,225,63,207,230,224,1818,1,"MVP-10,AS",0
"10","freewo01",1982,"World B. Free",28,"GSW","SG",78,2796,650,1452,0.448,10,56,0.179,640,1396,0.458,0.451,479,647,0.74,118,130,248,419,71,8,208,222,1789,0,"",0
"11","tripuke01",1982,"Kelly Tripucka",22,"DET","SF",82,3077,636,1281,0.496,5,22,0.227,631,1259,0.501,0.498,495,621,0.797,219,224,443,270,89,16,280,241,1772,0,"MVP-11,ROY-2,AS",0
"12","birdla01",1982,"Larry Bird",25,"BOS","PF",77,2923,711,1414,0.503,11,52,0.212,700,1362,0.514,0.507,328,380,0.863,200,637,837,447,143,66,254,244,1761,3,"MVP-2,AS,NBA1,DEF2",0
"13","vandeki01",1982,"Kiki Vandeweghe",23,"DEN","PF",82,2775,706,1260,0.56,1,13,0.077,705,1247,0.565,0.561,347,405,0.857,149,312,461,247,52,29,189,217,1760,0,"",0
"14","wilkeja01",1982,"Jamaal Wilkes",28,"LAL","SF",82,2906,744,1417,0.525,0,4,0,744,1413,0.527,0.525,246,336,0.732,153,240,393,143,89,24,164,240,1734,0,"MVP-21",0
"15","vinceja01",1982,"Jay Vincent",22,"DAL","PF",81,2626,719,1448,0.497,1,4,0.25,718,1444,0.497,0.497,293,409,0.716,182,383,565,176,89,22,194,308,1732,0,"MVP-21,ROY-3",0
"16","mitchmi01",1982,"Mike Mitchell",26,"2TM","SF",84,3063,753,1477,0.51,0,7,0,753,1470,0.512,0.51,220,302,0.728,244,346,590,82,60,43,153,277,1726,0,"",0
"17","willira01",1982,"Ray Williams",27,"NJN","SG",82,2732,639,1383,0.462,9,54,0.167,630,1329,0.474,0.465,387,465,0.832,117,208,325,488,199,43,290,302,1674,0,"MVP-16",0
"18","thompmy01",1982,"Mychal Thompson",27,"POR","C",79,3129,681,1303,0.523,0,0,NA,681,1303,0.523,0.523,280,446,0.628,258,663,921,319,69,107,245,233,1642,0,"MVP-21",0
"19","sikmaja01",1982,"Jack Sikma",26,"SEA","C",82,3049,581,1212,0.479,2,13,0.154,579,1199,0.483,0.48,447,523,0.855,223,815,1038,277,102,107,213,268,1611,1,"MVP-9,AS,DEF2",0
"20","parisro01",1982,"Robert Parish",28,"BOS","C",80,2534,669,1235,0.542,0,0,NA,669,1235,0.542,0.542,252,355,0.71,288,578,866,140,68,192,221,267,1590,0,"MVP-4,AS,NBA2",0
"21","griffda01",1982,"Darrell Griffith",23,"UTA","SG",80,2597,689,1429,0.482,15,52,0.288,674,1377,0.489,0.487,189,271,0.697,128,177,305,187,95,34,193,213,1582,0,"",0
"22","moncrsi01",1982,"Sidney Moncrief",24,"MIL","SG",80,2980,556,1063,0.523,1,14,0.071,555,1049,0.529,0.524,468,573,0.817,221,313,534,382,138,22,208,206,1581,0,"MVP-7,AS,NBA2,DEF2",0
"23","johnsde01",1982,"Dennis Johnson",27,"PHO","SG",80,2937,577,1228,0.47,8,42,0.19,569,1186,0.48,0.473,399,495,0.806,142,268,410,369,105,55,233,253,1561,0,"MVP-21,AS,DEF1",0
"24","paxsoji02",1982,"Jim Paxson",24,"POR","SG",82,2756,662,1258,0.526,8,35,0.229,654,1223,0.535,0.529,220,287,0.767,75,146,221,276,129,12,144,159,1552,0,"",0
"25","gilmoar01",1982,"Artis Gilmore",32,"CHI","C",82,2796,546,837,0.652,1,1,1,545,836,0.652,0.653,424,552,0.768,224,611,835,136,49,220,227,287,1517,0,"AS",0
"26","longjo01",1982,"John Long",25,"DET","SG",69,2211,637,1294,0.492,2,15,0.133,635,1279,0.496,0.493,238,275,0.865,95,162,257,148,65,25,167,173,1514,0,"",0
"27","theusre01",1982,"Reggie Theus",24,"CHI","SG",82,2838,560,1194,0.469,25,100,0.25,535,1094,0.489,0.479,363,449,0.808,115,197,312,476,87,16,277,243,1508,0,"",0
