"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","chambwi01",1961,"Wilt Chamberlain",24,"PHW","C",79,3773,1251,2457,0.509,531,1054,0.504,2149,148,130,3033,0,"MVP-4,AS,NBA1",0
"2","bayloel01",1961,"Elgin Baylor",26,"LAL","SF",73,3133,931,2166,0.43,676,863,0.783,1447,371,279,2538,4,"MVP-3,AS,NBA1",0
"3","roberos01",1961,"Oscar Robertson",22,"CIN","PG",71,3032,756,1600,0.473,653,794,0.822,716,690,219,2165,26,"MVP-5,ROY-1,AS,NBA1",0
"4","pettibo01",1961,"Bob Pettit",28,"STL","PF",76,3027,769,1720,0.447,582,804,0.724,1540,262,217,2120,0,"MVP-2,AS,NBA1",0
"5","twymaja01",1961,"Jack Twyman",26,"CIN","SF",79,2920,796,1632,0.488,405,554,0.731,672,225,279,1997,0,"MVP-11",0
"6","schaydo01",1961,"Dolph Schayes",32,"SYR","PF",79,3007,594,1595,0.372,680,783,0.868,960,296,296,1868,1,"MVP-8,AS,NBA2",0
"7","naullwi01",1961,"Willie Naulls",26,"NYK","SF",79,2976,737,1723,0.428,372,456,0.816,1055,191,268,1846,0,"MVP-16,AS",0
"8","arizipa01",1961,"Paul Arizin",32,"PHW","SF",79,2935,650,1529,0.425,532,639,0.833,681,188,335,1832,0,"MVP-16,AS",0
"9","howelba01",1961,"Bailey Howell",24,"DET","PF",77,2952,607,1293,0.469,601,798,0.753,1111,196,297,1815,0,"MVP-9,AS",0
"10","shuege01",1961,"Gene Shue",29,"DET","PG",78,3361,650,1545,0.421,465,543,0.856,334,530,207,1765,1,"MVP-10,AS,NBA2",0
"11","gueriri01",1961,"Richie Guerin",28,"NYK","SG",79,3023,612,1545,0.396,496,626,0.792,628,503,310,1720,5,"MVP-15,AS",0
"12","hagancl01",1961,"Cliff Hagan",29,"STL","SF",77,2701,661,1490,0.444,383,467,0.82,715,381,286,1705,2,"MVP-14,AS",0
"13","heinsto01",1961,"Tom Heinsohn",26,"BOS","PF",74,2256,627,1566,0.4,325,424,0.767,732,141,260,1579,0,"MVP-7,AS,NBA2",0
"14","greerha01",1961,"Hal Greer",24,"SYR","SG",79,2763,623,1381,0.451,305,394,0.774,455,302,242,1551,0,"AS",0
"15","lovelcl01",1961,"Clyde Lovellette",31,"STL","C",67,2111,599,1321,0.453,273,329,0.83,677,172,248,1471,0,"MVP-13,AS",0
"16","westje01",1961,"Jerry West",22,"LAL","SG",79,2797,529,1264,0.419,331,497,0.666,611,333,213,1389,2,"MVP-12,AS",0
