"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","tatumja01",2023,"Jayson Tatum",24,"BOS","SF",74,74,2732,727,1559,0.466,240,686,0.35,487,873,0.558,0.543,531,622,0.854,78,571,649,342,78,51,213,160,2225,1,"MVP-4,CPOY-10,AS,NBA1",0
"2","embiijo01",2023,"Joel Embiid",28,"PHI","C",66,66,2284,728,1328,0.548,66,200,0.33,662,1128,0.587,0.573,661,771,0.857,113,557,670,274,66,112,226,205,2183,1,"MVP-1,DPOY-9,CPOY-5,AS,NBA1",0
"3","doncilu01",2023,"Luka Dončić",23,"DAL","PG",66,66,2391,719,1449,0.496,185,541,0.342,534,908,0.588,0.56,515,694,0.742,54,515,569,529,90,33,236,166,2138,10,"MVP-8,CPOY-8,AS,NBA1",0
"4","gilgesh01",2023,"Shai Gilgeous-Alexander",24,"OKC","PG",68,68,2416,704,1381,0.51,58,168,0.345,646,1213,0.533,0.531,669,739,0.905,59,270,329,371,112,65,192,192,2135,0,"MVP-5,CPOY-7,AS,NBA1",0
"5","antetgi01",2023,"Giannis Antetokounmpo",28,"MIL","PF",63,63,2024,707,1278,0.553,47,171,0.275,660,1107,0.596,0.572,498,772,0.645,137,605,742,359,52,51,246,197,1959,6,"MVP-3,DPOY-6,AS,NBA1",0
"6","edwaran01",2023,"Anthony Edwards",21,"MIN","SG",79,79,2842,707,1541,0.459,213,578,0.369,494,963,0.513,0.528,319,422,0.756,47,411,458,350,125,58,259,186,1946,0,"AS",0
"7","randlju01",2023,"Julius Randle",28,"NYK","PF",77,77,2737,658,1432,0.459,218,636,0.343,440,796,0.553,0.536,402,531,0.757,141,626,767,316,49,21,216,233,1936,0,"CPOY-14,AS,NBA3",0
"8","mitchdo01",2023,"Donovan Mitchell",26,"CLE","SG",68,68,2432,679,1402,0.484,245,635,0.386,434,767,0.566,0.572,319,368,0.867,63,226,289,301,99,27,180,168,1922,0,"MVP-6,CPOY-6,AS,NBA2",0
"9","youngtr01",2023,"Trae Young",24,"ATL","PG",73,73,2541,597,1390,0.429,154,460,0.335,443,930,0.476,0.485,566,639,0.886,56,161,217,741,80,9,300,104,1914,0,"",0
"10","lavinza01",2023,"Zach LaVine",27,"CHI","SG",77,77,2768,673,1388,0.485,204,544,0.375,469,844,0.556,0.558,363,428,0.848,42,303,345,327,69,18,194,159,1913,0,"",0
"11","lillada01",2023,"Damian Lillard",32,"POR","PG",58,58,2107,556,1202,0.463,244,658,0.371,312,544,0.574,0.564,510,558,0.914,44,233,277,425,50,18,191,109,1866,2,"CPOY-10,AS,NBA3",0
"12","foxde01",2023,"De'Aaron Fox",25,"SAC","PG",73,73,2435,682,1331,0.512,119,367,0.324,563,964,0.584,0.557,343,440,0.78,40,266,306,447,83,23,181,172,1826,0,"MVP-11,CPOY-1,AS,NBA3",0
