"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","jordami01",1991,"Michael Jordan",27,"CHI","SG",82,82,3034,990,1837,0.539,29,93,0.312,961,1744,0.551,0.547,571,671,0.851,118,374,492,453,223,83,202,229,2580,"MVP-1,DPOY-7,AS,NBA1"
"2","malonka01",1991,"Karl Malone",27,"UTA","PF",82,82,3302,847,1608,0.527,4,14,0.286,843,1594,0.529,0.528,684,888,0.77,236,731,967,270,89,79,244,268,2382,"MVP-5,AS,NBA1"
"3","ewingpa01",1991,"Patrick Ewing",28,"NYK","C",81,81,3104,845,1645,0.514,0,6,0,845,1639,0.516,0.514,464,623,0.745,194,711,905,244,80,258,291,287,2154,"MVP-11,DPOY-7,AS,NBA2"
"4","mullich01",1991,"Chris Mullin",27,"GSW","SF",82,82,3315,777,1449,0.536,40,133,0.301,737,1316,0.56,0.55,513,580,0.884,141,302,443,329,173,63,245,176,2107,"AS,NBA2"
"5","robinda01",1991,"David Robinson",25,"SAS","C",82,81,3095,754,1366,0.552,1,7,0.143,753,1359,0.554,0.552,592,777,0.762,335,728,1063,208,127,320,270,264,2101,"MVP-3,DPOY-2,AS,NBA1"
"6","wilkido01",1991,"Dominique Wilkins",31,"ATL","SF",81,81,3078,770,1640,0.47,85,249,0.341,685,1391,0.492,0.495,476,574,0.829,261,471,732,265,123,65,201,156,2101,"MVP-8,AS,NBA2"
"7","hardati01",1991,"Tim Hardaway",24,"GSW","PG",82,82,3215,739,1551,0.476,97,252,0.385,642,1299,0.494,0.508,306,381,0.803,87,245,332,793,214,12,270,228,1881,"MVP-19,AS"
"8","millere01",1991,"Reggie Miller",25,"IND","SG",82,82,2972,596,1164,0.512,112,322,0.348,484,842,0.575,0.56,551,600,0.918,81,200,281,331,109,13,163,165,1855,""
"9","barklch01",1991,"Charles Barkley",27,"PHI","SF",67,67,2498,665,1167,0.57,44,155,0.284,621,1012,0.614,0.589,475,658,0.722,258,422,680,284,110,33,210,173,1849,"MVP-4,AS,NBA1"
"10","richmmi01",1991,"Mitch Richmond",25,"GSW","SG",77,77,3027,703,1424,0.494,40,115,0.348,663,1309,0.506,0.508,394,465,0.847,147,305,452,238,126,34,230,207,1840,""
"11","kingbe01",1991,"Bernard King",34,"WSB","SF",64,64,2401,713,1511,0.472,8,37,0.216,705,1474,0.478,0.475,383,485,0.79,114,205,319,292,56,16,255,187,1817,"MVP-16,AS,NBA3"
"12","drexlcl01",1991,"Clyde Drexler",28,"POR","SG",82,82,2852,645,1338,0.482,61,191,0.319,584,1147,0.509,0.505,416,524,0.794,212,334,546,493,144,60,232,226,1767,"MVP-6,AS,NBA2"
"13","hawkihe01",1991,"Hersey Hawkins",24,"PHI","SG",80,80,3110,590,1251,0.472,108,270,0.4,482,981,0.491,0.515,479,550,0.871,48,262,310,299,178,39,213,182,1767,"AS"
"14","adamsmi01",1991,"Michael Adams",28,"DEN","PG",66,66,2346,560,1421,0.394,167,564,0.296,393,857,0.459,0.453,465,529,0.879,58,198,256,693,147,6,240,162,1752,""
"15","johnske02",1991,"Kevin Johnson",24,"PHO","PG",77,76,2772,591,1145,0.516,9,44,0.205,582,1101,0.529,0.52,519,616,0.843,54,217,271,781,163,11,269,174,1710,"MVP-7,AS,NBA2"
"16","campbto01",1991,"Tony Campbell",28,"MIN","SG",77,71,2893,652,1502,0.434,16,61,0.262,636,1441,0.441,0.439,358,446,0.803,161,185,346,214,121,48,190,204,1678,""
"17","worthja01",1991,"James Worthy",29,"LAL","SF",78,74,3008,716,1455,0.492,26,90,0.289,690,1365,0.505,0.501,212,266,0.797,107,249,356,275,104,35,127,117,1670,"AS,NBA3"
"18","daughbr01",1991,"Brad Daugherty",25,"CLE","C",76,76,2946,605,1155,0.524,0,3,0,605,1152,0.525,0.524,435,579,0.751,177,653,830,253,74,46,211,191,1645,"AS"
"19","dumarjo01",1991,"Joe Dumars",27,"DET","SG",80,80,3046,622,1292,0.481,14,45,0.311,608,1247,0.488,0.487,371,417,0.89,62,125,187,443,89,7,189,135,1629,"MVP-15,DPOY-4,AS,NBA3"
"20","piercri01",1991,"Ricky Pierce",31,"2TM","SG",78,2,2167,561,1156,0.485,46,116,0.397,515,1040,0.495,0.505,430,471,0.913,67,124,191,168,60,13,147,170,1598,"6MOY-4,AS"
"21","blackro01",1991,"Rolando Blackman",31,"DAL","SG",80,80,2965,634,1316,0.482,40,114,0.351,594,1202,0.494,0.497,282,326,0.865,63,193,256,301,69,19,159,153,1590,""
"22","carran01",1991,"Antoine Carr",29,"SAC","PF",77,48,2527,628,1228,0.511,0,3,0,628,1225,0.513,0.511,295,389,0.758,163,257,420,191,45,101,171,315,1551,""
