"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","englial01",1983,"Alex English",29,"DEN","SF",82,82,2988,959,1857,0.516,2,12,0.167,957,1845,0.519,0.517,406,490,0.829,263,338,601,397,116,126,263,235,2326,"MVP-6,AS,NBA2"
"2","vandeki01",1983,"Kiki Vandeweghe",24,"DEN","PF",82,79,2909,841,1537,0.547,15,51,0.294,826,1486,0.556,0.552,489,559,0.875,124,313,437,203,66,38,177,198,2186,"MVP-22,AS"
"3","gervige01",1983,"George Gervin",30,"SAS","SG",78,78,2830,757,1553,0.487,12,33,0.364,745,1520,0.49,0.491,517,606,0.853,111,246,357,264,88,67,247,243,2043,"MVP-9,AS,NBA2"
"4","aguirma01",1983,"Mark Aguirre",23,"DAL","SF",81,75,2784,767,1589,0.483,16,76,0.211,751,1513,0.496,0.488,429,589,0.728,191,317,508,332,80,26,261,247,1979,""
"5","theusre01",1983,"Reggie Theus",25,"CHI","PG",82,81,2856,749,1567,0.478,21,91,0.231,728,1476,0.493,0.485,434,542,0.801,91,209,300,484,143,17,321,281,1953,"AS"
"6","malonmo01",1983,"Moses Malone",27,"PHI","C",78,78,2922,654,1305,0.501,0,1,0,654,1304,0.502,0.501,600,788,0.761,445,749,1194,101,89,157,264,206,1908,"MVP-1,AS,NBA1"
"7","carrojo01",1983,"Joe Barry Carroll",24,"GSW","C",79,79,2988,785,1529,0.513,0,3,0,785,1526,0.514,0.513,337,469,0.719,220,468,688,169,108,155,285,260,1907,""
"8","birdla01",1983,"Larry Bird",26,"BOS","PF",79,79,2982,747,1481,0.504,22,77,0.286,725,1404,0.516,0.512,351,418,0.84,193,677,870,458,148,71,240,197,1867,"MVP-2,DPOY-3,AS,NBA1"
"9","thomais01",1983,"Isiah Thomas",21,"DET","PG",81,81,3093,725,1537,0.472,36,125,0.288,689,1412,0.488,0.483,368,518,0.71,105,223,328,634,199,29,326,318,1854,"MVP-16,AS,NBA2"
"10","paxsoji02",1983,"Jim Paxson",25,"POR","SG",81,81,2740,682,1323,0.515,4,25,0.16,678,1298,0.522,0.517,388,478,0.812,68,106,174,231,140,17,156,160,1756,"AS"
"11","freewo01",1983,"World B. Free",29,"2TM","SG",73,69,2638,649,1423,0.456,15,45,0.333,634,1378,0.46,0.461,430,583,0.738,92,109,201,290,97,15,209,241,1743,""
"12","isselda01",1983,"Dan Issel",34,"DEN","C",80,80,2431,661,1296,0.51,4,19,0.211,657,1277,0.514,0.512,400,479,0.835,151,445,596,223,83,43,174,227,1726,""
"13","abdulka01",1983,"Kareem Abdul-Jabbar",35,"LAL","C",79,79,2554,722,1228,0.588,0,2,0,722,1226,0.589,0.588,278,371,0.749,167,425,592,200,61,170,200,220,1722,"MVP-10,AS,NBA2"
"14","johnsma01",1983,"Marques Johnson",26,"MIL","SF",80,80,2853,723,1420,0.509,4,20,0.2,719,1400,0.514,0.511,264,359,0.735,196,366,562,363,100,56,196,211,1714,"MVP-21,AS"
"15","moncrsi01",1983,"Sidney Moncrief",25,"MIL","SG",76,76,2710,606,1156,0.524,1,10,0.1,605,1146,0.528,0.525,499,604,0.826,192,245,437,300,113,23,197,180,1712,"MVP-4,DPOY-1,AS,NBA1"
"16","griffda01",1983,"Darrell Griffith",24,"UTA","SG",77,76,2787,752,1554,0.484,38,132,0.288,714,1422,0.502,0.496,167,246,0.679,100,204,304,270,138,33,252,184,1709,""
"17","cummite01",1983,"Terry Cummings",21,"SDC","PF",70,69,2531,684,1309,0.523,0,1,0,684,1308,0.523,0.523,292,412,0.709,303,441,744,177,129,62,204,294,1660,"MVP-13,ROY-1"
"18","nattca01",1983,"Calvin Natt",26,"POR","SF",80,80,2879,644,1187,0.543,3,20,0.15,641,1167,0.549,0.544,339,428,0.792,214,385,599,171,63,29,203,184,1630,""
