"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","dantlad01",1981,"Adrian Dantley",25,"UTA","SF",80,NA,3417,909,1627,0.559,2,7,0.286,907,1620,0.56,0.559,632,784,0.806,192,317,509,322,109,18,282,245,2452,"MVP-12,AS,NBA2"
"2","malonmo01",1981,"Moses Malone",25,"HOU","C",80,NA,3245,806,1545,0.522,1,3,0.333,805,1542,0.522,0.522,609,804,0.757,474,706,1180,141,83,150,308,223,2222,"MVP-4,AS,NBA2"
"3","gervige01",1981,"George Gervin",28,"SAS","SG",82,NA,2765,850,1729,0.492,9,35,0.257,841,1694,0.496,0.494,512,620,0.826,126,293,419,260,94,56,251,212,2221,"MVP-5,AS,NBA1"
"4","abdulka01",1981,"Kareem Abdul-Jabbar",33,"LAL","C",80,NA,2976,836,1457,0.574,0,1,0,836,1456,0.574,0.574,423,552,0.766,197,624,821,272,59,228,249,244,2095,"MVP-3,AS,NBA1"
"5","ervinju01",1981,"Julius Erving",30,"PHI","SF",82,82,2874,794,1524,0.521,4,18,0.222,790,1506,0.525,0.522,422,536,0.787,244,413,657,364,173,147,266,233,2014,"MVP-1,AS,NBA1"
"6","mitchmi01",1981,"Mike Mitchell",25,"CLE","SF",82,NA,3194,853,1791,0.476,4,9,0.444,849,1782,0.476,0.477,302,385,0.784,215,287,502,139,63,52,175,199,2012,"MVP-24,AS"
"7","thompda01",1981,"David Thompson",26,"DEN","SG",77,NA,2620,734,1451,0.506,10,39,0.256,724,1412,0.513,0.509,489,615,0.795,107,180,287,231,53,60,250,231,1967,""
"8","englial01",1981,"Alex English",27,"DEN","SF",81,NA,3093,768,1555,0.494,3,5,0.6,765,1550,0.494,0.495,390,459,0.85,273,373,646,290,106,100,241,255,1929,""
"9","wilkeja01",1981,"Jamaal Wilkes",27,"LAL","SF",81,NA,3028,786,1495,0.526,1,13,0.077,785,1482,0.53,0.526,254,335,0.758,146,289,435,235,121,29,207,223,1827,"MVP-10,AS"
"10","kingbe01",1981,"Bernard King",24,"GSW","SF",81,NA,2914,731,1244,0.588,2,6,0.333,729,1238,0.589,0.588,307,437,0.703,178,373,551,287,72,34,265,304,1771,"MVP-14"
"11","isselda01",1981,"Dan Issel",32,"DEN","C",80,NA,2641,614,1220,0.503,2,12,0.167,612,1208,0.507,0.504,519,684,0.759,229,447,676,158,83,53,130,249,1749,""
"12","birdsot01",1981,"Otis Birdsong",25,"KCK","SG",71,NA,2593,710,1306,0.544,10,35,0.286,700,1271,0.551,0.547,317,455,0.697,119,139,258,233,93,18,173,172,1747,"MVP-17,AS,NBA2"
"13","birdla01",1981,"Larry Bird",24,"BOS","PF",82,82,3239,719,1503,0.478,20,74,0.27,699,1429,0.489,0.485,283,328,0.863,191,704,895,451,161,63,289,239,1741,"MVP-2,AS,NBA1"
"14","newlimi01",1981,"Mike Newlin",32,"NJN","SG",79,NA,2911,632,1272,0.497,10,30,0.333,622,1242,0.501,0.501,414,466,0.888,78,141,219,299,87,9,248,237,1688,""
"15","griffda01",1981,"Darrell Griffith",22,"UTA","SG",81,NA,2867,716,1544,0.464,10,52,0.192,706,1492,0.473,0.467,229,320,0.716,79,209,288,194,106,40,231,219,1671,"ROY-1"
"16","cartwbi01",1981,"Bill Cartwright",23,"NYK","C",82,NA,2925,619,1118,0.554,0,1,0,619,1117,0.554,0.554,408,518,0.788,161,452,613,111,48,83,200,259,1646,""
"17","willifr01",1981,"Freeman Williams",24,"SDC","SG",82,NA,1976,642,1381,0.465,48,141,0.34,594,1240,0.479,0.482,253,297,0.852,75,54,129,164,91,5,166,157,1585,""
"18","freewo01",1981,"World B. Free",27,"GSW","SG",65,NA,2370,516,1157,0.446,5,31,0.161,511,1126,0.454,0.448,528,649,0.814,48,111,159,361,85,11,195,183,1565,""
"19","willira01",1981,"Ray Williams",26,"NYK","PG",79,NA,2742,616,1335,0.461,16,68,0.235,600,1267,0.474,0.467,312,382,0.817,122,199,321,432,185,37,235,270,1560,""
"20","parisro01",1981,"Robert Parish",27,"BOS","C",82,78,2298,635,1166,0.545,0,1,0,635,1165,0.545,0.545,282,397,0.71,245,532,777,144,81,214,191,310,1552,"MVP-7,AS"
"21","theusre01",1981,"Reggie Theus",23,"CHI","SG",82,NA,2820,543,1097,0.495,18,90,0.2,525,1007,0.521,0.503,445,550,0.809,124,163,287,426,122,20,259,258,1549,"MVP-19,AS"
"22","carrojo01",1981,"Joe Barry Carroll",22,"GSW","C",82,NA,2919,616,1254,0.491,0,2,0,616,1252,0.492,0.491,315,440,0.716,274,485,759,117,50,121,243,313,1547,"ROY-5"
"23","robintr01",1981,"Truck Robinson",29,"PHO","PF",82,NA,3088,647,1280,0.505,0,0,NA,647,1280,0.505,0.505,249,396,0.629,216,573,789,206,68,38,250,220,1543,"MVP-19,AS"
