"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","attleal01",1963,"Al Attles*","PG","26","SFW","71","","1876","301","630",".478","","","","301","630",".478",".478","133","206",".646","","","205","184","","","","253","735"
"2","barnedi01",1963,"Dick Barnett*","SG","26","LAL","80","","2544","547","1162",".471","","","","547","1162",".471",".471","343","421",".815","","","242","224","","","","189","1437"
"3","barnhjo01",1963,"John Barnhill","SG","24","STL","77","","2692","360","838",".430","","","","360","838",".430",".430","181","255",".710","","","359","322","","","","168","901"
"4","bayloel01",1963,"Elgin Baylor*","SF","28","LAL","80","","3370","1029","2273",".453","","","","1029","2273",".453",".453","661","790",".837","","","1146","386","","","","226","2719"
"5","beatyze01",1963,"Zelmo Beaty*","C","23","STL","80","","1918","297","677",".439","","","","297","677",".439",".439","220","307",".717","","","665","85","","","","312","814"
"6","bellawa01",1963,"Walt Bellamy*","C","23","CHZ","80","","3306","840","1595",".527","","","","840","1595",".527",".527","553","821",".674","","","1309","233","","","","283","2233"
"7","biancal01",1963,"Al Bianchi","SG","30","SYR","61","","1159","202","476",".424","","","","202","476",".424",".424","120","164",".732","","","134","170","","","","165","524"
"8","bockhbu01",1963,"Bucky Bockhorn","SG","29","CIN","80","","2612","375","954",".393","","","","375","954",".393",".393","183","242",".756","","","322","261","","","","260","933"
"9","boozebo01",1963,"Bob Boozer","PF","25","CIN","79","","2488","440","992",".444","","","","440","992",".444",".444","252","353",".714","","","878","102","","","","299","1132"
"10","bridgbi01",1963,"Bill Bridges","PF","23","STL","27","","374","66","160",".413","","","","66","160",".413",".413","32","51",".627","","","144","23","","","","58","164"
"11","buckhjo01",1963,"Joe Buckhalter","PF","25","CIN","2","","12","0","5",".000","","","","0","5",".000",".000","2","2","1.000","","","3","0","","","","1","2"
"12","buckncl01",1963,"Cleveland Buckner","PF","24","NYK","6","","27","5","10",".500","","","","5","10",".500",".500","2","4",".500","","","4","5","","","","6","12"
"13","buddda01",1963,"Dave Budd","SF","24","NYK","78","","1725","294","596",".493","","","","294","596",".493",".493","151","202",".748","","","395","87","","","","204","739"
"14","butchdo01",1963,"Donnie Butcher","SG","26","NYK","68","","1193","172","424",".406","","","","172","424",".406",".406","131","194",".675","","","180","138","","","","164","475"
"15","butleal01",1963,"Al Butler","PG","24","NYK","74","","1488","297","676",".439","","","","297","676",".439",".439","144","187",".770","","","170","156","","","","145","738"
"16","cableba01",1963,"Barney Cable","SF","27","TOT","61","","1203","173","380",".455","","","","173","380",".455",".455","62","96",".646","","","238","83","","","","135","408"
"17","chambwi01",1963,"Wilt Chamberlain*","C","26","SFW","80","","3806","1463","2770",".528","","","","1463","2770",".528",".528","660","1113",".593","","","1946","275","","","","136","3586"
"18","chapple01",1963,"Len Chappell","PF","22","SYR","80","","1241","281","604",".465","","","","281","604",".465",".465","148","238",".622","","","461","56","","","","171","710"
"19","conlege01",1963,"Gene Conley","PF","32","NYK","70","","1544","254","651",".390","","","","254","651",".390",".390","122","186",".656","","","469","70","","","","263","630"
"20","costela01",1963,"Larry Costello*","PG","31","SYR","78","","2066","285","660",".432","","","","285","660",".432",".432","288","327",".881","","","237","334","","","","263","858"
"21","cousybo01",1963,"Bob Cousy*","PG","34","BOS","76","","1975","392","988",".397","","","","392","988",".397",".397","219","298",".735","","","193","515","","","","175","1003"
"22","coxjo01",1963,"Johnny Cox","SG","26","CHZ","73","","1685","239","568",".421","","","","239","568",".421",".421","95","135",".704","","","280","142","","","","149","573"
"23","debusda01",1963,"Dave DeBusschere*","SF","22","DET","80","","2352","406","944",".430","","","","406","944",".430",".430","206","287",".718","","","694","207","","","","247","1018"
"24","dischte01",1963,"Terry Dischinger","SF","22","CHZ","57","","2294","525","1026",".512","","","","525","1026",".512",".512","402","522",".770","","","458","175","","","","188","1452"
"25","doyleda01",1963,"Danny Doyle","PF","22","DET","4","","25","6","12",".500","","","","6","12",".500",".500","4","5",".800","","","8","3","","","","4","16"
"26","duffybo02",1963,"Bob Duffy","PG","22","STL","42","","435","66","174",".379","","","","66","174",".379",".379","22","39",".564","","","39","83","","","","42","154"
"27","dukeswa01",1963,"Walter Dukes","C","32","DET","62","","913","83","255",".325","","","","83","255",".325",".325","101","137",".737","","","360","55","","","","183","267"
"28","eganjo01",1963,"Johnny Egan","PG","24","DET","46","","752","110","296",".372","","","","110","296",".372",".372","53","69",".768","","","59","114","","","","70","273"
"29","ellisle01",1963,"Leroy Ellis","C","22","LAL","80","","1628","222","530",".419","","","","222","530",".419",".419","133","202",".658","","","518","46","","","","194","577"
"30","embrywa01",1963,"Wayne Embry*","C","25","CIN","76","","2511","534","1165",".458","","","","534","1165",".458",".458","343","514",".667","","","936","177","","","","286","1411"
"31","farmemi01",1963,"Mike Farmer","SF","26","STL","80","","1724","239","562",".425","","","","239","562",".425",".425","117","139",".842","","","369","143","","","","155","595"
"32","fedorda01",1963,"Dave Fedor","F","22","SFW","7","","27","3","10",".300","","","","3","10",".300",".300","0","1",".000","","","6","1","","","","4","6"
"33","ferraal01",1963,"Al Ferrari","G-F","29","CHZ","18","","138","12","37",".324","","","","12","37",".324",".324","14","17",".824","","","12","14","","","","21","38"
"34","ferrybo01",1963,"Bob Ferry","C","25","DET","79","","2479","426","984",".433","","","","426","984",".433",".433","220","339",".649","","","537","170","","","","246","1072"
"35","foleyja01",1963,"Jack Foley","F","23","TOT","11","","83","20","51",".392","","","","20","51",".392",".392","13","15",".867","","","16","5","","","","8","53"
"36","gambeda01",1963,"Dave Gambee","SF","25","SYR","60","","1234","235","537",".438","","","","235","537",".438",".438","199","238",".836","","","289","48","","","","190","669"
"37","golato01",1963,"Tom Gola*","SF-SG","30","TOT","73","","2670","363","791",".459","","","","363","791",".459",".459","170","219",".776","","","517","298","","","","295","896"
"38","greenjo01",1963,"Johnny Green","PF","29","NYK","80","","2553","582","1261",".462","","","","582","1261",".462",".462","280","439",".638","","","964","152","","","","243","1444"
"39","greensi01",1963,"Si Green","PG","29","CHZ","73","","2648","322","783",".411","","","","322","783",".411",".411","209","306",".683","","","335","422","","","","274","853"
"40","greerha01",1963,"Hal Greer*","SG","26","SYR","80","","2631","600","1293",".464","","","","600","1293",".464",".464","362","434",".834","","","457","275","","","","286","1562"
"41","guarige01",1963,"Gene Guarilia","SF","25","BOS","11","","83","11","38",".289","","","","11","38",".289",".289","4","11",".364","","","14","2","","","","5","26"
"42","gueriri01",1963,"Richie Guerin*","SG","30","NYK","79","","2712","596","1380",".432","","","","596","1380",".432",".432","509","600",".848","","","331","348","","","","228","1701"
"43","gunthda01",1963,"Dave Gunther","F","25","SFW","1","","5","1","2",".500","","","","1","2",".500",".500","0","0","","","","3","3","","","","1","2"
"44","hagancl01",1963,"Cliff Hagan*","SF","31","STL","79","","1716","491","1055",".465","","","","491","1055",".465",".465","244","305",".800","","","341","193","","","","211","1226"
"45","hardnch01",1963,"Charlie Hardnett","PF","24","CHZ","78","","1657","301","683",".441","","","","301","683",".441",".441","225","349",".645","","","602","74","","","","225","827"
"46","havlijo01",1963,"John Havlicek*","SF","22","BOS","80","","2200","483","1085",".445","","","","483","1085",".445",".445","174","239",".728","","","534","179","","","","189","1140"
"47","hawkito01",1963,"Tom Hawkins","SF","26","CIN","79","","1721","299","635",".471","","","","299","635",".471",".471","147","241",".610","","","543","100","","","","197","745"
"48","heinsto01",1963,"Tom Heinsohn*","PF","28","BOS","76","","2004","550","1300",".423","","","","550","1300",".423",".423","340","407",".835","","","569","95","","","","270","1440"
"49","hightwa01",1963,"Wayne Hightower","PF","23","SFW","66","","1387","192","548",".350","","","","192","548",".350",".350","105","157",".669","","","354","51","","","","181","489"
"50","hoguedu01",1963,"Paul Hogue","C","22","NYK","50","","1340","152","419",".363","","","","152","419",".363",".363","79","174",".454","","","430","42","","","","220","383"
"51","hornro01",1963,"Ron Horn","SF","24","LAL","28","","289","27","82",".329","","","","27","82",".329",".329","20","29",".690","","","71","10","","","","46","74"
"52","howelba01",1963,"Bailey Howell*","SF","26","DET","79","","2971","637","1235",".516","","","","637","1235",".516",".516","519","650",".798","","","910","232","","","","300","1793"
"53","hundlho01",1963,"Hot Rod Hundley","PG","28","LAL","65","","785","88","262",".336","","","","88","262",".336",".336","84","119",".706","","","106","151","","","","81","260"
"54","imhofda01",1963,"Darrall Imhoff","C","24","DET","45","","458","48","153",".314","","","","48","153",".314",".314","24","50",".480","","","155","28","","","","66","120"
"55","jolifho01",1963,"Howie Jolliff","PF","24","LAL","28","","293","15","55",".273","","","","15","55",".273",".273","6","9",".667","","","62","20","","","","49","36"
"56","joneskc01",1963,"K.C. Jones*","PG","30","BOS","79","","1945","230","591",".389","","","","230","591",".389",".389","112","177",".633","","","263","317","","","","221","572"
"57","jonessa01",1963,"Sam Jones*","SG","29","BOS","76","","2323","621","1305",".476","","","","621","1305",".476",".476","257","324",".793","","","396","241","","","","162","1499"
"58","joneswi01",1963,"Willie Jones","PG","26","DET","79","","1470","305","730",".418","","","","305","730",".418",".418","118","164",".720","","","233","188","","","","207","728"
"59","jordoph01",1963,"Phil Jordon","C","29","STL","73","","1420","211","527",".400","","","","211","527",".400",".400","56","101",".554","","","319","103","","","","172","478"
"60","kerrre01",1963,"Red Kerr","C","30","SYR","80","","2561","507","1069",".474","","","","507","1069",".474",".474","241","320",".753","","","1039","214","","","","208","1255"
