"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","jordami01",1987,"Michael Jordan",23,"CHI","SG",82,82,3281,1098,2279,0.482,12,66,0.182,1086,2213,0.491,0.484,833,972,0.857,166,264,430,377,236,125,272,237,3041,"MVP-2,DPOY-8,AS,NBA1"
"2","englial01",1987,"Alex English",33,"DEN","SF",82,82,3085,965,1920,0.503,4,15,0.267,961,1905,0.504,0.504,411,487,0.844,146,198,344,422,73,21,214,216,2345,"MVP-14,AS"
"3","wilkido01",1987,"Dominique Wilkins",27,"ATL","SF",79,79,2969,828,1787,0.463,31,106,0.292,797,1681,0.474,0.472,607,742,0.818,210,284,494,261,117,51,215,149,2294,"MVP-5,AS,NBA2"
"4","vandeki01",1987,"Kiki Vandeweghe",28,"POR","SF",79,79,3029,808,1545,0.523,39,81,0.481,769,1464,0.525,0.536,467,527,0.886,86,165,251,220,52,17,139,137,2122,""
"5","birdla01",1987,"Larry Bird",30,"BOS","SF",74,73,3005,786,1497,0.525,90,225,0.4,696,1272,0.547,0.555,414,455,0.91,124,558,682,566,135,70,240,185,2076,"MVP-3,AS,NBA1"
"6","aguirma01",1987,"Mark Aguirre",27,"DAL","SF",80,80,2663,787,1590,0.495,53,150,0.353,734,1440,0.51,0.512,429,557,0.77,181,246,427,254,84,30,217,243,2056,"MVP-15,AS"
"7","ellisda01",1987,"Dale Ellis",26,"SEA","SG",82,76,3073,785,1520,0.516,86,240,0.358,699,1280,0.546,0.545,385,489,0.787,187,260,447,238,104,32,238,267,2041,"MIP-1"
"8","mchalke01",1987,"Kevin McHale",29,"BOS","PF",77,77,3060,790,1307,0.604,0,4,0,790,1303,0.606,0.604,428,512,0.836,247,516,763,198,38,172,197,240,2008,"MVP-4,DPOY-5,AS,NBA1"
"9","chambto01",1987,"Tom Chambers",27,"SEA","PF",82,82,3018,660,1446,0.456,54,145,0.372,606,1301,0.466,0.475,535,630,0.849,163,382,545,245,81,50,268,307,1909,"AS"
"10","johnsma02",1987,"Magic Johnson",27,"LAL","PG",80,80,2904,683,1308,0.522,8,39,0.205,675,1269,0.532,0.525,535,631,0.848,122,382,504,977,138,36,300,168,1909,"MVP-1,AS,NBA1"
"11","mcdanxa01",1987,"Xavier McDaniel",23,"SEA","SF",82,82,3031,806,1583,0.509,3,14,0.214,803,1569,0.512,0.51,275,395,0.696,338,367,705,207,115,52,234,300,1890,""
"12","harpero01",1987,"Ron Harper",23,"CLE","SG",82,82,3064,734,1614,0.455,20,94,0.213,714,1520,0.47,0.461,386,564,0.684,169,223,392,394,209,84,345,247,1874,"ROY-2"
"13","daviswa03",1987,"Walter Davis",32,"PHO","SG",79,79,2646,779,1515,0.514,21,81,0.259,758,1434,0.529,0.521,288,334,0.862,90,154,244,364,96,5,226,184,1867,"AS"
"14","drexlcl01",1987,"Clyde Drexler",24,"POR","SG",82,82,3114,707,1408,0.502,11,47,0.234,696,1361,0.511,0.506,357,470,0.76,227,291,518,566,204,71,253,281,1782,""
"15","malonka01",1987,"Karl Malone",23,"UTA","PF",82,82,2857,728,1422,0.512,0,7,0,728,1415,0.514,0.512,323,540,0.598,278,577,855,158,104,60,237,323,1779,"MVP-12"
"16","malonmo01",1987,"Moses Malone",31,"WSB","C",73,70,2488,595,1311,0.454,0,11,0,595,1300,0.458,0.454,570,692,0.824,340,484,824,120,59,92,202,139,1760,"MVP-10,AS,NBA2"
"17","malonje01",1987,"Jeff Malone",25,"WSB","SG",80,79,2763,689,1509,0.457,4,26,0.154,685,1483,0.462,0.458,376,425,0.885,50,168,218,298,75,13,182,154,1758,"AS"
"18","olajuha01",1987,"Hakeem Olajuwon",24,"HOU","C",75,75,2760,677,1332,0.508,1,5,0.2,676,1327,0.509,0.509,400,570,0.702,315,543,858,220,140,254,228,294,1755,"MVP-7,AS,NBA1"
"19","dantlad01",1987,"Adrian Dantley",31,"DET","SF",81,81,2736,601,1126,0.534,1,6,0.167,600,1120,0.536,0.534,539,664,0.812,104,228,332,162,63,7,181,193,1742,""
"20","carrojo01",1987,"Joe Barry Carroll",28,"GSW","C",81,81,2724,690,1461,0.472,0,0,NA,690,1461,0.472,0.472,340,432,0.787,173,416,589,214,92,123,226,255,1720,"MVP-15,AS"
"21","cummite01",1987,"Terry Cummings",25,"MIL","PF",82,77,2770,729,1426,0.511,0,3,0,729,1423,0.512,0.511,249,376,0.662,214,486,700,229,129,81,172,296,1707,""
"22","blackro01",1987,"Rolando Blackman",27,"DAL","SG",80,80,2758,626,1264,0.495,5,15,0.333,621,1249,0.497,0.497,419,474,0.884,96,182,278,266,64,21,174,142,1676,"MVP-15,AS"
"23","thomais01",1987,"Isiah Thomas",25,"DET","PG",81,81,3013,626,1353,0.463,19,98,0.194,607,1255,0.484,0.47,400,521,0.768,82,237,319,813,153,20,343,251,1671,"MVP-8,AS,NBA2"
"24","theusre01",1987,"Reggie Theus",29,"SAC","PG",79,76,2872,577,1223,0.472,17,78,0.218,560,1145,0.489,0.479,429,495,0.867,86,180,266,692,78,16,289,208,1600,""
"25","worthja01",1987,"James Worthy",25,"LAL","SF",82,82,2819,651,1207,0.539,0,13,0,651,1194,0.545,0.539,292,389,0.751,158,308,466,226,108,83,168,206,1594,"AS"
