"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","garneke01",2004,"Kevin Garnett",27,"MIN","PF",82,82,3231,804,1611,0.499,11,43,0.256,793,1568,0.506,0.502,368,465,0.791,245,894,1139,409,120,178,212,202,1987,"MVP-1,DPOY-6,AS,NBA1"
"2","stojape01",2004,"Peja Stojakovic",26,"SAC","SF",81,81,3264,665,1386,0.48,240,554,0.433,425,832,0.511,0.566,394,425,0.927,91,417,508,173,108,14,153,159,1964,"MVP-4,AS,NBA2"
"3","mcgratr01",2004,"Tracy McGrady",24,"ORL","SG",67,67,2675,653,1566,0.417,174,513,0.339,479,1053,0.455,0.473,398,500,0.796,95,307,402,370,93,42,179,129,1878,"AS,NBA2"
"4","piercpa01",2004,"Paul Pierce",26,"BOS","SG",80,80,3099,602,1497,0.402,115,384,0.299,487,1113,0.438,0.441,517,631,0.819,69,453,522,410,131,52,303,234,1836,"AS"
"5","reddmi01",2004,"Michael Redd",24,"MIL","SG",82,82,3021,633,1439,0.44,127,363,0.35,506,1076,0.47,0.484,383,441,0.868,118,289,407,185,81,6,116,152,1776,"MVP-14,AS,NBA3"
"6","anthoca01",2004,"Carmelo Anthony",19,"DEN","SF",82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,"MVP-14,ROY-2"
"7","nowitdi01",2004,"Dirk Nowitzki",25,"DAL","C",77,77,2915,605,1310,0.462,99,290,0.341,506,1020,0.496,0.5,371,423,0.877,90,580,670,207,92,104,135,216,1680,"MVP-10,AS,NBA3"
"8","jamesle01",2004,"LeBron James",19,"CLE","SG",79,79,3122,622,1492,0.417,63,217,0.29,559,1275,0.438,0.438,347,460,0.754,99,333,432,465,130,58,273,149,1654,"MVP-9,ROY-1"
"9","cartevi01",2004,"Vince Carter",27,"TOR","SG",73,73,2785,608,1457,0.417,93,243,0.383,515,1214,0.424,0.449,336,417,0.806,95,254,349,348,88,65,223,212,1645,"AS"
"10","marbust01",2004,"Stephon Marbury",26,"2TM","PG",81,81,3254,598,1386,0.431,87,274,0.318,511,1112,0.46,0.463,356,436,0.817,58,205,263,719,129,9,249,172,1639,""
"11","randoza01",2004,"Zach Randolph",22,"POR","PF",81,80,3067,663,1368,0.485,1,5,0.2,662,1363,0.486,0.485,299,393,0.761,242,609,851,163,68,41,247,227,1626,"MIP-1"
"12","cassesa01",2004,"Sam Cassell",34,"MIN","PG",81,81,2838,620,1270,0.488,74,186,0.398,546,1084,0.504,0.517,289,331,0.873,44,227,271,592,102,18,220,247,1603,"MVP-10,AS,NBA2"
"13","onealje01",2004,"Jermaine O'Neal",25,"IND","PF",78,78,2788,608,1400,0.434,2,18,0.111,606,1382,0.438,0.435,348,460,0.757,193,585,778,164,59,199,181,248,1566,"MVP-3,AS,NBA2"
"14","bryanko01",2004,"Kobe Bryant",25,"LAL","SG",65,64,2447,516,1178,0.438,71,217,0.327,445,961,0.463,0.468,454,533,0.852,103,256,359,330,112,28,171,176,1557,"MVP-5,DPOY-10,AS,NBA1"
"15","duncati01",2004,"Tim Duncan",27,"SAS","PF",69,68,2527,592,1181,0.501,2,12,0.167,590,1169,0.505,0.502,352,588,0.599,227,632,859,213,62,185,183,164,1538,"MVP-2,DPOY-7,AS,NBA1"
