"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","bryanko01",2007,"Kobe Bryant",28,"LAL","SG",77,77,3140,813,1757,0.463,137,398,0.344,676,1359,0.497,0.502,667,768,0.868,75,364,439,413,111,36,255,205,2430,0,"MVP-3,DPOY-24,AS,NBA1,DEF1",0
"2","jamesle01",2007,"LeBron James",22,"CLE","SF",78,78,3190,772,1621,0.476,99,310,0.319,673,1311,0.513,0.507,489,701,0.698,83,443,526,470,125,55,250,171,2132,1,"MVP-5,AS,NBA2",0
"3","arenagi01",2007,"Gilbert Arenas",25,"WAS","PG",74,73,2942,647,1548,0.418,205,584,0.351,442,964,0.459,0.484,606,718,0.844,61,277,338,443,139,13,236,249,2105,0,"MVP-8,AS,NBA2",0
"4","cartevi01",2007,"Vince Carter",30,"NJN","SG",82,82,3126,726,1598,0.454,156,437,0.357,570,1161,0.491,0.503,462,576,0.802,114,378,492,393,82,30,217,266,2070,2,"AS",0
"5","nowitdi01",2007,"Dirk Nowitzki",28,"DAL","PF",78,78,2820,673,1341,0.502,72,173,0.416,601,1168,0.515,0.529,498,551,0.904,122,571,693,263,52,62,167,171,1916,0,"MVP-1,AS,NBA1",0
"6","anthoca01",2007,"Carmelo Anthony",22,"DEN","SF",65,65,2486,691,1453,0.476,40,149,0.268,651,1304,0.499,0.489,459,568,0.808,143,248,391,249,77,23,234,203,1881,1,"MVP-15,AS,NBA3",0
"7","gordobe01",2007,"Ben Gordon",23,"CHI","SG",82,51,2704,609,1338,0.455,155,375,0.413,454,963,0.471,0.513,380,440,0.864,35,223,258,296,64,17,249,252,1753,0,"",0
"8","mcgratr01",2007,"Tracy McGrady",27,"HOU","SG",71,71,2539,638,1480,0.431,126,381,0.331,512,1099,0.466,0.474,345,488,0.707,56,322,378,458,92,36,213,136,1747,0,"MVP-6,AS,NBA2",0
"9","iversal01",2007,"Allen Iverson",31,"2TM","SG",65,64,2761,581,1313,0.442,62,197,0.315,519,1116,0.465,0.466,485,610,0.795,23,170,193,468,123,13,268,95,1709,0,"AS",0
"10","garneke01",2007,"Kevin Garnett",30,"MIN","PF",76,76,2995,638,1341,0.476,12,56,0.214,626,1285,0.487,0.48,416,498,0.835,183,792,975,313,89,126,205,184,1704,3,"MVP-9,DPOY-13,AS,NBA3,DEF2",0
"11","stoudam01",2007,"Amar'e Stoudemire",24,"PHO","C",82,78,2689,607,1055,0.575,0,3,0,607,1052,0.577,0.575,457,585,0.781,222,564,786,84,78,110,232,295,1671,0,"MVP-14,AS,NBA1",0
"12","brandel01",2007,"Elton Brand",27,"LAC","PF",80,80,3077,645,1211,0.533,1,1,1,644,1210,0.532,0.533,351,461,0.761,268,476,744,235,77,179,202,238,1642,0,"",0
"13","martike02",2007,"Kevin Martin",23,"SAC","SG",80,80,2818,505,1067,0.473,127,333,0.381,378,734,0.515,0.533,481,570,0.844,69,273,342,173,98,11,135,181,1618,0,"",0
"14","randoza01",2007,"Zach Randolph",25,"POR","PF",68,67,2425,600,1286,0.467,14,48,0.292,586,1238,0.473,0.472,394,481,0.819,199,489,688,147,53,15,215,184,1608,0,"",0
"15","duncati01",2007,"Tim Duncan",30,"SAS","C",80,80,2726,618,1131,0.546,1,9,0.111,617,1122,0.55,0.547,362,568,0.637,213,633,846,273,66,190,224,203,1599,0,"MVP-4,DPOY-3,AS,NBA1,DEF1",0
"16","curryed01",2007,"Eddy Curry",24,"NYK","C",81,81,2849,585,1016,0.576,1,1,1,584,1015,0.575,0.576,405,659,0.615,195,376,571,68,34,40,295,265,1576,0,"",0
"17","boshch01",2007,"Chris Bosh",22,"TOR","C",69,69,2658,543,1094,0.496,12,35,0.343,531,1059,0.501,0.502,463,590,0.785,186,555,741,175,39,90,179,163,1561,0,"MVP-7,AS,NBA2",0
"18","boozeca01",2007,"Carlos Boozer",25,"UTA","PF",74,74,2557,647,1154,0.561,0,0,NA,647,1154,0.561,0.561,255,372,0.685,235,632,867,221,70,21,194,217,1549,0,"MVP-9,AS",0
"19","denglu01",2007,"Luol Deng",21,"CHI","SF",82,82,3071,630,1218,0.517,1,7,0.143,629,1211,0.519,0.518,279,359,0.777,148,431,579,204,97,48,153,167,1540,0,"DPOY-20",0
"20","hamilri01",2007,"Richard Hamilton",28,"DET","SG",75,75,2763,547,1170,0.468,44,129,0.341,503,1041,0.483,0.486,347,403,0.861,75,207,282,285,59,15,159,232,1485,0,"AS",0
"21","allenra02",2007,"Ray Allen",31,"SEA","SG",55,55,2219,505,1153,0.438,165,443,0.372,340,710,0.479,0.51,279,309,0.903,57,190,247,228,82,11,154,113,1454,0,"AS",0
"22","barbole01",2007,"Leandro Barbosa",24,"PHO","SG",80,18,2613,529,1111,0.476,190,438,0.434,339,673,0.504,0.562,196,232,0.845,22,192,214,317,96,15,146,210,1444,0,"6MOY-1",0
"23","howardw01",2007,"Dwight Howard",21,"ORL","C",82,82,3023,526,873,0.603,1,2,0.5,525,871,0.603,0.603,390,666,0.586,283,725,1008,158,70,156,317,245,1443,0,"DPOY-16,AS,NBA3",0
"24","parketo01",2007,"Tony Parker",24,"SAS","PG",77,77,2499,570,1096,0.52,15,38,0.395,555,1058,0.525,0.527,274,350,0.783,34,216,250,420,82,6,191,137,1429,0,"MVP-15,AS",0
"25","johnsjo02",2007,"Joe Johnson",25,"ATL","SG",57,57,2359,536,1139,0.471,119,312,0.381,417,827,0.504,0.523,235,314,0.748,53,186,239,249,60,11,176,115,1426,0,"AS",0
"26","reddmi01",2007,"Michael Redd",27,"MIL","SF",53,53,2036,477,1025,0.465,117,306,0.382,360,719,0.501,0.522,345,416,0.829,42,154,196,124,63,9,122,78,1416,0,"",0
"27","nashst01",2007,"Steve Nash",32,"PHO","PG",76,76,2682,517,971,0.532,156,343,0.455,361,628,0.575,0.613,222,247,0.899,30,239,269,884,57,6,287,117,1412,0,"MVP-2,AS,NBA1",0
"28","okurme01",2007,"Mehmet Okur",27,"UTA","C",80,80,2664,490,1061,0.462,129,336,0.384,361,725,0.498,0.523,296,387,0.765,160,419,579,156,36,38,125,257,1405,0,"AS",0
