"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","chambwi01",1965,"Wilt Chamberlain",28,"2TM","C",73,3301,1063,2083,0.51,408,880,0.464,1673,250,146,2534,0,"MVP-5,AS,NBA2",0
"2","westje01",1965,"Jerry West",26,"LAL","PG",74,3066,822,1655,0.497,648,789,0.821,447,364,221,2292,1,"MVP-3,AS,NBA1",0
"3","roberos01",1965,"Oscar Robertson",26,"CIN","PG",75,3421,807,1681,0.48,665,793,0.839,674,861,205,2279,22,"MVP-2,AS,NBA1",0
"4","jonessa01",1965,"Sam Jones",31,"BOS","SG",80,2885,821,1818,0.452,428,522,0.82,411,223,176,2070,0,"MVP-4,AS,NBA2",0
"5","bayloel01",1965,"Elgin Baylor",30,"LAL","SF",74,3056,763,1903,0.401,483,610,0.792,950,280,235,2009,0,"AS,NBA1",0
"6","bellawa01",1965,"Walt Bellamy",25,"BAL","C",80,3301,733,1441,0.509,515,752,0.685,1166,191,260,1981,0,"AS",0
"7","reedwi01",1965,"Willis Reed",22,"NYK","C",80,3042,629,1457,0.432,302,407,0.742,1175,133,339,1560,0,"ROY-1,AS",0
"8","howelba01",1965,"Bailey Howell",28,"BAL","PF",80,2975,515,1040,0.495,504,629,0.801,869,208,345,1534,0,"",0
"9","dischte01",1965,"Terry Dischinger",24,"DET","SG",80,2698,568,1153,0.493,320,424,0.755,479,198,253,1456,0,"AS",0
"10","ohldo01",1965,"Don Ohl",28,"BAL","SG",77,2821,568,1297,0.438,284,388,0.732,336,250,274,1420,0,"AS",0
"11","johnsgu01",1965,"Gus Johnson",26,"BAL","SF",76,2899,577,1379,0.418,261,386,0.676,988,270,258,1415,0,"AS,NBA2",0
"12","lucasje01",1965,"Jerry Lucas",24,"CIN","PF",66,2864,558,1121,0.498,298,366,0.814,1321,157,214,1414,0,"AS,NBA1",0
"13","greerha01",1965,"Hal Greer",28,"PHI","SG",70,2600,539,1245,0.433,335,413,0.811,355,313,254,1413,1,"AS,NBA2",0
"14","havlijo01",1965,"John Havlicek",24,"BOS","SG",75,2169,570,1420,0.401,235,316,0.744,371,199,200,1375,0,"",0
"15","beatyze01",1965,"Zelmo Beaty",25,"STL","C",80,2916,505,1047,0.482,341,477,0.715,966,111,328,1351,0,"",0
"16","debusda01",1965,"Dave DeBusschere",24,"DET","PF",79,2769,508,1196,0.425,306,437,0.7,874,253,242,1322,1,"",0
"17","wilkele01",1965,"Lenny Wilkens",27,"STL","PG",78,2854,434,1048,0.414,416,558,0.746,365,431,283,1284,0,"AS",0
"18","thurmna01",1965,"Nate Thurmond",23,"SFW","PF",77,3173,519,1240,0.419,235,357,0.658,1395,157,232,1273,0,"AS",0
"19","smithad01",1965,"Adrian Smith",28,"CIN","SG",80,2745,463,1016,0.456,284,342,0.83,220,240,199,1210,0,"",0
"20","barneji01",1965,"Jim Barnes",23,"NYK","PF",75,2586,454,1070,0.424,251,379,0.662,729,93,312,1159,0,"ROY-3",0
"21","twymaja01",1965,"Jack Twyman",30,"CIN","SF",80,2236,479,1081,0.443,198,239,0.828,383,137,239,1156,0,"",0
"22","rodgegu01",1965,"Guy Rodgers",29,"SFW","SG",79,2699,465,1225,0.38,223,325,0.686,323,565,256,1153,1,"",0
"23","boozebo01",1965,"Bob Boozer",27,"NYK","SF",80,2139,424,963,0.44,288,375,0.768,604,108,183,1136,0,"",0
"24","jackslu01",1965,"Luke Jackson",23,"PHI","PF",76,2590,419,1013,0.414,288,404,0.713,980,93,251,1126,0,"ROY-2,AS",0
"25","pettibo01",1965,"Bob Pettit",32,"STL","PF",50,1754,396,923,0.429,332,405,0.82,621,128,167,1124,0,"AS,NBA2",0
"26","russebi01",1965,"Bill Russell",30,"BOS","C",78,3466,429,980,0.438,244,426,0.573,1878,410,204,1102,2,"MVP-1,AS,NBA1",0
"27","larusru01",1965,"Rudy LaRusso",27,"LAL","PF",77,2588,381,827,0.461,321,415,0.773,725,198,258,1083,0,"",0
"28","milesed01",1965,"Eddie Miles",24,"DET","PG",76,2074,439,994,0.442,166,223,0.744,258,157,201,1044,0,"",0
"29","walkech01",1965,"Chet Walker",24,"PHI","SF",79,2187,377,936,0.403,288,388,0.742,528,132,200,1042,0,"",0
"30","loughke01",1965,"Kevin Loughery",24,"BAL","PG",80,2417,406,957,0.424,212,281,0.754,235,296,320,1024,0,"",0
"31","scottra01",1965,"Ray Scott",26,"DET","PF",66,2167,402,1092,0.368,220,314,0.701,634,239,209,1024,0,"",0
"32","barnedi01",1965,"Dick Barnett",28,"LAL","SG",74,2026,375,908,0.413,270,338,0.799,200,159,209,1020,0,"",0
"33","gambeda01",1965,"Dave Gambee",27,"PHI","SF",80,1993,356,864,0.412,299,368,0.813,468,113,277,1011,0,"",0
"34","hagancl01",1965,"Cliff Hagan",33,"STL","SF",77,1739,393,901,0.436,214,268,0.799,276,136,182,1000,0,"",0
"35","meschto01",1965,"Tom Meschery",26,"SFW","SF",79,2408,361,917,0.394,278,370,0.751,655,106,279,1000,0,"",0
"36","komivho01",1965,"Howard Komives",23,"NYK","PG",80,2378,381,1020,0.374,212,254,0.835,195,265,246,974,0,"ROY-4",0
"37","neumapa01",1965,"Paul Neumann",27,"2TM","PG",76,2034,365,772,0.473,234,303,0.772,198,233,218,964,0,"",0
"38","embrywa01",1965,"Wayne Embry",27,"CIN","C",74,2243,352,772,0.456,239,371,0.644,741,92,297,943,0,"AS",0
"39","sandeto01",1965,"Tom Sanders",26,"BOS","PF",80,2459,374,871,0.429,193,259,0.745,661,92,318,941,0,"",0
"40","hardire01",1965,"Reggie Harding",22,"DET","C",78,2699,405,987,0.41,128,209,0.612,906,179,258,938,0,"",0
"41","heinsto01",1965,"Tom Heinsohn",30,"BOS","SF",67,1706,365,954,0.383,182,229,0.795,399,157,252,912,0,"AS",0
"42","bridgbi01",1965,"Bill Bridges",25,"STL","PF",79,2362,362,938,0.386,186,275,0.676,853,187,276,910,0,"",0
"43","vaughch01",1965,"Chico Vaughn",24,"STL","SG",75,1965,344,811,0.424,182,242,0.752,173,157,192,870,0,"",0
"44","costela01",1965,"Larry Costello",33,"PHI","PG",64,1967,309,695,0.445,243,277,0.877,169,275,242,861,0,"AS",0
