"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","johnsne01",1953,"Neil Johnston",23,"PHW","C",70,3166,504,1114,0.452,504,1114,0.452,0.452,556,794,0.7,976,197,248,1564,"AS,NBA1"
"2","mikange01",1953,"George Mikan",28,"MNL","C",70,2651,500,1252,0.399,500,1252,0.399,0.399,442,567,0.78,1007,201,290,1442,"AS,NBA1"
"3","cousybo01",1953,"Bob Cousy",24,"BOS","PG",71,2945,464,1320,0.352,464,1320,0.352,0.352,479,587,0.816,449,547,227,1407,"AS,NBA1"
"4","macaued01",1953,"Ed Macauley",24,"BOS","C",69,2902,451,997,0.452,451,997,0.452,0.452,500,667,0.75,629,280,188,1402,"AS,NBA1"
"5","schaydo01",1953,"Dolph Schayes",24,"SYR","PF",71,2668,375,1002,0.374,375,1002,0.374,0.374,512,619,0.827,920,227,271,1262,"AS,NBA1"
"6","sharmbi01",1953,"Bill Sharman",26,"BOS","SG",71,2333,403,925,0.436,403,925,0.436,0.436,341,401,0.85,288,191,240,1147,"AS,NBA2"
"7","nichoja01",1953,"Jack Nichols",26,"MLH","PF",69,2626,425,1170,0.363,425,1170,0.363,0.363,240,339,0.708,533,196,237,1090,""
"8","mikkeve01",1953,"Vern Mikkelsen",24,"MNL","PF",70,2465,378,868,0.435,378,868,0.435,0.435,291,387,0.752,654,148,289,1047,"AS,NBA2"
"9","daviebo01",1953,"Bob Davies",33,"ROC","PG",66,2216,339,880,0.385,339,880,0.385,0.385,351,466,0.753,195,280,261,1029,"AS,NBA2"
"10","wanzebo01",1953,"Bobby Wanzer",31,"ROC","SG",70,2577,318,866,0.367,318,866,0.367,0.367,384,473,0.812,351,252,206,1020,"AS,NBA2"
"11","braunca01",1953,"Carl Braun",25,"NYK","SG",70,2316,323,807,0.4,323,807,0.4,0.4,331,401,0.825,233,243,287,977,"AS"
"12","barnhle01",1953,"Leo Barnhorst",28,"INO","SF",71,2871,402,1034,0.389,402,1034,0.389,0.389,163,259,0.629,483,277,245,967,"AS"
"13","foustla01",1953,"Larry Foust",24,"FTW","C",67,2303,311,865,0.36,311,865,0.36,0.36,336,465,0.723,769,151,267,958,"AS"
"14","seymopa01",1953,"Paul Seymour",25,"SYR","SG",67,2684,306,798,0.383,306,798,0.383,0.383,340,416,0.817,246,294,210,952,"AS"
"15","barksdo01",1953,"Don Barksdale",29,"BLB","PF",65,2298,321,829,0.387,321,829,0.387,0.387,257,401,0.641,597,166,273,899,"AS"
"16","grabojo01",1953,"Joe Graboski",23,"INO","C",69,2769,272,799,0.34,272,799,0.34,0.34,350,513,0.682,687,156,303,894,""
"17","risenar01",1953,"Arnie Risen",28,"ROC","C",68,2288,295,802,0.368,295,802,0.368,0.368,294,429,0.685,745,135,274,884,"AS"
"18","gallaha01",1953,"Harry Gallatin",25,"NYK","PF",70,2333,282,635,0.444,282,635,0.444,0.444,301,430,0.7,916,126,224,865,"AS"
"19","pollaji01",1953,"Jim Pollard",30,"MNL","SF",66,2403,333,933,0.357,333,933,0.357,0.357,193,251,0.769,452,231,194,859,""
"20","fulksjo01",1953,"Joe Fulks",31,"PHW","PF",70,2085,332,960,0.346,332,960,0.346,0.346,168,231,0.727,387,138,319,832,""
"21","hutchme01",1953,"Mel Hutchins",24,"MLH","C",71,2891,319,842,0.379,319,842,0.379,0.379,193,295,0.654,793,227,214,831,"AS"
"22","scolafr01",1953,"Fred Scolari",30,"2TM","PG",62,2123,277,809,0.342,277,809,0.342,0.342,276,327,0.844,209,233,212,830,"AS"
"23","kingge01",1953,"George King",24,"SYR","PG",71,2519,255,635,0.402,255,635,0.402,0.402,284,442,0.643,281,364,244,794,""
"24","rochare01",1953,"Red Rocha",29,"SYR","C",69,2454,268,690,0.388,268,690,0.388,0.388,234,310,0.755,510,137,257,770,""
"25","colemja01",1953,"Jack Coleman",28,"ROC","PF",70,2625,314,748,0.42,314,748,0.42,0.42,135,208,0.649,774,231,245,763,""
"26","toshebi01",1953,"Bill Tosheff",26,"INO","PG",67,2459,253,783,0.323,253,783,0.323,0.323,253,314,0.806,229,243,243,759,""
"27","cliftna01",1953,"Nat Clifton",30,"NYK","PF",70,2496,272,794,0.343,272,794,0.343,0.343,200,343,0.583,761,231,274,744,""
"28","martisl01",1953,"Slater Martin",27,"MNL","PG",70,2556,260,634,0.41,260,634,0.41,0.41,224,287,0.78,186,250,246,744,"AS"
"29","milleed01",1953,"Eddie Miller",21,"2TM","C",70,2018,273,781,0.35,273,781,0.35,0.35,187,287,0.652,669,115,250,733,""
"30","vandeer01",1953,"Ernie Vandeweghe",24,"NYK","SG",61,1745,272,625,0.435,272,625,0.435,0.435,187,244,0.766,342,144,242,731,""
"31","simmoco01",1953,"Connie Simmons",27,"NYK","C",65,1707,240,637,0.377,240,637,0.377,0.377,249,340,0.732,458,127,252,729,""
"32","brianfr01",1953,"Frankie Brian",29,"FTW","SG",68,1910,245,699,0.351,245,699,0.351,0.351,236,297,0.795,133,142,205,726,""
"33","meinemo01",1953,"Monk Meineke",22,"FTW","PF",68,2250,240,630,0.381,240,630,0.381,0.381,245,313,0.783,466,148,334,725,"ROY-1"
"34","schaufr01",1953,"Fred Schaus",27,"FTW","SF",69,2541,240,719,0.334,240,719,0.334,0.334,243,296,0.821,413,245,261,723,""
"35","phillan01",1953,"Andy Phillip",30,"2TM","SG",70,2690,250,629,0.397,250,629,0.397,0.397,222,301,0.738,364,397,229,722,"AS,NBA2"
"36","walthpa01",1953,"Paul Walther",25,"INO","SG",67,2468,227,645,0.352,227,645,0.352,0.352,264,354,0.746,284,205,260,718,""
"37","hoffmpa01",1953,"Paul Hoffman",27,"BLB","SG",69,1955,240,656,0.366,240,656,0.366,0.366,224,342,0.655,317,237,282,704,""
"38","ratkoge01",1953,"George Ratkovicz",30,"2TM","PF",71,2235,208,619,0.336,208,619,0.336,0.336,262,373,0.702,522,217,287,678,""
"39","borylvi01",1953,"Vince Boryla",25,"NYK","SF",66,2200,254,686,0.37,254,686,0.37,0.37,165,201,0.821,233,166,226,673,""
"40","baechji01",1953,"Jim Baechtold",25,"BLB","SF",64,1893,242,621,0.39,242,621,0.39,0.39,177,240,0.738,219,154,203,661,""
"41","gaborbi01",1953,"Bill Gabor",30,"SYR","SG",69,1337,215,614,0.35,215,614,0.35,0.35,217,284,0.764,104,134,262,647,"AS"
"42","lavoybo01",1953,"Bob Lavoy",26,"INO","PF",70,2327,225,560,0.402,225,560,0.402,0.402,168,242,0.694,528,130,274,618,""
"43","eddledi01",1953,"Dike Eddleman",30,"FTW","SF",69,1571,241,687,0.351,241,687,0.351,0.351,133,237,0.561,236,104,220,615,""
"44","spearod01",1953,"Odie Spears",28,"ROC","SF",62,1414,198,494,0.401,198,494,0.401,0.401,199,243,0.819,251,113,227,595,""
"45","johnsar01",1953,"Arnie Johnson",32,"ROC","SF",70,1984,140,369,0.379,140,369,0.379,0.379,303,405,0.748,419,153,282,583,""
"46","henrido01",1953,"Don Henriksen",23,"BLB","C",68,2263,199,475,0.419,199,475,0.419,0.419,176,281,0.626,506,129,242,574,""
"47","calhobi01",1953,"Bill Calhoun",25,"2TM","SF",62,2148,180,534,0.337,180,534,0.337,0.337,211,292,0.723,277,156,136,571,""
"48","lumppra01",1953,"Ray Lumpp",29,"2TM","PG",55,1422,188,506,0.372,188,506,0.372,0.372,153,206,0.743,141,168,178,529,""
"49","harribo01",1953,"Bob Harris",25,"BOS","SF",70,1971,192,459,0.418,192,459,0.418,0.418,133,226,0.588,485,95,238,517,""
"50","saulpe01",1953,"Pep Saul",28,"MNL","SG",70,1796,187,471,0.397,187,471,0.397,0.397,142,200,0.71,141,110,174,516,""
"51","miasest01",1953,"Stan Miasek",29,"2TM","SF",65,1584,178,488,0.365,178,488,0.365,0.365,156,248,0.629,360,122,229,512,""
"52","mcmahja01",1953,"Jack McMahon",24,"ROC","PG",70,1665,176,534,0.33,176,534,0.33,0.33,155,236,0.657,183,186,253,507,""
