"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","duranke01",2011,"Kevin Durant",22,"OKC","SF",78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,0.509,594,675,0.88,57,476,533,214,88,76,218,159,2161,0,"MVP-5,AS,NBA1",0
"2","jamesle01",2011,"LeBron James",26,"MIA","SF",79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111,4,"MVP-3,DPOY-9,AS,NBA1,DEF1",0
"3","bryanko01",2011,"Kobe Bryant",32,"LAL","SG",82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,1,"MVP-4,DPOY-11,AS,NBA1,DEF1",0
"4","rosede01",2011,"Derrick Rose",22,"CHI","PG",81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,1,"MVP-1,AS,NBA1",0
"5","stoudam01",2011,"Amar'e Stoudemire",28,"NYK","C",78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971,0,"MVP-9,AS,NBA2",0
"6","anthoca01",2011,"Carmelo Anthony",26,"2TM","SF",77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,0,"AS",0
"7","wadedw01",2011,"Dwyane Wade",29,"MIA","SG",76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,0.523,494,652,0.758,123,362,485,346,111,87,237,197,1941,1,"MVP-7,DPOY-16,AS,NBA2",0
"8","ellismo01",2011,"Monta Ellis",25,"GSW","SG",80,80,3227,726,1611,0.451,137,379,0.361,589,1232,0.478,0.493,340,431,0.789,44,237,281,450,168,23,252,203,1929,0,"",0
"9","martike02",2011,"Kevin Martin",27,"HOU","SG",80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467,0.506,594,669,0.888,28,230,258,198,80,15,184,155,1876,0,"",0
"10","griffbl01",2011,"Blake Griffin",21,"LAC","PF",82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.51,0.508,446,695,0.642,270,719,989,312,63,45,223,252,1845,2,"MVP-10,ROY-1,AS",0
"11","westbru01",2011,"Russell Westbrook",22,"OKC","PG",82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,0.454,531,631,0.842,121,258,379,670,155,30,316,207,1793,3,"AS,NBA2",0
"12","howardw01",2011,"Dwight Howard",25,"ORL","C",78,78,2935,619,1044,0.593,0,7,0,619,1037,0.597,0.593,546,916,0.596,309,789,1098,107,107,186,279,258,1784,0,"MVP-2,DPOY-1,AS,NBA1,DEF1",0
"13","aldrila01",2011,"LaMarcus Aldridge",25,"POR","PF",81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,0,"NBA3",0
"14","nowitdi01",2011,"Dirk Nowitzki",32,"DAL","PF",73,73,2504,610,1179,0.517,66,168,0.393,544,1011,0.538,0.545,395,443,0.892,50,463,513,190,38,47,137,172,1681,0,"MVP-6,AS,NBA2",0
"15","lopezbr01",2011,"Brook Lopez",22,"NJN","C",82,82,2889,644,1309,0.492,0,1,0,644,1308,0.492,0.492,385,489,0.787,197,291,488,129,47,120,176,240,1673,0,"",0
"16","grangda01",2011,"Danny Granger",27,"IND","SF",79,79,2763,535,1260,0.425,157,407,0.386,378,853,0.443,0.487,395,466,0.848,87,338,425,203,89,62,206,213,1622,0,"",0
"17","gasolpa01",2011,"Pau Gasol",30,"LAL","C",82,82,3037,593,1120,0.529,1,3,0.333,592,1117,0.53,0.53,354,430,0.823,268,568,836,273,48,130,142,203,1541,1,"AS,NBA2",0
