"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"65","komivho01",1967,"Howard Komives","PG","25","NYK","65","63","2282","402","995",".404","","","","402","995",".404",".404","217","253",".858","","","183","401","","","","213","1021"
"66","kronto01",1967,"Tommy Kron","SG","23","STL","32","","221","27","87",".310","","","","27","87",".310",".310","13","19",".684","","","36","46","","","","35","67"
"67","larusru01",1967,"Rudy LaRusso","PF","29","LAL","45","","1292","211","509",".415","","","","211","509",".415",".415","156","224",".696","","","351","78","","","","149","578"
"68","leecl01",1967,"Clyde Lee","C","22","SFW","74","","1247","205","503",".408","","","","205","503",".408",".408","105","166",".633","","","551","77","","","","168","515"
"69","leege01",1967,"George Lee","F-G","30","SFW","1","","5","3","4",".750","","","","3","4",".750",".750","6","7",".857","","","0","0","","","","0","12"
"70","lewisfr02",1967,"Freddie Lewis","PG","23","CIN","32","","334","60","153",".392","","","","60","153",".392",".392","29","41",".707","","","44","40","","","","49","149"
"71","loughke01",1967,"Kevin Loughery","SG","26","BAL","76","","2577","520","1306",".398","","","","520","1306",".398",".398","340","412",".825","","","349","288","","","","294","1380"
"72","lovebo01",1967,"Bob Love","PF","24","CIN","66","","1074","173","403",".429","","","","173","403",".429",".429","93","147",".633","","","257","49","","","","153","439"
"73","lucasje01",1967,"Jerry Lucas*","PF","26","CIN","81","","3558","577","1257",".459","","","","577","1257",".459",".459","284","359",".791","","","1547","268","","","","280","1438"
"74","marinja01",1967,"Jack Marin","SF","22","BAL","74","","1323","283","632",".448","","","","283","632",".448",".448","145","187",".775","","","313","75","","","","199","711"
"75","mcglojo01",1967,"Jon McGlocklin","SF","23","CIN","60","","1194","217","493",".440","","","","217","493",".440",".440","74","104",".712","","","164","93","","","","84","508"
"76","mclemmc01",1967,"McCoy McLemore","SF","24","CHI","79","","1382","258","670",".385","","","","258","670",".385",".385","210","272",".772","","","374","62","","","","189","726"
"77","melchbi01",1967,"Bill Melchionni","PG","22","PHI","73","","692","138","353",".391","","","","138","353",".391",".391","39","60",".650","","","98","98","","","","73","315"
"78","meschto01",1967,"Tom Meschery","PF","28","SFW","72","","1846","293","706",".415","","","","293","706",".415",".415","175","244",".717","","","549","94","","","","264","761"
"79","milesed01",1967,"Eddie Miles","SG","26","DET","81","","2419","582","1363",".427","","","","582","1363",".427",".427","261","338",".772","","","298","181","","","","216","1425"
"80","moliswa01",1967,"Wayne Molis","C","23","NYK","13","0","75","19","51",".373","","","","19","51",".373",".373","7","13",".538","","","22","2","","","","9","45"
"81","mueller01",1967,"Erwin Mueller","C","22","CHI","80","","2136","422","957",".441","","","","422","957",".441",".441","171","260",".658","","","497","131","","","","223","1015"
"82","mullije01",1967,"Jeff Mullins","SG","24","SFW","77","","1835","421","919",".458","","","","421","919",".458",".458","150","214",".701","","","388","226","","","","195","992"
"83","murredo01",1967,"Dorie Murrey","PF","23","DET","35","","311","33","82",".402","","","","33","82",".402",".402","32","54",".593","","","102","12","","","","57","98"
"84","nelsodo01",1967,"Don Nelson*","SF","26","BOS","79","","1202","227","509",".446","","","","227","509",".446",".446","141","190",".742","","","295","65","","","","143","595"
"85","neumapa01",1967,"Paul Neumann","PG","29","SFW","78","","2421","386","911",".424","","","","386","911",".424",".424","312","390",".800","","","272","342","","","","266","1084"
"86","ohldo01",1967,"Don Ohl","SG","30","BAL","58","","2024","452","1002",".451","","","","452","1002",".451",".451","276","354",".780","","","189","168","","","","153","1180"
"87","olsenbu01",1967,"Bud Olsen","PF","26","SFW","40","","348","75","167",".449","","","","75","167",".449",".449","23","58",".397","","","103","32","","","","51","173"
"88","reedro01",1967,"Ron Reed","PF","24","DET","62","","1248","223","600",".372","","","","223","600",".372",".372","79","133",".594","","","423","81","","","","145","525"
"89","reedwi01",1967,"Willis Reed*","PF","24","NYK","78","76","2824","635","1298",".489","","","","635","1298",".489",".489","358","487",".735","","","1136","126","","","","293","1628"
"90","roberos01",1967,"Oscar Robertson*","PG","28","CIN","79","","3468","838","1699",".493","","","","838","1699",".493",".493","736","843",".873","","","486","845","","","","226","2412"
"91","robinfl01",1967,"Flynn Robinson","PG","25","CIN","76","","1140","274","599",".457","","","","274","599",".457",".457","120","154",".779","","","133","110","","","","197","668"
"92","rodgegu01",1967,"Guy Rodgers*","PG","31","CHI","81","","3063","538","1377",".391","","","","538","1377",".391",".391","383","475",".806","","","346","908","","","","243","1459"
"93","russebi01",1967,"Bill Russell*","C","32","BOS","81","","3297","395","870",".454","","","","395","870",".454",".454","285","467",".610","","","1700","472","","","","258","1075"
"94","russeca01",1967,"Cazzie Russell","SF","22","NYK","77","25","1696","344","789",".436","","","","344","789",".436",".436","179","228",".785","","","251","187","","","","174","867"
"95","sandeto01",1967,"Tom Sanders*","SF","28","BOS","81","","1926","323","755",".428","","","","323","755",".428",".428","178","218",".817","","","439","91","","","","304","824"
"96","schelda01",1967,"Dave Schellhase","PG","22","CHI","31","","212","40","111",".360","","","","40","111",".360",".360","14","22",".636","","","29","23","","","","27","94"
"97","scottra01",1967,"Ray Scott","C-PF","28","TOT","72","","2446","458","1144",".400","","","","458","1144",".400",".400","256","366",".699","","","760","160","","","","215","1172"
"98","siegfla01",1967,"Larry Siegfried","PG","27","BOS","73","","1891","368","833",".442","","","","368","833",".442",".442","294","347",".847","","","228","250","","","","207","1030"
"99","silaspa01",1967,"Paul Silas","PF","23","STL","77","","1570","207","482",".429","","","","207","482",".429",".429","113","213",".531","","","669","74","","","","208","527"
"100","sloanje01",1967,"Jerry Sloan*","SG","24","CHI","80","","2942","525","1214",".432","","","","525","1214",".432",".432","340","427",".796","","","726","170","","","","293","1390"
"101","smithad01",1967,"Adrian Smith","SG","30","CIN","81","","2636","502","1147",".438","","","","502","1147",".438",".438","343","380",".903","","","205","187","","","","272","1347"
"102","snydedi01",1967,"Dick Snyder","SG","22","STL","55","","676","144","333",".432","","","","144","333",".432",".432","46","61",".754","","","91","59","","","","82","334"
"103","stallda01",1967,"Dave Stallworth","SF","25","NYK","76","8","1889","380","816",".466","","","","380","816",".466",".466","229","320",".716","","","472","144","","","","226","989"
"104","strawjo01",1967,"Joe Strawder","C","26","DET","79","","2156","281","660",".426","","","","281","660",".426",".426","188","262",".718","","","791","82","","","","344","750"
