"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","yardlge01",1958,"George Yardley",29,"DET","SF",72,2843,673,1624,0.414,673,1624,0.414,0.414,655,808,0.811,768,97,226,2001,"MVP-3,AS,NBA1"
"2","schaydo01",1958,"Dolph Schayes",29,"SYR","PF",72,2918,581,1458,0.398,581,1458,0.398,0.398,629,696,0.904,1022,224,244,1791,"MVP-2,AS,NBA1"
"3","pettibo01",1958,"Bob Pettit",25,"STL","PF",70,2528,581,1418,0.41,581,1418,0.41,0.41,557,744,0.749,1216,157,222,1719,"MVP-4,AS,NBA1"
"4","lovelcl01",1958,"Clyde Lovellette",28,"CIN","C",71,2589,679,1540,0.441,679,1540,0.441,0.441,301,405,0.743,862,134,236,1659,"MVP-12"
"5","arizipa01",1958,"Paul Arizin",29,"PHW","SF",68,2377,483,1229,0.393,483,1229,0.393,0.393,440,544,0.809,503,135,235,1406,"MVP-8,AS"
"6","sharmbi01",1958,"Bill Sharman",31,"BOS","SG",63,2214,550,1297,0.424,550,1297,0.424,0.424,302,338,0.893,295,167,156,1402,"MVP-7,AS,NBA1"
"7","hagancl01",1958,"Cliff Hagan",26,"STL","SF",70,2190,503,1135,0.443,503,1135,0.443,0.443,385,501,0.768,707,175,267,1391,"MVP-11,AS,NBA2"
"8","johnsne01",1958,"Neil Johnston",28,"PHW","C",71,2408,473,1102,0.429,473,1102,0.429,0.429,442,540,0.819,790,166,233,1388,"MVP-12,AS"
"9","searske01",1958,"Kenny Sears",24,"NYK","PF",72,2685,445,1014,0.439,445,1014,0.439,0.439,452,550,0.822,785,126,251,1342,"MVP-12,AS"
"10","mikkeve01",1958,"Vern Mikkelsen",29,"MNL","PF",72,2390,439,1070,0.41,439,1070,0.41,0.41,370,471,0.786,805,166,299,1248,"MVP-10"
"11","twymaja01",1958,"Jack Twyman",23,"CIN","SF",72,2178,465,1028,0.452,465,1028,0.452,0.452,307,396,0.775,464,110,224,1237,"AS"
"12","heinsto01",1958,"Tom Heinsohn",23,"BOS","PF",69,2206,468,1226,0.382,468,1226,0.382,0.382,294,394,0.746,705,125,274,1230,""
"13","naullwi01",1958,"Willie Naulls",23,"NYK","SF",68,2369,472,1189,0.397,472,1189,0.397,0.397,284,344,0.826,799,97,220,1228,"AS"
"14","foustla01",1958,"Larry Foust",29,"MNL","C",72,2200,391,982,0.398,391,982,0.398,0.398,428,566,0.756,876,108,299,1210,"AS"
"15","braunca01",1958,"Carl Braun",30,"NYK","PG",71,2475,426,1018,0.418,426,1018,0.418,0.418,321,378,0.849,330,393,183,1173,""
"16","cousybo01",1958,"Bob Cousy",29,"BOS","PG",65,2222,445,1262,0.353,445,1262,0.353,0.353,277,326,0.85,322,463,136,1167,"MVP-6,AS,NBA1"
"17","russebi01",1958,"Bill Russell",23,"BOS","C",69,2640,456,1032,0.442,456,1032,0.442,0.442,230,443,0.519,1564,202,181,1142,"MVP-1,AS,NBA2"
"18","ramsefr01",1958,"Frank Ramsey",26,"BOS","SG",69,2047,377,900,0.419,377,900,0.419,0.419,383,472,0.811,504,167,245,1137,""
"19","garmadi01",1958,"Dick Garmaker",25,"MNL","SG",68,2216,390,988,0.395,390,988,0.395,0.395,314,411,0.764,365,183,190,1094,"AS"
