"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"155","jonesni01",1972,"Nick Jones",26,"GSW","SG",65,478,82,196,0.418,82,196,0.418,0.418,51,61,0.836,39,45,109,215,""
"156","pattest01",1972,"Steve Patterson",23,"CLE","C",65,775,94,263,0.357,94,263,0.357,0.357,23,46,0.5,228,54,80,211,""
"157","zellega01",1972,"Gary Zeller",24,"BAL","SG",28,471,83,229,0.362,83,229,0.362,0.362,22,35,0.629,65,30,62,188,""
"158","henryal01",1972,"Al Henry",22,"PHI","C",43,421,68,156,0.436,68,156,0.436,0.436,51,73,0.699,137,8,42,187,""
"159","smithwi01",1972,"William Smith",22,"POR","C",22,448,72,173,0.416,72,173,0.416,0.416,38,64,0.594,135,19,73,182,""
"160","turnebi01",1972,"Bill Turner",27,"GSW","PF",62,597,71,181,0.392,71,181,0.392,0.392,40,53,0.755,131,22,67,182,""
"161","mueller01",1972,"Erwin Mueller",27,"DET","PF",42,605,68,197,0.345,68,197,0.345,0.345,43,74,0.581,147,57,64,179,""
"162","chambje01",1972,"Jerry Chambers",28,"BUF","SF",26,369,78,180,0.433,78,180,0.433,0.433,22,32,0.688,67,23,39,178,""
"163","chrisbo01",1972,"Bob Christian",25,"ATL","C",56,485,66,142,0.465,66,142,0.465,0.465,44,61,0.721,181,28,77,176,""
"164","cunnidi01",1972,"Dick Cunningham",25,"HOU","C",63,720,67,174,0.385,67,174,0.385,0.385,37,53,0.698,243,57,76,171,""
"165","mcgregi01",1972,"Gil McGregor",22,"CIN","PF",42,532,66,182,0.363,66,182,0.363,0.363,39,56,0.696,148,18,120,171,""
"166","vallejo01",1972,"John Vallely",23,"2TM","SG",49,366,69,171,0.404,69,171,0.404,0.404,30,45,0.667,32,37,50,168,""
"167","wilsois01",1972,"Isaiah Wilson",23,"DET","SG",48,322,63,177,0.356,63,177,0.356,0.356,41,56,0.732,47,41,32,167,""
"168","marlaha01",1972,"Harvey Marlatt",23,"DET","SG",31,506,60,149,0.403,60,149,0.403,0.403,36,42,0.857,62,60,64,156,""
"169","hallije01",1972,"Jeff Halliburton",22,"ATL","SG",37,288,61,133,0.459,61,133,0.459,0.459,25,30,0.833,37,20,50,147,""
"170","reedwi01",1972,"Willis Reed",29,"NYK","C",11,363,60,137,0.438,60,137,0.438,0.438,27,39,0.692,96,22,30,147,""
"171","brownfr01",1972,"Fred Brown",23,"SEA","SG",33,359,59,180,0.328,59,180,0.328,0.328,22,29,0.759,37,60,44,140,""
"172","howargr01",1972,"Greg Howard",24,"CLE","PF",48,426,50,131,0.382,50,131,0.382,0.382,39,51,0.765,108,27,50,139,""
"173","mcintke01",1972,"Kenny McIntosh",23,"CHI","SF",43,405,57,168,0.339,57,168,0.339,0.339,21,44,0.477,89,18,41,135,""
"174","imhofda01",1972,"Darrall Imhoff",33,"2TM","C",49,480,52,132,0.394,52,132,0.394,0.394,24,43,0.558,134,52,98,128,""
"175","marshji01",1972,"Jim Marsh",25,"POR","SF",39,375,39,117,0.333,39,117,0.333,0.333,41,59,0.695,84,30,50,119,""
"176","payneto01",1972,"Tom Payne",21,"ATL","C",29,227,45,103,0.437,45,103,0.437,0.437,29,46,0.63,69,15,40,119,""
"177","siegfla01",1972,"Larry Siegfried",32,"2TM","PG",31,558,43,123,0.35,43,123,0.35,0.35,32,37,0.865,42,72,53,118,""
"178","mcdanji01",1972,"Jim McDaniels",23,"SEA","C",12,235,51,123,0.415,51,123,0.415,0.415,11,18,0.611,82,9,26,113,"AS"
"179","scottch01",1972,"Charlie Scott",23,"PHO","PG",6,177,48,113,0.425,48,113,0.425,0.425,17,21,0.81,23,26,19,113,"AS"
