"","G","Date","Year","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PlusMinus","Player","Hex","X2P","X2PA","laPTSperM","laTRBperM","laDRBperM","laORBperM","laASTperM","laSTLperM","laBLKperM","laTOVperM","laPTSperMake","laPTSperPoss","laORBrate","laDRBrate","la3P.","la2P.","laFT.","X3PAdd","X2PAdd","FTAdd","valueAdd"
"67",67,2010-03-17,"2010","CLE",38.7166666666667,11,24,2,4,8,10,1,8,9,9,3,2,6,2,32,25.8,14,"LeBron James","#860038",9,20,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,0.581686163775716,-0.836858160609339,0.41134869238286,31.2704351395517
"68",68,2010-03-19,"2010","CLE",37.5166666666667,9,21,0,3,11,12,1,10,11,7,2,2,5,1,29,24.1,5,"LeBron James","#860038",9,18,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-1.06373537716821,0.146827655451594,1.89361843085943,26.2999569035069
"69",69,2010-03-21,"2010","CLE",30.8,5,9,2,3,3,3,0,3,3,7,0,1,0,0,15,17.2,17,"LeBron James","#860038",3,6,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,0.936264622831787,0.0489425518171981,0.723404607714858,12.5923985470182
"70",70,2010-03-24,"2010","CLE",40.75,15,22,1,5,7,8,2,4,6,9,1,0,3,2,38,34.3,9,"LeBron James","#860038",14,17,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-0.772892295280355,5.63867056348206,0.929078953906288,42.2728047987383
"71",71,2010-03-26,"2010","CLE",39.3,11,21,1,6,4,7,0,5,5,10,2,0,5,2,27,20.2,-5,"LeBron James","#860038",10,15,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-1.12747075433643,2.62235637954299,-1.312055915332,23.0006182277679
"72",72,2010-03-28,"2010","CLE",39.0833333333333,13,22,3,6,5,6,1,6,7,8,3,0,3,2,34,30.7,8,"LeBron James","#860038",10,16,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,0.872529245663574,2.13051347151253,0.446809215429716,35.7251207246541
"73",73,2010-03-31,"2010","CLE",39.0833333333333,7,17,0,1,9,13,1,8,9,7,1,1,4,2,23,17.2,10,"LeBron James","#860038",7,16,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-0.354578459056071,-0.869486528487472,-0.865246699902283,19.3267333598658
"74",74,2010-04-02,"2010","CLE",38.3666666666667,11,20,1,3,4,7,0,13,13,6,2,0,2,1,27,23.9,11,"LeBron James","#860038",10,17,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-0.063735377168213,1.63867056348206,-1.312055915332,25.1995825986408
"75",75,2010-04-04,"2010","CLE",44.5333333333333,14,31,0,9,14,22,1,6,7,9,1,1,3,0,42,30.2,-1,"LeBron James","#860038",14,22,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-3.19120613150464,3.17945602332973,-2.69503287675771,46.4622795557345
"76",76,2010-04-06,"2010","CLE",35.5666666666667,5,13,0,2,9,10,0,6,6,13,0,1,4,1,19,18.7,19,"LeBron James","#860038",5,11,0.41563780470574,0.172646961857536,0.127306949612116,0.0453400122454197,0.0879012561647615,0.0298717595053389,0.0200956084695244,0.0561068984773964,2.17062439340019,0.939201070042344,0.262616913484022,0.737383086515978,0.354578459056071,0.491842908030467,0.758865130761714,-0.709156918112142,-0.410271988335137,1.41134869238286,18.5485386264655
