"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd"
"49","1949-1950","Vern Gardner (gardnve01)",24,"PHW","SG",2,15,44,0.341,15,44,0.341,NA,6,9,0.667,NA,2,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0471994117526933,0,-0.419068018911087,-0.3246691954057,NA
"50","1949-1950","Cliff Barker (barkecl01)",29,"INO","SG",6,12,31,0.387,12,31,0.387,NA,10,15,0.667,NA,13,10,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45925413100758,0,-0.698446698185144,2.22006156383001,NA
"51","1949-1950","Paul Walther (walthpa01)",22,"INO","SG",6,12,41,0.293,12,41,0.293,NA,9,19,0.474,NA,8,17,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92401872995772,0,-4.55169915103452,-8.39973661094996,NA
"52","1949-1950","Bob Carpenter (carpebo01)",32,"FTW","",4,11,30,0.367,11,30,0.367,NA,10,14,0.714,NA,2,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812181417104108,0,0.00611641502719751,1.63047924923541,NA
"53","1949-1950","Chips Sobek (sobekch01)",29,"SHE","",3,10,20,0.5,10,20,0.5,NA,12,16,0.75,NA,3,15,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20145427806941,0,0.582990188602512,6.98589874474132,NA
"54","1949-1950","Ernie Vandeweghe (vandeer01)",21,"NYK","",4,9,26,0.346,9,26,0.346,NA,14,16,0.875,NA,3,16,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157890561490227,0,2.58299018860251,2.89877131158296,NA
"55","1949-1950","Andrew Levane (levanan01)",29,"SYR","",9,13,37,0.351,13,37,0.351,NA,5,5,1,NA,13,11,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409690414428399,0,1.43218443393828,2.25156526279508,NA
"56","1949-1950","Mike Todorovich (todormi01)",26,"TRI","",3,6,31,0.194,6,31,0.194,NA,19,24,0.792,NA,8,14,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.52374586899242,0,1.88248528290377,-7.16500645508107,NA
"57","1949-1950","Bob Harris (harribo01)",22,"FTW","",4,9,32,0.281,9,32,0.281,NA,12,20,0.6,NA,11,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88567315508895,0,-2.27126226424686,-6.04260857442476,NA
"58","1949-1950","Clint Wager (wagercl01)",30,"FTW","",4,11,25,0.44,11,25,0.44,NA,8,10,0.8,NA,8,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50181784758676,0,0.86436886787657,5.86800456305008,NA
"59","1949-1950","Ralph Johnson (johnsra01)",28,"FTW","PG",4,8,32,0.25,8,32,0.25,NA,12,16,0.75,NA,8,13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87767315508895,0,0.582990188602512,-5.17235612157539,NA
"60","1949-1950","Richie Niemiera (niemiri01)",28,"AND","",8,11,27,0.407,11,27,0.407,NA,6,8,0.75,NA,8,10,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8109632753937,0,0.291495094301256,3.91342164508865,NA
"61","1949-1950","Bobby Wanzer (wanzebo01)",28,"ROC","",2,8,17,0.471,8,17,0.471,NA,11,13,0.846,NA,4,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22823613635899,0,1.72167952823954,6.17815180095753,NA
"62","1949-1950","Chink Crossin (crossch01)",26,"PHW","",2,9,27,0.333,9,27,0.333,NA,8,9,0.889,NA,4,3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.187036724606302,0,1.57893198108891,1.20485853187631,NA
"63","1949-1950","Ed Mikan (mikaned01)",24,"ROC","C",2,8,24,0.333,8,24,0.333,NA,10,11,0.909,NA,2,8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166254866316713,0,2.14980575466423,1.8172960220308,NA
"64","1949-1950","Frank Gates (gatesfr01)",29,"AND","",7,9,37,0.243,9,37,0.243,NA,7,10,0.7,NA,9,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5863095855716,0,-0.13563113212343,-7.30825030326663,NA
