"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd"
"3661","1986-1987","Vern Fleming (flemive01)",24,"IND","PG",4,13,36,0.361,13,35,0.371,0.361,23,30,0.767,26,24,15,49,"",4,141,0,1,0,9,17,4,1,10,-4.19134328928721,-0.301929625425653,0.110145137880988,-9.17833031697038,-17.6522531885008
"3662","1986-1987","Blair Rasmussen (rasmubl01)",24,"DEN","C",3,22,45,0.489,22,45,0.489,0.489,5,10,0.5,23,7,12,49,"",3,92,0,0,NA,8,15,2,2,5,-0.0788699433692655,0,-2.63328495403967,-2.7910248407782,4.06628011981664
"3663","1986-1987","Herb Williams (willihe01)",28,"IND","PF",4,20,34,0.588,20,34,0.588,0.588,7,13,0.538,20,7,12,47,"",4,134,0,0,NA,3,17,0,1,11,3.306409376121,0,-2.92927044025157,3.68354831199043,-27.9894076896206
"3664","1986-1987","Fat Lever (leverfa01)",26,"DEN","PG",3,19,50,0.38,17,42,0.405,0.4,6,9,0.667,18,22,7,46,"",3,99,2,8,0.25,5,13,7,0,2,-3.60161194714465,-0.415437003405221,-0.866956458635703,-9.31649136314066,9.11493691373657
"3665","1986-1987","Jeff Malone (malonje01)",25,"WSB","SG",3,17,46,0.37,17,46,0.37,0.37,11,11,1,7,9,8,45,"",3,105,0,0,NA,1,6,1,0,11,-5.55462260877747,0,2.60338655055636,-8.50585866699858,-26.3944546017272
"3666","1986-1987","John Long (longjo01)",30,"IND","SG",4,16,52,0.308,15,46,0.326,0.317,11,13,0.846,6,9,16,44,"",4,109,1,6,0.167,2,4,6,0,5,-7.57862260877747,-0.809577752553916,1.07472955974843,-16.5112489154683,-27.7857661401105
"3667","1986-1987","Rod Higgins (higgiro01)",27,"GSW","SF",10,18,46,0.391,17,45,0.378,0.402,6,9,0.667,21,12,20,43,"",8,177,1,1,1,5,16,11,6,2,-5.07386994336926,0.698070374574347,-0.866956458635703,-8.92048522165119,-43.9067935143856
"3668","1986-1987","David Wingate (wingada01)",23,"PHI","SG",5,15,37,0.405,13,35,0.371,0.432,9,14,0.643,12,9,11,41,"",0,90,2,2,1,5,7,5,1,9,-4.19134328928721,1.39614074914869,-1.68459893565554,-5.87886326678387,-9.56059370305376
"3669","1986-1987","Randy Breuer (breuera01)",26,"MIL","C",12,16,33,0.485,16,33,0.485,0.485,8,12,0.667,31,4,32,40,"",2,156,0,0,NA,9,22,7,9,4,-0.189837958470795,0,-1.1559419448476,-1.53561786178919,-33.9839267285841
"3670","1986-1987","Tree Rollins (rollitr01)",31,"ATL","C",9,15,28,0.536,15,28,0.536,0.536,10,14,0.714,53,3,33,40,"",9,221,0,0,NA,19,34,3,16,7,1.26692536857024,0,-0.69059893565554,1.84325180148493,-64.3972253132819
"3671","1986-1987","Steve Harris (harrist01)",23,"HOU","SG",9,16,43,0.372,16,42,0.381,0.372,5,6,0.833,7,5,15,37,"",0,91,0,1,0,3,4,3,0,3,-4.60961194714465,-0.301929625425653,0.418029027576197,-9.70698374299005,-21.160044897885
"3672","1986-1987","Jim Paxson (paxsoji02)",29,"POR","SG",4,13,32,0.406,13,30,0.433,0.406,8,9,0.889,9,13,8,34,"",0,94,0,2,0,4,5,5,0,4,-1.73257996224618,-0.603859250851305,1.1310435413643,-4.14569413568197,-10.4923903172668
"3673","1986-1987","Brad Davis (davisbr01)",31,"DAL","PG",4,13,23,0.565,13,21,0.619,0.565,7,9,0.778,9,17,4,33,"",0,75,0,2,0,2,7,0,0,6,2.69319402642768,-0.603859250851305,0.132043541364297,3.70685384166573,5.20474359467463
"3674","1986-1987","Kelly Tripucka (tripuke01)",27,"UTA","SF",5,14,20,0.7,14,17,0.824,0.7,4,4,1,7,3,6,32,"",5,70,0,3,0,1,6,4,0,7,5.6652046880605,-0.905788876276958,0.946686018384132,9.55972876567426,0.767113613888953
"3675","1986-1987","Gene Banks (banksge01)",27,"CHI","SF",3,13,22,0.591,13,22,0.591,0.591,5,8,0.625,8,2,13,31,"",3,79,0,0,NA,3,5,0,0,2,2.20544136101947,0,-1.10662796323174,3.3042547588072,-11.2665402510505
"3676","1986-1987","Maurice Martin (martima01)",22,"DEN","SF",3,12,29,0.414,12,28,0.429,0.414,7,12,0.583,9,10,12,31,"",0,54,0,1,0,4,5,0,1,5,-1.72907463142977,-0.301929625425653,-2.16394194484761,-6.52788008398409,1.05519173677487
"3677","1986-1987","Russ Schoene (schoeru01)",26,"SEA","PF",14,10,28,0.357,8,22,0.364,0.393,9,12,0.75,26,3,16,31,"",0,123,2,6,0.333,6,20,1,4,2,-2.78855863898053,0.186422247446084,-0.159941944847605,-5.17779248047041,-36.3013445941655
"3678","1986-1987","Detlef Schrempf (schrede01)",24,"DAL","SF",4,13,35,0.371,13,32,0.406,0.371,5,11,0.455,12,6,13,31,"",0,97,0,3,0,4,8,3,2,6,-2.71208529306259,-0.905788876276958,-3.39161344944364,-11.5331506643997,-31.3948572138276
"3679","1986-1987","Spud Webb (webbsp01)",23,"ATL","PG",8,9,19,0.474,9,18,0.5,0.474,13,17,0.765,8,38,10,31,"",1,122,0,1,0,1,7,6,0,18,0.166452022652294,-0.301929625425653,0.0284155781325599,-0.54446925283981,-15.0458962264266
"3680","1986-1987","Danny Schayes (schayda01)",27,"DEN","C",3,12,17,0.706,12,17,0.706,0.706,6,9,0.667,17,2,10,30,"",0,75,0,0,NA,6,11,1,2,3,3.6592046880605,0,-0.866956458635703,6.45145291748529,-1.7333068209648
"3681","1986-1987","Jay Vincent (vinceja01)",27,"WSB","SF",3,11,30,0.367,11,30,0.367,0.367,8,9,0.889,9,3,10,30,"",0,72,0,0,NA,2,7,2,0,4,-3.71257996224618,0,1.1310435413643,-6.29411638312806,-16.4938955075312
"3682","1986-1987","Bill Walton (waltobi01)",34,"BOS","C",12,12,25,0.48,12,25,0.48,0.48,5,14,0.357,31,10,23,29,"",0,102,0,0,NA,9,22,3,4,8,-0.268816635205148,0,-5.68859893565554,-6.22623220606584,-20.3945002124268
"3683","1986-1987","Cliff Levingston (levincl01)",26,"ATL","PF",9,7,18,0.389,7,17,0.412,0.389,14,18,0.778,34,3,21,28,"",0,108,0,1,0,12,22,0,3,4,-1.3387953119395,-0.301929625425653,0.264087082728593,-3.31929241742737,-27.1952292896084
"3684","1986-1987","Wes Matthews (matthwe01)",27,"LAL","PG",12,11,23,0.478,11,22,0.5,0.478,6,7,0.857,4,9,9,28,"",0,61,0,1,0,0,4,1,0,13,0.20344136101947,-0.301929625425653,0.65570053217223,0.156794377934213,-10.4265748656057
"3685","1986-1987","Tim McCormick (mccorti01)",24,"PHI","C",5,12,24,0.5,12,24,0.5,0.5,4,4,1,31,6,19,28,"",5,121,0,0,NA,7,24,1,2,7,0.221936030203059,0,0.946686018384132,1.39055807879025,-32.4174219695633
"3686","1986-1987","Paul Mokeski (mokespa01)",30,"MIL","C",12,8,22,0.364,8,21,0.381,0.364,12,15,0.8,29,2,22,28,"",0,107,0,1,0,12,17,3,2,5,-2.30480597357232,-0.301929625425653,0.550072568940494,-4.96532825448111,-29.5427613970961
"3687","1986-1987","Andrew Toney (toneyan01)",29,"PHI","SG",5,13,34,0.382,13,31,0.419,0.382,2,2,1,9,27,16,28,"",0,104,0,3,0,2,7,2,2,16,-2.22433262765438,-0.905788876276958,0.473343009192066,-6.69268887494757,-24.1852905971721
"3688","1986-1987","Dave Corzine (corzida01)",30,"CHI","C",3,10,22,0.455,10,22,0.455,0.455,7,9,0.778,21,7,6,27,"",3,122,0,0,NA,7,14,1,3,7,-0.786558638980529,0,0.132043541364297,-1.44107373659676,-38.3042124689301
"3689","1986-1987","Rickey Green (greenri01)",32,"UTA","PG",4,11,23,0.478,11,22,0.5,0.478,5,6,0.833,8,25,5,27,"",3,72,0,1,0,1,7,2,0,7,0.20344136101947,-0.301929625425653,0.418029027576197,-0.0808771266618198,5.72464418170576
"3690","1986-1987","Mike McGee (mcgeemi01)",27,"ATL","SF",8,10,39,0.256,8,25,0.32,0.282,5,10,0.5,20,15,7,27,"",0,101,2,14,0.143,9,11,4,0,4,-4.26881663520515,-2.22501475595914,-2.63328495403967,-17.8459624923274,-29.5327892744891
"3691","1986-1987","John Paxson (paxsojo01)",26,"CHI","PG",3,11,22,0.5,8,15,0.533,0.568,1,1,1,3,11,9,26,"",3,87,3,7,0.429,0,3,2,0,5,0.633710018876912,0.889492622020431,0.236671504596033,4.17256940841115,-14.5888566983374
"3692","1986-1987","Darrell Walker (walkeda01)",25,"DEN","PG",3,11,34,0.324,11,34,0.324,0.324,4,7,0.571,10,5,4,26,"",3,68,0,0,NA,3,7,2,0,4,-5.669590623879,0,-1.34629946782777,-12.6854807155858,-21.751353401232
"3693","1986-1987","Bill Hanzlik (hanzlbi01)",29,"DEN","PF",3,8,25,0.32,8,23,0.348,0.32,9,15,0.6,6,7,6,25,"",2,76,0,2,0,0,6,4,0,3,-3.28331130438874,-0.603859250851305,-2.44992743105951,-10.8281277923909,-23.2234171922861
"3694","1986-1987","Perry Moss (mosspe01)",28,"GSW","PG",8,8,14,0.571,7,13,0.538,0.607,8,9,0.889,5,5,5,25,"",0,45,1,1,1,2,3,6,0,3,0.614215349693324,0.698070374574347,1.1310435413643,4.45368536447399,11.4479491347668
"3695","1986-1987","Jerome Kersey (kerseje01)",24,"POR","SF",4,10,25,0.4,10,25,0.4,0.4,4,4,1,19,3,13,24,"",0,60,0,0,NA,6,13,5,1,6,-2.26881663520515,0,0.946686018384132,-3.59094725202616,-6.51055642299209
"3696","1986-1987","Carey Scurry (scurrca01)",24,"UTA","SF",4,10,22,0.455,9,20,0.45,0.477,3,7,0.429,14,0,10,24,"",0,57,1,2,0.5,7,7,4,5,2,-0.815053308164118,0.396140749148695,-2.34029946782777,-2.78198383670992,-2.90792062238714
"3697","1986-1987","Conner Henry (henryco01)",23,"BOS","SG",11,8,16,0.5,7,11,0.636,0.531,5,10,0.5,6,0,3,22,"",0,35,1,5,0.2,3,3,0,0,4,1.59772068050974,-0.509648127128263,-2.63328495403967,-0.96678797440499,-1.65407266145026
"3698","1986-1987","Jerome Whitehead (whiteje01)",30,"GSW","C",10,9,27,0.333,9,27,0.333,0.333,4,10,0.4,14,3,22,22,"",0,100,0,0,NA,5,9,2,2,1,-4.25932196602156,0,-3.63328495403967,-12.1519288860828,-41.3384198788838
"3699","1986-1987","Mark Alarie (alarima01)",23,"DEN","PF",3,9,15,0.6,9,15,0.6,0.6,2,2,1,5,1,9,20,"",0,41,0,0,NA,0,5,2,2,4,1.63871001887691,0,0.473343009192066,3.75076304694589,0.185676566990207
"3700","1986-1987","Jon Koncak (koncajo01)",23,"ATL","C",8,7,13,0.538,7,13,0.538,0.538,6,8,0.75,25,3,24,20,"",0,86,0,0,NA,5,20,3,4,0,0.614215349693324,0,-0.106627963231737,1.12180273615491,-14.927526053682
"3701","1986-1987","Sedale Threatt (threase01)",25,"CHI","PG",3,8,17,0.471,8,17,0.471,0.471,4,4,1,5,16,11,20,"",0,70,0,0,NA,2,3,1,0,2,-0.335795311939501,0,0.946686018384132,0.275095394505131,-5.7670909185213
"3702","1986-1987","John Williams (willijo02)",20,"WSB","SF",3,8,14,0.571,8,13,0.615,0.571,4,7,0.571,11,2,3,20,"",0,49,0,1,0,4,7,2,0,2,1.61521534969332,-0.301929625425653,-1.34629946782777,0.978342355281919,-2.87200896164755
"3703","1986-1987","Michael Adams (adamsmi01)",24,"WSB","PG",3,8,25,0.32,6,16,0.375,0.36,1,3,0.333,7,10,6,19,"",1,82,2,9,0.222,0,7,7,0,5,-1.85204264653129,-0.719366628830874,-1.2909854862119,-7.15317066576711,-25.0048445616419
"3704","1986-1987","Mike Evans (evansmi01)",31,"DEN","SG",3,7,19,0.368,5,12,0.417,0.421,2,2,1,7,8,6,18,"",0,57,2,7,0.286,2,5,3,0,3,-0.885031984898471,-0.111507377979569,0.473343009192066,-1.63124309454358,-8.19249252742389
"3705","1986-1987","Sidney Green (greensi02)",26,"DET","PF",9,6,10,0.6,6,10,0.6,0.6,5,6,0.833,9,1,2,17,"",0,42,0,0,NA,3,6,1,2,3,1.09247334591794,0,0.418029027576197,2.60297571941208,-2.44137675128906
"3706","1986-1987","Greg Kite (kitegr01)",25,"BOS","C",20,7,20,0.35,7,20,0.35,0.35,3,7,0.429,46,8,43,17,"",1,172,0,0,NA,15,31,2,8,7,-2.81505330816412,0,-2.34029946782777,-7.97040608415601,-70.8327079766349
"3707","1986-1987","James Donaldson (donalja01)",29,"DAL","C",3,4,5,0.8,4,5,0.8,0.8,8,9,0.889,17,2,6,16,"",3,68,0,0,NA,2,15,1,3,2,1.54623667295897,0,1.1310435413643,4.22351688728224,-13.3006365427332
"3708","1986-1987","Clint Richardson (richacl01)",30,"IND","SG",4,7,12,0.583,7,11,0.636,0.583,2,4,0.5,10,8,12,16,"",0,73,0,1,0,3,7,0,0,5,1.59772068050974,-0.301929625425653,-1.05331398161587,1.23633850312664,-20.64372482399
"3709","1986-1987","Caldwell Jones (jonesca01)",36,"POR","PF",4,5,12,0.417,5,12,0.417,0.417,5,6,0.833,31,6,15,15,"",4,129,0,0,NA,9,22,0,6,5,-0.885031984898471,0,0.418029027576197,-1.35203494222074,-49.15688569035
"3710","1986-1987","Brad Sellers (sellebr01)",24,"CHI","PF",3,6,19,0.316,6,19,0.316,0.316,3,3,1,7,3,8,15,"",0,68,0,0,NA,2,5,0,1,1,-3.32030064275591,0,0.710014513788099,-5.93058677172373,-27.7244043603599
"3711","1986-1987","Bill Wennington (wennibi01)",23,"DAL","C",4,6,12,0.5,6,12,0.5,0.5,3,5,0.6,10,4,9,15,"",0,47,0,0,NA,4,6,0,3,3,0.110968015101529,0,-0.816642477019835,-0.594706446816777,-7.39216049863416
"3712","1986-1987","Adrian Branch (brancad01)",23,"LAL","SF",11,4,21,0.19,4,20,0.2,0.19,6,12,0.5,10,5,10,14,"",0,42,0,1,0,3,7,2,0,5,-5.81505330816412,-0.301929625425653,-3.1599419448476,-15.6958374374528,-21.508915169183
"3713","1986-1987","Darwin Cook (cookda01)",28,"WSB","SG",3,6,24,0.25,5,22,0.227,0.271,1,2,0.5,7,3,4,14,"",0,41,1,2,0.5,4,3,4,0,0,-5.80255863898053,0.396140749148695,-0.526656990807934,-10.9433520213229,-12.3523860144122
"3714","1986-1987","Kevin Duckworth (duckwke01)",22,"POR","C",4,6,12,0.5,6,12,0.5,0.5,2,5,0.4,8,1,14,14,"",0,53,0,0,NA,3,5,4,1,6,0.110968015101529,0,-1.81664247701984,-1.59470644681678,-17.3990991556604
"3715","1986-1987","Dirk Minniefield (minnidi01)",26,"HOU","PG",8,4,8,0.5,4,7,0.571,0.5,6,6,1,2,2,8,14,"",0,27,0,1,0,2,0,1,0,4,0.561731342142558,-0.301929625425653,1.4200290275762,1.63770283558436,-0.65241640489587
"3716","1986-1987","Billy Thompson (thompbi01)",23,"LAL","SF",3,6,11,0.545,6,11,0.545,0.545,2,2,1,6,2,2,14,"",0,27,0,0,NA,3,3,4,0,0,0.596720680509736,0,0.473343009192066,1.66678437021154,7.33621445812149
"3717","1986-1987","Wayne Cooper (coopewa01)",30,"DEN","C",3,5,12,0.417,5,12,0.417,0.417,2,2,1,17,2,9,12,"",1,41,0,0,NA,6,11,0,1,1,-0.885031984898471,0,0.473343009192066,-1.29672096060488,-6.02832252849572
"3718","1986-1987","Chris Washburn (washbch01)",21,"GSW","C",5,3,7,0.429,3,7,0.429,0.429,5,6,0.833,1,2,2,11,"",0,29,0,0,NA,0,1,0,0,4,-0.432268657857441,0,0.418029027576197,-0.446508288138685,-8.81703855937267
"3719","1986-1987","Marc Iavaroni (iavarma01)",30,"UTA","PF",5,4,10,0.4,4,10,0.4,0.4,2,3,0.667,13,4,7,10,"",0,47,0,0,NA,8,5,0,3,6,-0.907526654082059,0,-0.288985486211901,-2.10403879437602,-14.5142489868662
"3720","1986-1987","Otis Smith (smithot01)",23,"DEN","SG",3,2,6,0.333,2,6,0.333,0.333,6,9,0.667,5,4,1,10,"",0,19,0,0,NA,1,4,0,2,4,-0.946515992449235,0,-0.866956458635703,-2.75998844353417,-1.12179956438118
"3721","1986-1987","Dudley Bradley (bradldu01)",29,"MIL","SG",12,4,11,0.364,4,5,0.8,0.364,1,2,0.5,0,2,9,9,"",0,46,0,6,0,0,0,3,0,1,1.54623667295897,-1.81157775255392,-0.526656990807934,-2.86891690255174,-18.608821332
"3722","1986-1987","Tony Campbell (campbto01)",24,"DET","SF",4,3,6,0.5,2,5,0.4,0.583,2,2,1,5,0,1,9,"",0,13,1,1,1,0,5,0,0,0,-0.453763327041029,0.698070374574347,0.473343009192066,1.66002747883305,4.10557940874554
"3723","1986-1987","Manute Bol (bolma01)",24,"WSB","C",3,4,10,0.4,4,9,0.444,0.4,0,2,0,9,0,6,8,"",0,43,0,1,0,5,4,0,5,0,-0.420773988673853,-0.301929625425653,-1.52665699080793,-3.2739938444326,-14.6721460324449
"3724","1986-1987","Frank Johnson (johnsfr01)",28,"WSB","PG",3,2,7,0.286,2,7,0.286,0.286,4,4,1,2,5,3,8,"",0,28,0,0,NA,2,0,1,0,4,-1.43326865785744,0,0.946686018384132,-1.91985129733075,-7.78112750727819
"3725","1986-1987","Kurt Nimphius (nimphku01)",28,"DET","PF",4,3,9,0.333,3,9,0.333,0.333,2,4,0.5,10,0,10,8,"",0,30,0,0,NA,5,5,0,2,3,-1.41977398867385,0,-1.05331398161587,-3.89286195896357,-11.4908284597379
"3726","1986-1987","Mike Smrek (smrekmi01)",24,"LAL","C",10,2,10,0.2,2,10,0.2,0.2,4,6,0.667,7,0,15,8,"",0,33,0,0,NA,3,4,0,6,1,-2.90752665408206,0,-0.577970972423802,-6.39302428058792,-13.1020358117345
"3727","1986-1987","Elston Turner (turneel01)",27,"CHI","SF",3,4,5,0.8,4,5,0.8,0.8,0,0,NA,2,1,3,8,"",0,25,0,0,NA,1,1,2,0,0,1.54623667295897,0,0,3.09247334591794,-0.68464284142402
"3728","1986-1987","Scott Hastings (hastisc01)",26,"ATL","PF",4,2,3,0.667,2,3,0.667,0.667,2,2,1,6,0,5,6,"",0,21,0,0,NA,1,5,1,1,0,0.528742003775382,0,0.473343009192066,1.53082701674283,-1.85666667502012
"3729","1986-1987","Charles Jones (jonesch01)",29,"WSB","PF",3,3,5,0.6,3,5,0.6,0.6,0,0,NA,8,3,9,6,"",3,56,0,0,NA,1,7,2,5,1,0.54623667295897,0,0,1.09247334591794,-17.9520178909037
"3730","1986-1987","Ennis Whatley (whatlen01)",24,"WSB","PG",2,3,12,0.25,3,12,0.25,0.25,0,0,NA,3,6,2,6,"",2,32,0,0,NA,1,2,2,0,8,-2.88903198489847,0,0,-5.77806396979694,-17.865137597223
"3731","1986-1987","Richard Anderson (anderri01)",26,"HOU","PF",5,1,3,0.333,0,1,0,0.5,2,2,1,1,0,1,5,"",0,5,1,2,0.5,1,0,0,0,1,-0.490752665408206,0.396140749148695,0.473343009192066,0.680259925821738,2.26418879768669
"3732","1986-1987","Ron Anderson (anderro01)",28,"IND","SF",4,2,4,0.5,2,4,0.5,0.5,0,0,NA,3,0,2,4,"",0,24,0,0,NA,2,1,0,0,0,0.0369893383671764,0,0,0.0739786767343529,-9.32272124199135
"3733","1986-1987","Buck Johnson (johnsbu01)",23,"HOU","SF",5,2,6,0.333,2,6,0.333,0.333,0,0,NA,0,0,1,4,"",0,10,0,0,NA,0,0,0,0,2,-0.946515992449235,0,0,-1.89303198489847,-5.94949023673203
"3734","1986-1987","Kyle Macy (macyky01)",29,"IND","PG",4,2,6,0.333,2,5,0.4,0.333,0,1,0,3,5,7,4,"",0,49,0,1,0,0,3,1,0,3,-0.453763327041029,-0.301929625425653,-0.763328495403967,-2.57664402576298,-24.8865029878276
"3735","1986-1987","Chuck Nevitt (nevitch01)",27,"DET","C",3,1,5,0.2,1,5,0.2,0.2,2,2,1,6,0,1,4,"",0,10,0,0,NA,1,5,0,3,3,-1.45376332704103,0,0.473343009192066,-2.43418364488999,-3.42925376492383
"3736","1986-1987","Uwe Blab (blabuw01)",24,"DAL","C",1,1,1,1,1,1,1,1,1,4,0.25,3,0,4,3,"",0,10,0,0,NA,1,2,1,1,2,0.509247334591794,0,-2.05331398161587,-1.03481931243228,-3.33611796707975
"3737","1986-1987","Jerry Reynolds (reynoje01)",24,"MIL","SF",4,1,3,0.333,1,2,0.5,0.333,1,2,0.5,1,2,0,3,"",0,5,0,1,0,1,0,3,0,0,0.0184946691835882,-0.301929625425653,-0.526656990807934,-1.39545652871772,3.89589283888674
"3738","1986-1987","Steve Colter (coltest01)",24,"PHI","PG",2,1,2,0.5,1,2,0.5,0.5,0,0,NA,0,2,1,2,"",0,8,0,0,NA,0,0,0,0,0,0.0184946691835882,0,0,0.0369893383671764,-0.904884445109039
"3739","1986-1987","T.R. Dunn (dunntr01)",31,"DEN","SG",3,1,4,0.25,1,4,0.25,0.25,0,0,NA,3,2,3,2,"",0,22,0,0,NA,1,2,1,1,1,-0.963010661632824,0,0,-1.92602132326565,-9.7386813038111
"3740","1986-1987","Dave Feitl (feitlda01)",24,"HOU","C",6,0,0,NA,0,0,NA,NA,2,2,1,1,0,0,2,"",0,8,0,0,NA,0,1,0,0,0,0,0,0.473343009192066,0.473343009192066,-2.19617660582856
"3741","1986-1987","Stuart Gray (grayst01)",23,"IND","C",3,0,1,0,0,1,0,0,2,4,0.5,7,0,3,2,"",0,14,0,0,NA,2,5,0,0,0,-0.490752665408206,0,-1.05331398161587,-2.03481931243228,-5.98691990566062
"3742","1986-1987","Michael Holton (holtomi01)",25,"POR","PG",2,1,2,0.5,1,2,0.5,0.5,0,0,NA,1,0,1,2,"",0,9,0,0,NA,0,1,0,0,0,0.0184946691835882,0,0,0.0369893383671764,-3.25449879535774
"3743","1986-1987","Curtis Kitchen (kitchcu01)",23,"SEA","PF",8,1,2,0.5,1,2,0.5,0.5,0,4,0,6,0,7,2,"",0,23,0,0,NA,2,4,0,2,0,0.0184946691835882,0,-3.05331398161587,-3.01632464324869,-11.6480544438657
"3744","1986-1987","Ben McDonald (mcdonbe01)",24,"GSW","PF",5,1,11,0.091,1,9,0.111,0.091,0,0,NA,6,9,7,2,"",0,45,0,2,0,2,4,2,0,0,-3.41777398867385,-0.603859250851305,0,-8.64712572990162,-21.1972712250744
"3745","1986-1987","Mark McNamara (mcnamma01)",27,"PHI","C",1,1,1,1,1,1,1,1,0,0,NA,1,0,0,2,"",0,2,0,0,NA,0,1,0,0,0,0.509247334591794,0,0,1.01849466918359,2.08078616638866
"3746","1986-1987","Dennis Nutt (nuttde01)",23,"DAL","PG",1,1,5,0.2,1,3,0.333,0.2,0,0,NA,2,1,0,2,"",0,10,0,2,0,1,1,0,0,1,-0.473257996224618,-0.603859250851305,0,-2.75809374500315,-5.96084174896696
"3747","1986-1987","Kent Benson (bensoke01)",32,"UTA","C",2,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,"",0,3,0,0,NA,0,0,0,0,1,0,0,0,0,-2.78429208850821
"3748","1986-1987","Mike Brown (brownmi01)",23,"CHI","C",1,0,1,0,0,1,0,0,0,0,NA,0,0,1,0,"",0,3,0,0,NA,0,0,1,0,1,-0.490752665408206,0,0,-0.981505330816412,-2.84741088692926
"3749","1986-1987","Dell Curry (curryde01)",22,"UTA","SG",2,0,3,0,0,2,0,0,0,0,NA,0,0,1,0,"",0,4,0,1,0,0,0,0,0,0,-0.981505330816412,-0.301929625425653,0,-2.86879953790978,-5.35667361272691
"3750","1986-1987","Jerome Henderson (hendeje01)",27,"MIL","PF",1,0,0,NA,0,0,NA,NA,0,0,NA,0,0,1,0,"",0,1,0,0,NA,0,0,0,0,0,0,0,0,0,-0.621968518704283
"3751","1986-1987","Fernando Martín (martife01)",24,"POR","C",1,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,"",0,1,0,0,NA,0,0,0,0,0,-0.490752665408206,0,0,-0.981505330816412,-1.60347384952069
"3752","1986-1987","Pete Myers (myerspe01)",23,"CHI","SG",1,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,"",0,1,0,0,NA,0,0,0,0,0,-0.490752665408206,0,0,-0.981505330816412,-1.60347384952069
"3753","1986-1987","Danny Vranes (vraneda01)",28,"PHI","SF",2,0,0,NA,0,0,NA,NA,0,0,NA,3,0,1,0,"",0,3,0,0,NA,0,3,0,0,0,0,0,0,0,-0.947219952271948
"3754","1986-1987","Granville Waiters (waitegr01)",26,"CHI","C",2,0,0,NA,0,0,NA,NA,0,0,NA,1,0,1,0,"",0,8,0,0,NA,0,1,0,1,0,0,0,0,0,-4.0573616172389
"3755","1987-1988","James Worthy (worthja01)",26,"LAL","SF",24,204,390,0.523,203,381,0.533,0.524,97,128,0.758,139,106,58,506,"Finals MVP-1",24,896,1,9,0.111,53,86,33,19,55,16.2964178228863,-1.84493734287372,-1.10675060532688,25.9512730118246,141.849555592391
"3756","1987-1988","Isiah Thomas (thomais01)",26,"DET","PG",23,183,419,0.437,170,375,0.453,0.452,125,151,0.828,107,201,71,504,"",23,911,13,44,0.295,26,81,66,8,85,-13.9602186782615,-0.923693676271514,9.26438014527844,-21.4271382400591,157.915938780447
"3757","1987-1988","Magic Johnson (johnsma02)",28,"LAL","PG",24,169,329,0.514,162,315,0.514,0.524,132,155,0.852,130,303,61,477,"",24,965,7,14,0.5,32,98,34,4,83,7.48841631026035,2.57609746664088,13.229794188862,35.9349192093053,237.998835251569
"3758","1987-1988","Byron Scott (scottby01)",26,"LAL","SG",24,178,357,0.499,154,302,0.51,0.532,90,104,0.865,100,60,65,470,"",24,897,24,55,0.436,26,74,34,5,47,5.97137055777342,6.60038290466061,10.2287651331719,41.9726549627006,53.7487027867591
"3759","1987-1988","Adrian Dantley (dantlad01)",32,"DET","SF",23,153,292,0.524,153,290,0.528,0.524,140,178,0.787,107,46,50,446,"",23,804,0,2,0,37,70,19,1,51,10.9540975554778,-0.63198607619416,3.62292493946731,23.6351618218404,39.723260112652
"3760","1987-1988","Kevin McHale (mchalke01)",30,"BOS","PF",17,158,262,0.603,157,261,0.602,0.605,115,137,0.839,136,40,65,432,"",17,716,1,1,1,55,81,7,30,39,29.17268779993,0.68400696190292,9.91243099273607,70.3098274783048,152.41982955271
"3761","1987-1988","Larry Bird (birdla01)",31,"BOS","SF",17,152,338,0.45,140,306,0.458,0.467,101,113,0.894,150,115,45,417,"",17,763,12,32,0.375,29,121,36,14,49,-9.86153844146137,1.88822278089344,14.3909467312349,0.332538190992459,118.690944400958
"3762","1987-1988","Dominique Wilkins (wilkido01)",28,"ATL","SF",12,137,300,0.457,133,282,0.472,0.463,96,125,0.768,77,34,24,374,"",12,473,4,18,0.222,37,40,16,6,30,-5.14008444605265,-1.69187468574744,0.16918886198547,-15.1866040873621,129.765247273353
"3763","1987-1988","Mark Aguirre (aguirma01)",28,"DAL","SF",17,147,294,0.5,134,260,0.515,0.522,60,86,0.698,100,56,49,367,"",17,558,13,34,0.382,34,66,14,9,41,6.4409150497387,2.24423670469929,-5.903598062954,13.7109421506213,117.971371379853
"3764","1987-1988","Michael Jordan (jordami01)",24,"CHI","SG",10,138,260,0.531,137,257,0.533,0.533,86,99,0.869,71,47,38,363,"",10,427,1,3,0.333,23,48,24,11,39,10.9925967991648,0.0510208857087605,10.1329975786925,32.2712538341484,203.556319982175
