"","Year","laPTSperMake","laPTSperPoss","laORBrate","laDRBrate","la3P.","la2P.","laFT.","laFG.","laPTSperM","laTRBperM","laDRBperM","laORBperM","laASTperM","laSTLperM","laBLKperM","laTOVperM"
"33","1981-1982",2.0137726577728,0.909129496350653,0.330938174726627,0.669061825273373,0.261004202610042,0.496340460526316,0.745499876224493,0.490252401851672,0.396388459664423,0.173829108611717,0.106944392707105,0.0601986196664854,0.0823802940806837,0.0308906704865764,0.0133299162822484,0.0689089881288864
"34","1982-1983",2.01245717481996,0.890032286099144,0.333299139454038,0.666700860545962,0.238722644037517,0.491608801331918,0.740354030011681,0.485205896155738,0.395078574050319,0.183310860495292,0.114033496154558,0.0607701455826927,0.0833333333333333,0.0308747702902817,0.0127748185283827,0.0716870455835407
"35","1983-1984",2.01438556475198,0.916883865947687,0.330029473013416,0.669970526986584,0.252978554408261,0.498193565325586,0.760218162702063,0.491342243526794,0.393107476635514,0.169230769230769,0.103661044837515,0.0588235294117647,0.0819344524380496,0.0295983086680761,0.0122663551401869,0.0677200902934537
"36","1984-1985",2.02060493841099,0.919402264253319,0.329364583451676,0.670635416548324,0.281592346860052,0.498924459066177,0.764487295370091,0.491114351777407,0.41025641025641,0.167728237791932,0.101408450704225,0.0615969581749049,0.0834072759538598,0.032258064516129,0.0122549019607843,0.0718562874251497
"37","1985-1986",2.02247178148682,0.915335639413162,0.325130033842869,0.674869966157131,0.285071158873076,0.495545999524133,0.755812243697616,0.487458357281965,0.412587412587413,0.168224299065421,0.10785536159601,0.0580580580580581,0.0750564334085779,0.030791788856305,0.0114285714285714,0.0678500986193294
"38","1986-1987",2.03387436615805,0.918386532395364,0.333441882923652,0.666558117076348,0.301929625425653,0.490752665408206,0.763328495403967,0.480571937242684,0.4,0.166666666666667,0.102564102564103,0.0574596774193548,0.0760869565217391,0.0303571428571429,0.0123203285420945,0.066
"39","1987-1988",2.03803936632096,0.917677488034398,0.328046989720999,0.671953010279001,0.31599303809708,0.490227249808697,0.766646489104116,0.480156268338894,0.39242238489721,0.165815338656438,0.101942348138068,0.0571428571428571,0.0754582427990417,0.0291616469421019,0.0129451193967323,0.0645491972685637
"40","1988-1989",2.05121317251955,0.913816793037439,0.329732111015545,0.670267888984455,0.321828868234008,0.489603501978281,0.767991458439572,0.476871852585612,0.394102990033223,0.169099187268627,0.109972975195117,0.0561992445907767,0.0702585257589979,0.0315508902489676,0.0113994837969601,0.0639744204636291
"41","1989-1990",2.05323898662625,0.920358538099237,0.3204643469014,0.6795356530986,0.329509443528964,0.488489805407176,0.763830259942235,0.476256431515033,0.389508467575382,0.163604240282686,0.106060606060606,0.0531645569620253,0.0677083333333333,0.0304853590052146,0.0108597285067873,0.0625
"42","1990-1991",2.05607698582329,0.917616608255868,0.322292188949644,0.677707811050356,0.31990339871591,0.488273593018101,0.765734425083932,0.474275724275724,0.390564578499613,0.166666666666667,0.109182098765432,0.0540540540540541,0.0698401667824878,0.029126213592233,0.0118289353958144,0.0625
"43","1991-1992",2.06177088915454,0.916102775567359,0.328737739123652,0.671262260876348,0.331068765534383,0.486296504019443,0.759468920495758,0.472608610948763,0.390894819466248,0.156441717791411,0.103092783505155,0.0496296296296296,0.0742574257425743,0.031055900621118,0.0130590923930787,0.0596546310832025
"44","1992-1993",2.07498983241738,0.918472644944647,0.320137879561614,0.679862120438386,0.337621484576741,0.488605879663547,0.753555518133525,0.472751922697693,0.393063583815029,0.163716814159292,0.105263157894737,0.0546726001271456,0.073224043715847,0.0312167435260731,0.0128205128205128,0.0604635539133356
"45","1993-1994",2.08606583988053,0.900747444192716,0.32231339905937,0.67768660094063,0.33386507703287,0.481803919331375,0.734657724914589,0.46410454732655,0.380924564961112,0.166666666666667,0.108926119198023,0.0543096200453135,0.0712641578370479,0.0308167141500475,0.0134499672710889,0.0596514810176906
"46","1994-1995",2.14695934595139,0.924990278701787,0.31309270765206,0.68690729234794,0.35974339291589,0.490751061485629,0.736632306686182,0.465821173499997,0.365706337038166,0.155892829534948,0.102641538580366,0.0476426916347472,0.0667377435325304,0.0294511906639331,0.0123197175391719,0.0602978815012079
"47","1995-1996",2.1599775772668,0.92086889729759,0.30583697459495,0.69416302540505,0.366058214109521,0.48579515345723,0.738333810478099,0.461638375061585,0.358490566037736,0.149090909090909,0.102941176470588,0.0476190476190476,0.06282722513089,0.0289624443029917,0.0120772946859903,0.0603209739900387
"48","1996-1997",2.16936712213858,0.910954957139842,0.307421825944996,0.692578174055004,0.359258305433943,0.479860486766009,0.739459240316847,0.454045223108688,0.347123116943781,0.152335071050006,0.105461767626614,0.0428109067157995,0.0642201834862385,0.0292184231869211,0.0128832592520625,0.0582341948128903
"49","1997-1998",2.12353528628495,0.893553549493284,0.312764061736556,0.687235938263444,0.345595082883218,0.470516402280295,0.736240053050398,0.450404074227711,0.344827586206897,0.152246256239601,0.105677579776212,0.0463215258855586,0.0620689655172414,0.0315599639314698,0.0125,0.0586113615870153
"50","1998-1999",2.13105206356295,0.870791808314914,0.300706326493333,0.699293673506667,0.337114685046908,0.456294457906668,0.729489154623041,0.436090103541173,0.336099585062241,0.151930261519303,0.103351955307263,0.0436260623229462,0.0555555555555556,0.0303030303030303,0.0109489051094891,0.0585106382978723
"51","1999-2000",2.13265394248208,0.894510248455555,0.288195567216992,0.711804432783008,0.352931039434759,0.467189616974758,0.7493834868113,0.447952028628077,0.347397396587572,0.16601162773978,0.118221200427884,0.0433607520564042,0.0625,0.0292317551870544,0.0126767701740506,0.0569710674415324
"52","2000-2001",2.13677185006908,0.88752185263623,0.282984344514045,0.717015655485955,0.35372601002824,0.460173679583739,0.748081271297092,0.441982093786012,0.331683168316832,0.163600525624179,0.113650594865373,0.043859649122807,0.060332541567696,0.0292887029288703,0.012853470437018,0.0550300945829751
"53","2001-2002",2.1451627098506,0.896596119719612,0.287771398649786,0.712228601350214,0.35247762788834,0.464805919616206,0.751704169424222,0.444254379105411,0.333333333333333,0.166666666666667,0.113027974808563,0.0442854419967096,0.0611777059269964,0.0285714285714286,0.0131067109938913,0.055251592732421
"54","2002-2003",2.14573653628585,0.892068781905225,0.284396454412554,0.715603545587446,0.349912970093359,0.462395062902804,0.758029365445493,0.44170216482141,0.337209302325581,0.16551724137931,0.115308804204993,0.0454545454545455,0.0636442894507411,0.0287660862982589,0.0118343195266272,0.0570768723193665
"55","2003-2004",2.14850445445615,0.882645540948493,0.285410784670003,0.714589215329998,0.345595963842758,0.458807639188869,0.749716360335829,0.437523157411113,0.333333333333333,0.162325863113265,0.115765765765766,0.0426778242677824,0.0599781897491821,0.0304449648711944,0.0123367198838897,0.0561077268355242
"56","2004-2005",2.15687770150013,0.912666737223463,0.286907469747976,0.713092530252024,0.355628137083023,0.470143434391172,0.755462589099602,0.447535737145295,0.339900665951551,0.154543439046266,0.110910114166265,0.0432337215098101,0.058970305972677,0.0284129190465496,0.0121951219512195,0.0543516133919103
"57","2005-2006",2.16041190415714,0.922998172373643,0.271904051311045,0.728095948688955,0.357636676812723,0.478748378141879,0.746194644474149,0.454081485539633,0.343816716567186,0.160332564398308,0.118003798516598,0.0380405475602697,0.056509131586881,0.0257292649194785,0.0105209326128426,0.0535394087098424
"58","2006-2007",2.16729295685945,0.924939316313938,0.270827132013693,0.729172867986308,0.35763491529227,0.484487981239007,0.751622306531706,0.457349418412071,0.352408418198156,0.155321418064137,0.111620703326949,0.039691429947026,0.0569611696928101,0.0266143291551201,0.0101187030773167,0.0555555555555556
"59","2007-2008",2.17601073748489,0.934171069687025,0.267140680548502,0.732859319451498,0.361199301949076,0.483619372917844,0.755295403817246,0.456393350634776,0.358855375096674,0.164028144239226,0.116883116883117,0.0377612946729602,0.0583140877598152,0.0264519838987924,0.011611030478955,0.05
"60","2008-2009",2.18016906275066,0.941969931006604,0.266173837606364,0.733826162393636,0.366075346329844,0.485109956309557,0.770007805684375,0.458262840662215,0.353004778507255,0.154003572975957,0.112010206424043,0.037295182196136,0.0546205084904775,0.0265210895299391,0.0127137886974861,0.0521316759502712
"61","2009-2010",2.17167133633817,0.939581951572911,0.262617387006425,0.737382612993575,0.354231252618349,0.491527465709277,0.758422806368012,0.460862608598015,0.369960774134002,0.157091676647717,0.113278111904814,0.0374415712608207,0.0584865293266768,0.0263783653396238,0.0129504780333276,0.0517241379310345
"62","2010-2011",2.17374338488149,0.934502177062256,0.263989078095308,0.736010921904692,0.357407603515832,0.486028004554374,0.764125196887232,0.457427318667552,0.362010484119642,0.154471544715447,0.114927905004241,0.0365324497951338,0.0570868835126563,0.0274041543931385,0.0137458667926311,0.0507229597612432
"63","2011-2012",2.17543162562965,0.907119020318958,0.268551158653155,0.731448841346845,0.347579866930774,0.476226431855027,0.75259051314866,0.447189980798441,0.343561643835616,0.158823529411765,0.116780045351474,0.036231884057971,0.0557563242127001,0.0282258064516129,0.013413506012951,0.052319842053307
"64","2012-2013",2.19342829228159,0.920742213070285,0.264349005424955,0.735650994575045,0.35777739732542,0.482520795393021,0.752755126411682,0.452035052648706,0.363459669582119,0.154182941666133,0.117431588019823,0.0337078651685393,0.0598290598290598,0.028140013726836,0.0128928283642224,0.0525464834276475
"65","2013-2014",2.20634552800476,0.934167054216478,0.254878601719402,0.745121398280599,0.359601067565669,0.487869985569092,0.756472284524191,0.454423083086475,0.360215053763441,0.159722222222222,0.119047619047619,0.033288948069241,0.0591593149974053,0.027072758037225,0.0109677419354839,0.0516304347826087
"66","2014-2015",2.21092915084834,0.92448490312282,0.25103253132744,0.74896746867256,0.34961873270801,0.484574035877242,0.748539370601514,0.448090447219359,0.363084166472913,0.154488224543623,0.121283034803111,0.0308803775856657,0.0631116830365741,0.02860932171277,0.0127552762045318,0.0497078366556479
"67","2015-2016",2.22445217287322,0.937527898271462,0.23841025061502,0.76158974938498,0.353739359864309,0.490499089299107,0.756111833550065,0.451334199862375,0.368456832087016,0.158878504672897,0.123661148977605,0.0308457711442786,0.0629370629370629,0.0283203125,0.0130378096479791,0.0498533724340176
"68","2016-2017",2.24873956161219,0.963077859022019,0.232927097540587,0.767072902459413,0.357763415424041,0.503817746118242,0.772121412075223,0.457373261572354,0.375,0.16301703163017,0.125,0.0300194931773879,0.0645833333333333,0.027972027972028,0.0136549840691853,0.0502283105022831
"69","2017-2018",2.26540311773949,0.96649566761298,0.222637143007416,0.777362856992584,0.361068121606379,0.510446881342989,0.766927448779119,0.459944573772309,0.377798127798128,0.157884056732741,0.125740128706993,0.0279607462599566,0.0643761200716846,0.0285784693374639,0.0133374046163606,0.048674657476956
"70","2018-2019",2.27769292379906,0.97707702652681,0.228951454999662,0.771048545000338,0.354361028249528,0.518519261368955,0.767476278962688,0.459418869829751,0.392711991249784,0.167257254903862,0.130029123071945,0.0307968017645437,0.0730081749105021,0.0284225549332184,0.0137458667926311,0.0470859687518806
"71","2019-2020",2.30142907835737,0.984074441917191,0.223286329808069,0.776713670191931,0.358103705974783,0.52414800232363,0.773995388046724,0.459873505981021,0.388135593220339,0.167682926829268,0.130434782608696,0.0292682926829268,0.0717344753747323,0.0282021151586369,0.013745704467354,0.0500510725229826
"72","2020-2021",2.30828699308287,1.00134657326623,0.222355897505555,0.777644102494445,0.366371988642704,0.529971782799498,0.778207671308207,0.465842705366603,0.39874739039666,0.164901664145234,0.130089374379345,0.0294117647058824,0.0677966101694915,0.0276831345826235,0.0142857142857143,0.0465116279069767
"73","2021-2022",2.30715311206824,0.991354203300653,0.231899463370309,0.768100536629691,0.353671449563489,0.53218587151599,0.775269022162921,0.460753243721168,0.384771460423634,0.161509643927719,0.125,0.0313208751660007,0.0727212769562166,0.0284528849235128,0.013844168455484,0.0462843949347805
"74","2022-2023",2.29435505863103,1.0145450371784,0.240170730424723,0.759829269575277,0.360096078998287,0.546891731950628,0.782495610897978,0.474446888342606,0.398496240601504,0.158066268332428,0.119711042311662,0.033288948069241,0.0745341614906832,0.027072758037225,0.0134228187919463,0.0483383685800604
"75","2023-2024",2.30417294666691,1.0174234902173,0.242320549603854,0.757679450396146,0.364811447114809,0.544641143904883,0.783976606126799,0.473626269663115,0.379016874541453,0.15991513437058,0.119895833333333,0.0338730239673636,0.0805524657026326,0.0278588533409397,0.0157268037594516,0.0450747733303848
"76","2024-2025",2.32439120512515,1.00562343231653,0.252492067746202,0.747507932253798,0.359834082267542,0.543853565684437,0.779493622293183,0.466469149736644,0.402475143343264,0.166666666666667,0.123144073124728,0.0402147662584095,0.082984050521855,0.0308587441215225,0.015065966803802,0.0485040889833636
"77","2025-2026",2.31784375,1.01315006580718,0.261874197689345,0.738125802310655,0.360162889518414,0.547779171894605,0.788568111046604,0.469966221177853,0.418604651162791,0.162227602905569,0.119402985074627,0.0388768898488121,0.0829346092503987,0.032258064516129,0.0137254901960784,0.0519835841313269
