"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd","vaPTSv","vaAST","vaSTL","vaBLK","vaTOV","vaDRB","vaORB"
"7902","2008-2009","Dikembe Mutombo (mutomdi01)",42,"HOU","C",2,0,0,NA,0,0,NA,NA,0,2,0,9,0,5,0,"",0,20,0,0,NA,1,8,1,2,0,0,0,-1.54001561136875,-1.54001561136875,-7.69973118943015,-8.24934783941833,-1.87978530805833,0.376577349891286,1.10801481422242,1.04167791692021,1.37886366019361,0.064283828187745
"7903","2008-2009","Gabe Pruitt (pruitga01)",22,"BOS","SG",4,0,3,0,0,2,0,0,0,0,NA,0,2,0,0,"",0,11,0,1,0,0,0,0,1,2,-0.970219912619114,-0.366075346329844,0,-3.03866586422776,-8.20087321655386,-4.53714131168008,1.14628714331858,-0.310965919613425,0.540283929866251,-1.31101700770709,-0.344827093255166,-0.344827093255166
"7904","2008-2009","Jeremy Richardson (richaje01)",24,"ORL","SF",1,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,"",0,2,0,0,NA,0,0,0,0,1,-0.485109956309557,0,0,-0.970219912619114,-3.03031324955741,-0.824934783941833,-0.187978530805833,-0.0565392581115318,-0.0274469544899132,-0.837802139314583,-0.0626958351373029,-0.0626958351373029
"7905","2008-2009","Dorell Wright (wrighdo01)",23,"MIA","SF",1,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,"",0,3,0,0,NA,0,0,0,0,0,0,0,0,0,-1.67718510889754,-1.23740217591275,-0.281967796208749,-0.0848088871672977,-0.0411704317348698,0.156251687538031,-0.0940437527059543,-0.0940437527059543
"7906","2009-2010","Kobe Bryant (bryanko01)",31,"LAL","SG",23,234,511,0.458,185,380,0.487,0.506,154,183,0.842,138,126,75,671,"Finals MVP-1",23,923,49,131,0.374,26,112,31,16,79,-1.72043696952538,2.58970590699623,15.2946264346538,19.6228702165918,320.221553379092,287.938554439234,49.1562409637901,3.33685009541494,-1.78754799346334,-25.8081215885608,-1.30742331437218,-10.9298694395421
"7907","2009-2010","Paul Pierce (piercpa01)",32,"BOS","SF",24,147,336,0.438,107,234,0.457,0.497,117,142,0.824,143,82,80,451,"",24,930,40,102,0.392,20,123,24,14,64,-8.07942697597088,3.85241223292837,9.31196149574231,4.71034424258564,38.2855656004083,65.0334297166709,0.714668343788561,-3.43581547547996,-3.27083803303763,-11.3471854156173,1.18732642055399,-15.3063641990558
"7908","2009-2010","Pau Gasol (gasolpa01)",29,"LAL","C",23,165,306,0.539,165,303,0.545,0.539,120,158,0.759,255,81,63,450,"",23,913,0,3,0,92,163,9,48,44,16.202177890089,-1.06269375785505,0.0911965938541293,29.307471100467,158.36123105271,71.0887326143231,1.2433547826983,-17.0545358250683,20.5225241334681,6.55266543170558,11.590435652765,35.1105831623516
"7909","2009-2010","Ray Allen (allenra02)",34,"BOS","SG",24,131,304,0.431,75,159,0.472,0.523,69,80,0.863,80,63,74,387,"",24,925,56,145,0.386,12,68,22,3,36,-3.10486704777509,4.60646837033934,8.36617549055905,15.9758465060269,-34.5750755164792,3.10851880421565,-19.4413499081655,-5.1752708715654,-10.8222496230277,14.6988185860314,-12.2271639344157,-20.6922250755788
"7910","2009-2010","Rajon Rondo (rondora01)",23,"BOS","PG",24,151,326,0.463,142,302,0.47,0.477,68,114,0.596,134,223,57,379,"",24,975,9,24,0.375,38,96,46,3,72,-6.50129464420175,0.498449937159615,-18.5161999259534,-30.023439402878,70.7001868587851,-25.6423720712321,149.543762566303,15.9776108955807,-11.519587126095,-16.503225246666,-6.88605113896713,-4.24651161726025
"7911","2009-2010","Amar'e Stoudemire (stoudam01)",27,"PHO","PF",16,124,239,0.519,124,235,0.528,0.519,107,142,0.754,106,18,54,355,"",16,584,0,4,0,46,60,11,24,40,8.57104555831984,-1.4169250104734,-0.628038504257682,12.2632775809618,94.5761676044707,112.62959457477,-35.9185409455463,-5.98255215734983,8.48305143391242,-6.94773103144483,-3.50807129056785,13.5571394397356
"7912","2009-2010","Kevin Garnett (garneke01)",33,"BOS","PF",23,149,301,0.495,149,299,0.498,0.495,47,56,0.839,170,58,74,345,"",23,766,0,2,0,32,138,26,20,31,1.93528775292609,-0.708462505236699,4.51232284339133,6.25751083353341,49.0205950708718,27.0963517881396,-9.76999795339146,3.02578745924618,3.17341734445772,11.055885915807,10.0313059614135,-1.84966627833417
"7913","2009-2010","LeBron James (jamesle01)",25,"CLE","SF",11,106,211,0.502,86,161,0.534,0.55,88,120,0.733,102,84,23,320,"",11,460,20,50,0.4,15,87,19,20,42,6.83807802080636,2.28843736908253,-3.05073676416142,17.4907313846989,194.224314951869,129.09180394588,47.5231273464233,4.99887443033077,7.44112286322958,-15.3317028659305,7.0425926938456,-4.03223484660925
"7914","2009-2010","Jason Richardson (richaja01)",29,"PHO","SG",16,112,223,0.502,64,122,0.525,0.61,44,58,0.759,87,17,35,316,"",16,533,48,101,0.475,18,69,17,4,10,4.08364918346817,12.1976434855467,0.0334772306553133,44.7937060542318,118.479501939808,94.7955032677264,-32.1608102924789,1.07996632410347,-4.66229220440764,18.5643629633366,0.311944579012488,-4.24287875171649
"7915","2009-2010","Steve Nash (nashst01)",35,"PHO","PG",16,99,191,0.518,80,141,0.567,0.568,67,75,0.893,52,161,20,284,"",16,539,19,50,0.38,6,46,4,1,60,10.6416273349919,1.28843736908253,10.0932895223991,35.2418562996305,154.653774875795,60.3053963626727,123.629694591959,-11.3022492548168,-6.82446688849303,-28.0999858444377,-5.55146656806622,-12.7450038226535
"7916","2009-2010","Jameer Nelson (nelsoja01)",27,"ORL","PG",14,91,190,0.479,58,106,0.547,0.566,51,62,0.823,50,67,38,266,"",14,479,33,84,0.393,9,41,14,0,35,5.88008863481661,3.25657478005865,4.00378600518326,25.5336876149924,91.6425001631442,67.2064654132101,27.2594551031667,-0.229927654363209,-6.68049327938471,-7.75792476382774,-4.90373599239089,-8.78502627825847
"7917","2009-2010","Metta World Peace (artesro01)",30,"LAL","SF",23,101,254,0.398,67,137,0.489,0.465,22,38,0.579,91,49,67,258,"",23,839,34,117,0.291,33,58,35,12,25,-0.346262802170991,-7.39805655634688,-6.81806664198445,-29.7047619153671,-135.246272046004,-90.1999488900141,-26.4754668384869,9.4422808203209,-3.38734656660002,20.5228210041784,-11.9978766874491,-3.44597297258628
"7918","2009-2010","Dwight Howard (howardw01)",24,"ORL","C",14,86,140,0.614,86,140,0.614,0.614,82,158,0.519,155,19,59,254,"",14,497,0,0,NA,38,117,11,49,51,17.1461548007012,0,-37.8288034061459,-3.53649380474351,43.275590158887,47.7361446980488,-26.5701509646798,-3.55162413449929,27.0172035535604,-21.8469896763805,13.2848613314419,10.7426391561388
